cell,feature,n,weak_cell,stability,sign_correct,oracle_single_auroc,abs_rho,headroom_pp,is_candidate
ars_gsm8k_r1distill8b,epr,500,True,1.0,1,0.6905704589528119,0.13334328931829387,,
ars_gsm8k_r1distill8b,trace_length,500,True,1.0,1,0.6822377989657401,0.1104389061006309,,
ars_gsm8k_r1distill8b,spectral_entropy,500,True,1.0,1,0.6675420168067228,0.08483237761202862,,
ars_gsm8k_r1distill8b,low_band_power,500,True,0.804,1,0.5755494505494505,0.013171152681129065,,
ars_gsm8k_r1distill8b,high_band_power,500,True,0.588,0,0.5441782482223659,0.00216030456089086,,
ars_gsm8k_r1distill8b,hl_ratio,500,True,0.97,1,0.5723577892695539,0.024774029915797975,,
ars_gsm8k_r1distill8b,dominant_freq,500,True,0.992,1,0.6050521170006464,0.0222260562901107,,
ars_gsm8k_r1distill8b,spectral_centroid,500,True,1.0,1,0.5945984162895928,0.07201024147215941,,
ars_gsm8k_r1distill8b,stft_max_high_power,500,True,1.0,1,0.5968406593406593,0.08500609745058955,,
ars_gsm8k_r1distill8b,stft_spectral_entropy,500,True,0.75,0,0.5252302844214609,0.00892074039785459,,
ars_gsm8k_r1distill8b,rpdi,500,True,0.998,1,0.5948408209437621,0.04150392255343104,-2.75,0
ars_gsm8k_r1distill8b,sw_var_peak,500,True,1.0,1,0.6898028442146089,0.14672120863093185,,
ars_gsm8k_r1distill8b,pe_mean,500,True,0.728,1,0.5110698125404007,0.005948231572655668,-2.17,0
ars_gsm8k_r1distill8b,hurst_exponent,500,True,0.82,1,0.5406431803490628,0.010955023530970175,-7.92,0
ars_gsm8k_r1distill8b,cusum_max,500,True,1.0,1,0.6965093729799612,0.13835248437591596,,
ars_gsm8k_r1distill8b,cusum_shift_idx,500,True,0.49,1,0.5002424046541694,0.00048235733182706506,3.56,1
ars_gsm8k_r1distill8b,epr_spilled,500,True,1.0,1,0.6922672915319974,0.13431058118228,,
ars_gsm8k_r1distill8b,sw_var_peak_spilled,500,True,1.0,1,0.673884938590821,0.14088076765402485,,
ars_gsm8k_r1distill8b,cusum_max_spilled,500,True,1.0,1,0.6924894957983193,0.13923783762638037,,
ars_gsm8k_r1distill8b,min_spilled,500,True,0.996,1,0.5160088073691015,0.028428452363925445,,
ars_gsm8k_r1distill8b,epr_energy,500,True,1.0,1,0.6992970265029088,0.15829463829123142,,
ars_gsm8k_r1distill8b,min_energy,500,True,1.0,1,0.6329993535875889,0.09179723832881909,,
ars_gsm8k_r1distill8b,sw_var_peak_energy,500,True,1.0,1,0.6155866192630899,0.03690489744486102,,
ars_gsm8k_r1distill8b,cusum_max_energy,500,True,1.0,1,0.5494707498383969,0.04724033212297923,,
ars_gsm8k_r1distill8b,mean_top1_logprob,500,True,1.0,1,0.6922672915319974,0.1969771442073998,,
ars_gsm8k_r1distill8b,logprob_margin,500,True,1.0,1,0.6669562055591467,0.15251717594240155,,
ars_gsm8k_r1distill8b,mean_logprob_entropy,500,True,1.0,1,0.6926914996767938,0.13514677246317164,,
ars_gsm8k_r1distill8b,varentropy,500,True,1.0,1,0.7017816742081449,0.13340255763788056,,
ars_gsm8k_r1distill8b,renyi_entropy_2,500,True,1.0,1,0.6897220426632191,0.13421920829292516,,
ars_gsm8k_r1distill8b,topk_tail_mass,500,True,1.0,1,0.7198408209437621,0.16000755752754997,,
epr_triviaqa_mistral24b,epr,621,False,1.0,1,0.7375014027606329,0.23027851170461583,,
epr_triviaqa_mistral24b,trace_length,621,False,1.0,1,0.6026961059364829,0.21326395655222538,,
epr_triviaqa_mistral24b,spectral_entropy,621,False,1.0,1,0.576113791942543,0.16861028759416122,,
epr_triviaqa_mistral24b,low_band_power,621,False,1.0,1,0.544193973740321,0.08927974728562954,,
epr_triviaqa_mistral24b,high_band_power,621,False,1.0,1,0.5655790595892717,0.05119999524928122,,
epr_triviaqa_mistral24b,hl_ratio,621,False,1.0,1,0.5627034002917742,0.042272613950607954,,
epr_triviaqa_mistral24b,dominant_freq,621,False,1.0,1,0.5719686342722478,0.08388472431289096,,
epr_triviaqa_mistral24b,spectral_centroid,621,False,1.0,1,0.5890332173717877,0.10719393216192735,,
epr_triviaqa_mistral24b,rpdi,621,False,1.0,0,0.5072242172595669,0.04909559719611896,4.55,1
epr_triviaqa_mistral24b,sw_var_peak,621,False,1.0,1,0.7159409718325664,0.2541327367758275,,
epr_triviaqa_mistral24b,pe_mean,621,False,0.978,0,0.5111168780159354,0.024246797030955357,4.56,1
epr_triviaqa_mistral24b,hurst_exponent,621,False,1.0,1,0.5530804623499046,0.09734333991872565,-1.0,0
epr_triviaqa_mistral24b,cusum_max,621,False,1.0,1,0.6745875883739199,0.2509909457687721,,
epr_triviaqa_mistral24b,cusum_shift_idx,621,False,1.0,1,0.5761979575805185,0.09175319204565577,-0.92,0
epr_triviaqa_mistral24b,epr_spilled,621,False,1.0,1,0.7201632813376726,0.2285191513979208,,
epr_triviaqa_mistral24b,sw_var_peak_spilled,621,False,1.0,1,0.6909858601728202,0.23556156427027153,,
epr_triviaqa_mistral24b,cusum_max_spilled,621,False,1.0,1,0.6755274379979801,0.25801205189707765,,
epr_triviaqa_mistral24b,min_spilled,621,False,0.73,1,0.5655580181797777,0.0031417614777111066,,
epr_triviaqa_mistral24b,epr_energy,621,False,1.0,1,0.7288744248681405,0.2237685292672359,,
epr_triviaqa_mistral24b,min_energy,621,False,1.0,1,0.7353551789922569,0.2572987655531752,,
epr_triviaqa_mistral24b,sw_var_peak_energy,621,False,1.0,1,0.6831163730221075,0.2129851431313043,,
epr_triviaqa_mistral24b,cusum_max_energy,621,False,1.0,1,0.6478229154976995,0.2138877724016217,,
epr_triviaqa_mistral24b,mean_top1_logprob,621,False,1.0,1,0.7342049152732577,0.2787059065850203,,
epr_triviaqa_mistral24b,logprob_margin,621,False,1.0,1,0.7043822242172597,0.22048178345499397,,
epr_triviaqa_mistral24b,mean_logprob_entropy,621,False,1.0,1,0.7421725956682752,0.23551086880410355,,
epr_triviaqa_mistral24b,varentropy,621,False,1.0,1,0.7362389181909998,0.211753100691071,,
epr_triviaqa_mistral24b,renyi_entropy_2,621,False,1.0,1,0.7380204241948154,0.23488938077300212,,
