feature,cells,mean_top_inclusion,cells_absent_from_top,cells_in_best_subset,mean_lovo_cost,max_lovo_cost,cells_lovo_zero
low_band_power,19,0.1079,3,1,0.0001,0.00189,18
spectral_centroid,19,0.1305,4,1,0.00014,0.00263,18
hurst_exponent,19,0.1432,4,3,0.00039,0.00345,16
stft_spectral_entropy,19,0.1679,5,4,0.00262,0.03652,15
dominant_freq,19,0.1995,2,4,0.00266,0.03652,15
high_band_power,19,0.2095,2,3,0.00065,0.0101,16
hl_ratio,19,0.22,2,4,0.0006,0.00428,15
cusum_shift_idx,19,0.3621,1,6,0.00172,0.022,13
stft_max_high_power,19,0.3653,5,7,0.00176,0.01373,12
pe_mean,19,0.3789,0,5,0.00047,0.00615,14
rpdi,19,0.46,0,5,0.002,0.00983,14
trace_length,19,0.5563,2,10,0.00292,0.01208,9
spectral_entropy,19,0.56,0,11,0.00673,0.07784,8
cusum_max,19,0.5884,0,8,0.00334,0.0354,11
sw_var_peak,19,0.7405,1,12,0.00356,0.01505,7
epr,19,0.9205,0,18,0.01671,0.03652,1
