fset,condition,n_cells,macro_all,macro_qa,macro_math,cells_below_0.5,delta_vs_A,wins_vs_A,losses_vs_A,wilcoxon_p_vs_A
GOOD_6,A_allsigns_anchor,25,0.7594,0.7274,0.7807,0,0.0,0,0,
GOOD_6,B_z2_anchor,25,0.7594,0.7274,0.7807,0,0.0,0,0,
GOOD_6,C_z2_skew,25,0.6194,0.6464,0.6013,6,-0.14,0,6,0.02771
GOOD_6,D_raw_anchor,25,0.7594,0.7274,0.7807,0,0.0,0,0,
GOOD_6,E_z2_oracle,25,0.7594,0.7274,0.7807,0,0.0,0,0,
FULL,A_allsigns_anchor,25,0.7457,0.7062,0.772,0,0.0,0,0,
FULL,B_z2_anchor,25,0.7457,0.7062,0.772,0,0.0,0,0,
FULL,C_z2_skew,25,0.6135,0.6248,0.6059,6,-0.1322,0,6,0.02771
FULL,D_raw_anchor,25,0.7457,0.7062,0.772,0,0.0,0,0,
FULL,E_z2_oracle,25,0.7457,0.7062,0.772,0,0.0,0,0,
