fset,rung,n_cells,macro_all,macro_qa,macro_math,d_R0_all,d_R0_qa,d_R0_math,d_R3_all,d_R3_qa,d_R3_math,w_p_vs_R0_all,w_p_vs_R0_qa,w_wins_vs_R0_all,w_losses_vs_R0_all,w_p_vs_R3_all,w_p_vs_R3_qa,w_wins_vs_R3_all,w_losses_vs_R3_all
GOOD_6,R0,25,0.7594,0.7274,0.7807,0.0,0.0,0.0,-0.0167,-0.0203,-0.0142,,,0,0,0.0015,0.10547,5,20
GOOD_6,R0b,25,0.7596,0.7232,0.7838,0.0002,-0.0042,0.0031,-0.0165,-0.0245,-0.0112,0.38173,0.13086,10,15,0.00066,0.01953,5,20
GOOD_6,R1,25,0.7533,0.7218,0.7744,-0.0061,-0.0057,-0.0064,-0.0227,-0.026,-0.0206,0.2158,0.55664,10,15,6e-05,0.01367,3,22
GOOD_6,R2,25,0.7596,0.7296,0.7796,0.0002,0.0022,-0.0011,-0.0165,-0.0181,-0.0154,0.23641,0.69531,10,15,0.00071,0.01953,5,20
GOOD_6,R2_cv,25,0.7597,0.7294,0.78,0.0003,0.0019,-0.0007,-0.0163,-0.0184,-0.015,0.59045,0.92188,12,13,0.0013,0.03711,6,19
GOOD_6,R3,25,0.7761,0.7477,0.7949,0.0167,0.0203,0.0142,0.0,0.0,0.0,0.0015,0.10547,20,5,,,0,0
GOOD_6,R4,25,0.7491,0.7188,0.7693,-0.0103,-0.0086,-0.0115,-0.027,-0.029,-0.0257,0.0667,0.375,7,18,0.00019,0.02734,2,23
GOOD_6,R5,25,0.768,0.7406,0.7862,0.0086,0.0131,0.0055,-0.0081,-0.0072,-0.0087,0.02642,0.16016,20,5,0.02298,0.375,6,19
GOOD_6,R5_cv,25,0.7601,0.7312,0.7794,0.0007,0.0038,-0.0013,-0.0159,-0.0165,-0.0155,0.77116,0.92188,12,13,5e-05,0.03711,4,21
FULL,R0,25,0.7457,0.7062,0.772,0.0,0.0,0.0,-0.0353,-0.0462,-0.028,,,0,0,0.01145,0.375,5,20
FULL,R0b,25,0.7331,0.7109,0.748,-0.0125,0.0047,-0.024,-0.0478,-0.0415,-0.052,0.68914,0.625,12,12,0.00964,0.375,5,20
FULL,R1,25,0.7659,0.7376,0.7848,0.0203,0.0314,0.0129,-0.015,-0.0148,-0.0152,0.00164,0.0293,19,6,0.04512,0.69531,5,20
FULL,R2,25,0.7664,0.7377,0.7856,0.0207,0.0315,0.0136,-0.0145,-0.0147,-0.0144,0.00278,0.23242,18,7,0.0667,0.49219,6,19
FULL,R2_cv,25,0.7649,0.7372,0.7834,0.0193,0.031,0.0115,-0.016,-0.0152,-0.0166,0.01355,0.27539,17,8,0.04826,0.43164,6,19
FULL,R3,25,0.7809,0.7524,0.8,0.0353,0.0462,0.028,0.0,0.0,0.0,0.01145,0.375,20,5,,,0,0
FULL,R4,25,0.7659,0.7449,0.78,0.0203,0.0387,0.008,-0.015,-0.0074,-0.02,0.58723,0.91016,12,12,0.00378,0.27539,5,20
FULL,R5,25,0.7816,0.761,0.7953,0.036,0.0548,0.0234,0.0007,0.0087,-0.0047,0.0,0.00391,23,2,0.63383,0.76953,11,14
FULL,R5_cv,25,0.7642,0.7402,0.7803,0.0186,0.0339,0.0083,-0.0167,-0.0122,-0.0197,0.07548,0.49219,17,8,0.03934,0.43164,7,18
FULL,R6,25,0.7676,0.7262,0.7952,0.0219,0.02,0.0232,-0.0134,-0.0262,-0.0048,0.0,0.00195,23,2,0.44184,1.0,11,14
