threshold_pp,held_out,n_dropped,dropped,auroc_full,auroc_pruned,delta
0.0,ars_gsm8k_r1distill8b,7,cusum_shift_idx|dominant_freq|high_band_power|hl_ratio|pe_mean|spectral_centroid|sw_var_peak_spilled,0.7094982223658695,0.717032967032967,0.0075347446670975815
0.0,epr_triviaqa_mistral24b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.7445152059252608,0.7445152059252608,0.0
0.0,inside_coqa_llama7b,5,cusum_shift_idx|dominant_freq|hl_ratio|spectral_centroid|stft_max_high_power,0.5263194521987069,0.5301713766275432,0.0038519244288363064
0.0,internalstates_gsm8k_qwen25_7b,5,cusum_shift_idx|dominant_freq|pe_mean|rpdi|stft_max_high_power,0.7092944826655876,0.7059798423618739,-0.003314640303713645
0.0,lapeigvals_gsm8k_llama3b,8,cusum_shift_idx|dominant_freq|high_band_power|hurst_exponent|mean_top1_logprob|pe_mean|rpdi|stft_max_high_power,0.7089721749006246,0.6884850262053044,-0.0204871486953202
0.0,lapeigvals_gsm8k_llama8b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.8203619184882698,0.8184602450156137,-0.001901673472656129
0.0,lapeigvals_gsm8k_mistral24b,5,cusum_shift_idx|dominant_freq|pe_mean|rpdi|stft_max_high_power,0.842876639623929,0.837394798695883,-0.0054818409280460445
0.0,lapeigvals_gsm8k_nemo,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.7956286816981516,0.7968271379240301,0.0011984562258785525
0.0,lapeigvals_gsm8k_phi35,6,cusum_shift_idx|dominant_freq|pe_mean|rpdi|spectral_centroid|stft_max_high_power,0.808288610614192,0.8051068450235407,-0.0031817655906513087
0.0,losnet_hotpotqa_mistral7b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.5703891739215932,0.5703891739215932,0.0
0.0,math500_dsmath7b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.785141867013212,0.7860082304526748,0.0008663634394627806
0.0,math500_qwenmath7b,4,cusum_shift_idx|dominant_freq|pe_mean|rpdi,0.904728701825558,0.9054893509127788,0.0007606490872208438
0.0,math500_r1distill8b,5,cusum_shift_idx|dominant_freq|pe_mean|rpdi|stft_max_high_power,0.8401434470767225,0.8322647250597697,-0.007878722016952833
0.0,math500_r1distill8b_mn4096,5,cusum_shift_idx|dominant_freq|hl_ratio|pe_mean|stft_max_high_power,0.8258838914576621,0.8147214048853393,-0.011162486572322772
0.0,noise_gsm8k_mistral7b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.7874225751716337,0.7881882015367706,0.0007656263651368844
0.0,noise_gsm8k_phi3mini,5,cusum_shift_idx|dominant_freq|mean_top1_logprob|pe_mean|stft_max_high_power,0.6823631474414764,0.6799418669523107,-0.002421280489165678
0.0,sciq_llama8b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.7404580152671755,0.7419391591660021,0.0014811438988265868
0.0,se_nq_open_llama8b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.7514252032258831,0.7508623657688323,-0.0005628374570508798
0.0,se_squad_v2_llama8b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.8059890572876387,0.8118921196310874,0.005903062343448728
0.0,seiclr_triviaqa_opt30b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.566801418995563,0.5678980152575244,0.0010965962619613467
0.0,semenergy_triviaqa_qwen3_8b,5,cusum_shift_idx|dominant_freq|low_band_power|pe_mean|stft_max_high_power,0.7890325294284387,0.7596550050166126,-0.02937752441182606
0.0,spilled_triviaqa_llama8b,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.9333333333333332,0.9433333333333334,0.01000000000000012
0.0,trace_gsm8k_llama8b_k10,4,cusum_shift_idx|dominant_freq|pe_mean|stft_max_high_power,0.8098509552042161,0.8100034996706191,0.000152544466403004
0.0,trace_math500_qwenmath15b_k10,5,cusum_shift_idx|dominant_freq|pe_mean|rpdi|stft_max_high_power,0.6887356473083994,0.6881068026154431,-0.0006288446929563207
0.0,truthfulqa_llama8b,5,cusum_shift_idx|dominant_freq|hurst_exponent|pe_mean|stft_max_high_power,0.6627738643658607,0.6608318709361419,-0.0019419934297187913
0.1,ars_gsm8k_r1distill8b,1,dominant_freq,0.7094982223658695,0.7114778603749192,0.0019796380090497667
0.1,epr_triviaqa_mistral24b,2,cusum_shift_idx|dominant_freq,0.7445152059252608,0.7446414543822242,0.00012624845696340703
0.1,inside_coqa_llama7b,2,cusum_shift_idx|dominant_freq,0.5263194521987069,0.528396982940972,0.0020775307422651323
0.1,internalstates_gsm8k_qwen25_7b,2,cusum_shift_idx|dominant_freq,0.7092944826655876,0.7059798423618739,-0.003314640303713645
0.1,lapeigvals_gsm8k_llama3b,2,cusum_shift_idx|dominant_freq,0.7089721749006246,0.7095633069883914,0.0005911320877668436
0.1,lapeigvals_gsm8k_llama8b,2,cusum_shift_idx|dominant_freq,0.8203619184882698,0.8200616542557451,-0.00030026423252471623
0.1,lapeigvals_gsm8k_mistral24b,2,cusum_shift_idx|dominant_freq,0.842876639623929,0.8406778375919326,-0.0021988020319964052
0.1,lapeigvals_gsm8k_nemo,2,cusum_shift_idx|dominant_freq,0.7956286816981516,0.7968271379240301,0.0011984562258785525
0.1,lapeigvals_gsm8k_phi35,2,cusum_shift_idx|dominant_freq,0.808288610614192,0.8076611575396719,-0.0006274530745200568
0.1,losnet_hotpotqa_mistral7b,2,cusum_shift_idx|dominant_freq,0.5703891739215932,0.5727846404118773,0.002395466490284104
0.1,math500_dsmath7b,1,dominant_freq,0.785141867013212,0.7860082304526748,0.0008663634394627806
0.1,math500_qwenmath7b,2,cusum_shift_idx|dominant_freq,0.904728701825558,0.9088488843813388,0.004120182555780838
0.1,math500_r1distill8b,2,cusum_shift_idx|dominant_freq,0.8401434470767225,0.8401434470767225,0.0
0.1,math500_r1distill8b_mn4096,1,cusum_shift_idx,0.8258838914576621,0.8258838914576621,0.0
0.1,noise_gsm8k_mistral7b,2,cusum_shift_idx|dominant_freq,0.7874225751716337,0.7873375055755074,-8.506959612630816e-05
0.1,noise_gsm8k_phi3mini,2,cusum_shift_idx|dominant_freq,0.6823631474414764,0.6824384637700565,7.5316328580044e-05
0.1,sciq_llama8b,2,cusum_shift_idx|dominant_freq,0.7404580152671755,0.7404580152671755,0.0
0.1,se_nq_open_llama8b,2,cusum_shift_idx|dominant_freq,0.7514252032258831,0.7531251826690588,0.001699979443175681
0.1,se_squad_v2_llama8b,2,cusum_shift_idx|dominant_freq,0.8059890572876387,0.8157364976394677,0.009747440351828951
0.1,seiclr_triviaqa_opt30b,2,cusum_shift_idx|dominant_freq,0.566801418995563,0.5678980152575244,0.0010965962619613467
0.1,semenergy_triviaqa_qwen3_8b,0,,0.7890325294284387,0.7890325294284387,0.0
0.1,spilled_triviaqa_llama8b,1,cusum_shift_idx,0.9333333333333332,0.9333333333333333,1.1102230246251565e-16
0.1,trace_gsm8k_llama8b_k10,2,cusum_shift_idx|dominant_freq,0.8098509552042161,0.8100034996706191,0.000152544466403004
0.1,trace_math500_qwenmath15b_k10,2,cusum_shift_idx|dominant_freq,0.6887356473083994,0.6881068026154431,-0.0006288446929563207
0.1,truthfulqa_llama8b,2,cusum_shift_idx|dominant_freq,0.6627738643658607,0.6541666727046402,-0.008607191661220481
0.2,ars_gsm8k_r1distill8b,0,,0.7094982223658695,0.7094982223658695,0.0
0.2,epr_triviaqa_mistral24b,0,,0.7445152059252608,0.7445152059252608,0.0
0.2,inside_coqa_llama7b,0,,0.5263194521987069,0.5263194521987069,0.0
0.2,internalstates_gsm8k_qwen25_7b,0,,0.7092944826655876,0.7092944826655876,0.0
0.2,lapeigvals_gsm8k_llama3b,0,,0.7089721749006246,0.7089721749006246,0.0
0.2,lapeigvals_gsm8k_llama8b,0,,0.8203619184882698,0.8203619184882698,0.0
0.2,lapeigvals_gsm8k_mistral24b,0,,0.842876639623929,0.842876639623929,0.0
0.2,lapeigvals_gsm8k_nemo,0,,0.7956286816981516,0.7956286816981516,0.0
0.2,lapeigvals_gsm8k_phi35,0,,0.808288610614192,0.808288610614192,0.0
0.2,losnet_hotpotqa_mistral7b,0,,0.5703891739215932,0.5703891739215932,0.0
0.2,math500_dsmath7b,0,,0.785141867013212,0.785141867013212,0.0
0.2,math500_qwenmath7b,0,,0.904728701825558,0.904728701825558,0.0
0.2,math500_r1distill8b,0,,0.8401434470767225,0.8401434470767225,0.0
0.2,math500_r1distill8b_mn4096,0,,0.8258838914576621,0.8258838914576621,0.0
0.2,noise_gsm8k_mistral7b,0,,0.7874225751716337,0.7874225751716337,0.0
0.2,noise_gsm8k_phi3mini,0,,0.6823631474414764,0.6823631474414764,0.0
0.2,sciq_llama8b,0,,0.7404580152671755,0.7404580152671755,0.0
0.2,se_nq_open_llama8b,0,,0.7514252032258831,0.7514252032258831,0.0
0.2,se_squad_v2_llama8b,0,,0.8059890572876387,0.8059890572876387,0.0
0.2,seiclr_triviaqa_opt30b,0,,0.566801418995563,0.566801418995563,0.0
0.2,semenergy_triviaqa_qwen3_8b,0,,0.7890325294284387,0.7890325294284387,0.0
0.2,spilled_triviaqa_llama8b,0,,0.9333333333333332,0.9333333333333332,0.0
0.2,trace_gsm8k_llama8b_k10,0,,0.8098509552042161,0.8098509552042161,0.0
0.2,trace_math500_qwenmath15b_k10,0,,0.6887356473083994,0.6887356473083994,0.0
0.2,truthfulqa_llama8b,0,,0.6627738643658607,0.6627738643658607,0.0
0.5,ars_gsm8k_r1distill8b,0,,0.7094982223658695,0.7094982223658695,0.0
0.5,epr_triviaqa_mistral24b,0,,0.7445152059252608,0.7445152059252608,0.0
0.5,inside_coqa_llama7b,0,,0.5263194521987069,0.5263194521987069,0.0
0.5,internalstates_gsm8k_qwen25_7b,0,,0.7092944826655876,0.7092944826655876,0.0
0.5,lapeigvals_gsm8k_llama3b,0,,0.7089721749006246,0.7089721749006246,0.0
0.5,lapeigvals_gsm8k_llama8b,0,,0.8203619184882698,0.8203619184882698,0.0
0.5,lapeigvals_gsm8k_mistral24b,0,,0.842876639623929,0.842876639623929,0.0
0.5,lapeigvals_gsm8k_nemo,0,,0.7956286816981516,0.7956286816981516,0.0
0.5,lapeigvals_gsm8k_phi35,0,,0.808288610614192,0.808288610614192,0.0
0.5,losnet_hotpotqa_mistral7b,0,,0.5703891739215932,0.5703891739215932,0.0
0.5,math500_dsmath7b,0,,0.785141867013212,0.785141867013212,0.0
0.5,math500_qwenmath7b,0,,0.904728701825558,0.904728701825558,0.0
0.5,math500_r1distill8b,0,,0.8401434470767225,0.8401434470767225,0.0
0.5,math500_r1distill8b_mn4096,0,,0.8258838914576621,0.8258838914576621,0.0
0.5,noise_gsm8k_mistral7b,0,,0.7874225751716337,0.7874225751716337,0.0
0.5,noise_gsm8k_phi3mini,0,,0.6823631474414764,0.6823631474414764,0.0
0.5,sciq_llama8b,0,,0.7404580152671755,0.7404580152671755,0.0
0.5,se_nq_open_llama8b,0,,0.7514252032258831,0.7514252032258831,0.0
0.5,se_squad_v2_llama8b,0,,0.8059890572876387,0.8059890572876387,0.0
0.5,seiclr_triviaqa_opt30b,0,,0.566801418995563,0.566801418995563,0.0
0.5,semenergy_triviaqa_qwen3_8b,0,,0.7890325294284387,0.7890325294284387,0.0
0.5,spilled_triviaqa_llama8b,0,,0.9333333333333332,0.9333333333333332,0.0
0.5,trace_gsm8k_llama8b_k10,0,,0.8098509552042161,0.8098509552042161,0.0
0.5,trace_math500_qwenmath15b_k10,0,,0.6887356473083994,0.6887356473083994,0.0
0.5,truthfulqa_llama8b,0,,0.6627738643658607,0.6627738643658607,0.0
