cell,group,n,p_pool,pos_rate,good6,good6_lo,good6_hi,a7_anchored,a7_anchored_lo,a7_anchored_hi,a7_prior_free,k_selected,a7_fallback,k_star
ars_gsm8k_r1distill8b,math,500,30,0.728,0.7623222365869424,0.7192719134566014,0.8081373005421715,0.6389382676147382,0.581417195046823,0.6962773779119262,0.6389382676147382,6,False,6
epr_triviaqa_mistral24b,QA,621,28,0.7552,0.7331949276175513,0.6886537480793582,0.7772389500614711,0.7384973628100102,0.6933781520782374,0.7833345063384236,0.7384973628100102,4,False,4
inside_coqa_llama7b,QA,4504,27,0.147,0.6673670403915383,0.6488112956330424,0.6837172239111955,0.5713189882535374,0.5529227487322383,0.5892547746931064,0.5713189882535374,5,False,5
internalstates_gsm8k_qwen25_7b,math,500,29,0.294,0.703590217956871,0.6570667136213614,0.7512108479213238,0.7002177641594881,0.648467469898857,0.7502697954779998,0.7002177641594881,5,False,5
lapeigvals_gsm8k_llama3b,math,1319,30,0.445,0.7025209223522402,0.6759333031816923,0.7307971606691257,0.7058582586272703,0.6782400564910457,0.733884448707229,0.7058582586272703,4,False,4
lapeigvals_gsm8k_llama8b,math,500,29,0.724,0.8186404035551285,0.7711567354743692,0.8580648165776025,0.7820081671871247,0.7325431394600114,0.8281572218158109,0.7820081671871247,4,False,4
lapeigvals_gsm8k_mistral24b,math,1319,30,0.9174,0.808749715672151,0.763400779808458,0.853930722791971,0.845371142618849,0.8071534247020761,0.8838898513566388,0.845371142618849,4,False,4
lapeigvals_gsm8k_nemo,math,1319,29,0.8294,0.8013325208206379,0.7676924254068245,0.835092720443039,0.7676904326630103,0.7317665279929,0.8014096712807741,0.7676904326630103,5,False,5
lapeigvals_gsm8k_phi35,math,1319,29,0.8476,0.812493881220018,0.7787665354514937,0.844050304174346,0.7452273516140229,0.7053260055892868,0.7829770800503169,0.7452273516140229,5,False,5
losnet_hotpotqa_mistral7b,QA,500,29,0.338,0.5809721303562809,0.5261967779874676,0.6336454551559502,0.5711757450079551,0.5170976932519833,0.62374885973312,0.5711757450079551,5,False,5
math500_dsmath7b,math,300,30,0.19,0.7868023969388491,0.7286776968891407,0.8433421915075521,0.7984261064183092,0.7426428524038626,0.8534561515294975,0.7984261064183092,5,False,5
math500_qwenmath7b,math,300,28,0.2267,0.8900862068965518,0.8293664221024721,0.9403814842975834,0.9001648073022313,0.8348929767786554,0.9482515011278376,0.09983519269776876,3,False,3
math500_r1distill8b,math,300,28,0.2867,0.8357422299500108,0.7814336817890629,0.8907484149238755,0.8479134970658553,0.7998861211204265,0.8952888474202813,0.15208650293414472,3,False,3
math500_r1distill8b_mn4096,math,300,29,0.39,0.8328896361683247,0.7818109983237103,0.8795257895537624,0.8194386063238522,0.7715491975989871,0.8671759738749316,0.18056139367614776,3,False,3
noise_gsm8k_mistral7b,math,1319,29,0.4989,0.7902344702003504,0.7657416611722797,0.8145116562314939,0.7697464926035436,0.7444903729591744,0.7955729268853836,0.7697464926035436,4,False,4
noise_gsm8k_phi3mini,math,1319,29,0.7096,0.6800590256856576,0.6487334916578628,0.7124173436249387,0.6501640222266855,0.6162903256111804,0.6802877923569304,0.6501640222266855,6,False,6
sciq_llama8b,QA,198,30,0.6616,0.7477498006152443,0.6751510459853509,0.8162964964892888,0.7338498347954883,0.6611626090842205,0.8015878580428636,0.7338498347954883,4,False,4
se_nq_open_llama8b,QA,8460,27,0.4852,0.7303111911630826,0.7191237606685846,0.7413102296351514,0.7435973883044256,0.7332427868657728,0.754867566059099,0.7435973883044256,5,False,5
se_squad_v2_llama8b,QA,2933,27,0.2796,0.8110489074602057,0.7915325700417426,0.8268035054666013,0.7467114148188334,0.7266863652648117,0.7647722441902411,0.7467114148188334,5,False,5
seiclr_triviaqa_opt30b,QA,4993,28,0.4645,0.5883956570917686,0.5736987615377026,0.6032634125112591,0.5738083465811838,0.5586672467641299,0.5897441661025614,0.5738083465811838,6,False,6
semenergy_triviaqa_qwen3_8b,QA,4392,27,0.4768,0.8159613899549709,0.8030484609831504,0.8280154240998941,0.781042732229263,0.7681698890602998,0.7939046403691455,0.781042732229263,5,False,5
spilled_triviaqa_llama8b,QA,256,28,0.0234,0.942,0.8906118732077811,0.9921259842519685,0.8733333333333334,0.7219524374176548,0.9920948616600791,0.8733333333333334,4,False,4
trace_gsm8k_llama8b_k10,math,5000,29,0.736,0.8092908020421608,0.7944242014198413,0.8230489684474506,0.7849102437417654,0.768429687019836,0.7996810947522893,0.7849102437417654,4,False,4
trace_math500_qwenmath15b_k10,math,3000,30,0.1763,0.6759889194811037,0.6513559743558628,0.70204270939844,0.6757601791365855,0.6517172910238993,0.7019835526409217,0.6757601791365855,3,False,3
truthfulqa_llama8b,QA,7633,29,0.106,0.6571993052949163,0.6364614433933703,0.6787531550410818,0.679880650999816,0.6599579725293391,0.6992376710493563,0.679880650999816,6,False,6
