cell,group,n,pos_rate,auc_pl,auc_pl_abs,sign_wrong,auc_anchor4,cons_anchor4,nviews_anchor4,auc_good5,cons_good5,nviews_good5,auc_good6,cons_good6,nviews_good6,auc_loco5,cons_loco5,nviews_loco5,auc_hybrid_caq,cons_hybrid_caq,nviews_hybrid_caq,auc_best_seed,best_seed_name,fallback_name,auc_fallback,auc_fallback_abs,n_seeds,seeds,degraded,lsml_residual
ars_gsm8k_r1distill8b,math,500,0.728,0.7623,0.7623,False,0.6958,0.567,4,0.75,0.6473,5,0.7623,0.6328,6,0.7669,0.6092,5,0.7323,0.6296,5,0.7018,varentropy,logprob_margin,0.667,0.667,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,0.95516
epr_triviaqa_mistral24b,QA,621,0.7552,0.7332,0.7332,False,0.6792,0.735,4,0.7073,0.76,5,0.7332,0.7493,6,0.7366,0.7825,5,0.7261,0.7925,5,0.7375,epr,logprob_margin,0.7044,0.7044,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,2.91741
inside_coqa_llama7b,QA,4504,0.147,0.6674,0.6674,False,0.4483,0.6612,4,0.6841,0.5604,5,0.6674,0.5906,6,0.5292,0.4969,4,0.5487,0.6409,4,0.6408,spectral_entropy,anchor:epr,0.5728,0.5728,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,1.91941
internalstates_gsm8k_qwen25_7b,math,500,0.294,0.7036,0.7036,False,0.7062,0.6822,4,0.7039,0.7147,5,0.7036,0.7291,6,0.7411,0.6757,5,0.7165,0.7164,5,0.6913,sw_var_peak,logprob_margin,0.698,0.698,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,2.94327
lapeigvals_gsm8k_llama3b,math,1319,0.445,0.7025,0.7025,False,0.6851,0.678,4,0.6845,0.7406,5,0.7025,0.7502,6,0.6475,0.6908,5,0.7171,0.7322,5,0.7107,varentropy,logprob_margin,0.7079,0.7079,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,4.36806
lapeigvals_gsm8k_llama8b,math,500,0.724,0.8186,0.8186,False,0.8047,0.7212,4,0.8152,0.7279,5,0.8186,0.7559,6,0.8155,0.7476,5,0.8005,0.7678,5,0.8012,varentropy,logprob_margin,0.7749,0.7749,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.78341
lapeigvals_gsm8k_mistral24b,math,1319,0.9174,0.8087,0.8087,False,0.7408,0.7756,4,0.8006,0.7856,5,0.8087,0.8049,6,0.8128,0.7636,5,0.7755,0.8013,5,0.8548,varentropy,logprob_margin,0.8302,0.8302,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,5.16655
lapeigvals_gsm8k_nemo,math,1319,0.8294,0.8013,0.8013,False,0.7766,0.6904,4,0.782,0.7163,5,0.8013,0.719,6,0.8074,0.7112,5,0.8091,0.7357,5,0.7809,varentropy,logprob_margin,0.7547,0.7547,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,2.21727
lapeigvals_gsm8k_phi35,math,1319,0.8476,0.8125,0.8125,False,0.7973,0.676,4,0.8032,0.7095,5,0.8125,0.7309,6,0.8042,0.5536,5,0.8044,0.7268,5,0.7843,varentropy,logprob_margin,0.7667,0.7667,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.19933
losnet_hotpotqa_mistral7b,QA,500,0.338,0.581,0.581,False,0.5664,0.729,4,0.5754,0.732,5,0.581,0.726,6,0.5802,0.6767,5,0.5764,0.7631,5,0.5834,sw_var_peak,logprob_margin,0.5444,0.5444,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,1.78325
math500_dsmath7b,math,300,0.19,0.7868,0.7868,False,0.7825,0.6295,4,0.7512,0.6216,5,0.7868,0.6449,6,0.811,0.6097,5,0.7959,0.755,5,0.7706,epr,logprob_margin,0.7698,0.7698,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,0.86085
math500_qwenmath7b,math,300,0.2267,0.8901,0.8901,False,0.9206,0.9232,4,0.9109,0.8677,5,0.8901,0.8278,6,0.9317,0.8628,5,0.9279,0.9106,5,0.9306,epr,logprob_margin,0.936,0.936,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,5.48721
math500_r1distill8b,math,300,0.2867,0.8357,0.8357,False,0.8397,0.7965,4,0.8358,0.8118,5,0.8357,0.8199,6,0.8453,0.8536,5,0.8434,0.8978,5,0.8402,cusum_max,logprob_margin,0.8167,0.8167,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,5.16894
math500_r1distill8b_mn4096,math,300,0.39,0.8329,0.8329,False,0.8354,0.8687,4,0.8362,0.8753,5,0.8329,0.8842,6,0.851,0.9049,5,0.8459,0.9275,5,0.8269,spectral_entropy,logprob_margin,0.8154,0.8154,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,8.03798
noise_gsm8k_mistral7b,math,1319,0.4989,0.7902,0.7902,False,0.7876,0.7447,4,0.7851,0.7648,5,0.7902,0.763,6,0.8021,0.7721,5,0.8028,0.8005,5,0.759,spectral_entropy,logprob_margin,0.7216,0.7216,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,2.86186
noise_gsm8k_phi3mini,math,1319,0.7096,0.6801,0.6801,False,0.4798,0.5905,4,0.6643,0.6814,5,0.6801,0.6756,6,0.6675,0.6031,5,0.6819,0.691,5,0.6735,varentropy,logprob_margin,0.6516,0.6516,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,1.37215
sciq_llama8b,QA,198,0.6616,0.7477,0.7477,False,0.7472,0.7819,4,0.7381,0.8041,5,0.7477,0.8169,6,0.7473,0.8395,5,0.7541,0.8491,5,0.7438,varentropy,logprob_margin,0.7409,0.7409,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,5.11816
se_nq_open_llama8b,QA,8460,0.4852,0.7303,0.7303,False,0.6822,0.7506,4,0.718,0.7683,5,0.7303,0.7696,6,0.7356,0.7374,5,0.7439,0.7573,5,0.7465,varentropy,logprob_margin,0.7213,0.7213,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.13401
se_squad_v2_llama8b,QA,2933,0.2796,0.811,0.811,False,0.7959,0.7578,4,0.7982,0.7732,5,0.811,0.7665,6,0.832,0.7318,5,0.822,0.7504,5,0.7707,cusum_max,logprob_margin,0.7676,0.7676,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.17447
