method,label,pb_all8,pb_q4,pb_q8,valid_answers,prm_valid_answers,pb_clean_accuracy,pb_raw_exact,pb_early,pb_late,pb_exact_count,pb_error_count,pb_invalid,pb_correct_peaks_suppressed,prm_within,prm_within_n,prm_pooled,prm_pooled_steps,prm_fold_auc,prmscore_q08,prmscore_conditional,prmscore_answers
top10,Original answer-local RBM12,0.3627123083012945,0.36981846288211506,0.3556061537204739,13769,6969,0.5008481764206955,0.3235029266096353,1286,1719,1437,4442,0,226,0.7452044991713739,6030,0.7058494397346221,94203,0.7062049842083509,0.622215135338216,0.622215135338216,6969
factor_stationary,Gaussian factor: fixed weights,0.36372403740430836,0.370830582533878,0.3566174922747387,13769,6969,0.5008481764206955,0.3345339936965331,1039,1917,1486,4442,0,261,0.7461098695918819,6030,0.694007599676528,94203,0.6941613141391045,0.6073419766344185,0.6073419766344185,6969
factor_position_mean,"Gaussian factor: fixed weights, position mean",0.2863003015986903,0.2889246898655409,0.2836759133318397,13769,6969,0.5008481764206955,0.26159387663214767,1901,1379,1162,4442,0,184,0.7432244052693501,6030,0.6844897872949924,94203,0.6846103691509646,0.6038487205575493,0.6038487205575493,6969
factor_rank1,"Gaussian factor: answer position, rank 1",0.21159985448611807,0.2183260212850514,0.20487368768718472,13769,6969,0.5008481764206955,0.15105808194506978,3596,175,671,4442,0,82,0.7413634954697564,6030,0.6799572849736811,94203,0.680054190275414,0.6012416480441678,0.6012416480441678,6969
factor_rank2,"Gaussian factor: answer position, rank 2",0.3354347655278983,0.3417981142250701,0.3290714168307265,13769,6969,0.5008481764206955,0.3025664115263395,582,2516,1344,4442,0,295,0.7559058653209124,6030,0.6925622203497516,94203,0.6926657226235572,0.6051422783073643,0.6051422783073643,6969
factor_rank2_shuffled,"Gaussian factor: shuffled positions, rank 2",0.3049283130433438,0.3045181353348533,0.3053384907518343,13769,6969,0.5008481764206955,0.2742008104457452,1360,1864,1218,4442,0,228,0.7461894768117043,6030,0.6940038413928434,94203,0.694159198195378,0.6072198371694284,0.6072198371694284,6969
iu_stationary,IU-PCR: fixed weights,0.20071440274580174,0.20804587343081343,0.1933829320607901,13769,6969,0.5008481764206955,0.1330481764970734,3806,45,591,4442,0,74,0.691177510580797,6030,0.6522204335963272,94203,0.6523653162256057,0.5689027933683526,0.5689027933683526,6969
iu_position_mean,"IU-PCR: fixed weights, position mean",0.22892863917679632,0.24137373967952674,0.21648353867406592,13769,6969,0.5008481764206955,0.15285907248986944,3582,181,679,4442,0,94,0.7242396542021788,6030,0.666955679198069,94203,0.6671279885985,0.5869775437322208,0.5869775437322208,6969
iu_position,IU-PCR: answer position,0.35515702518994285,0.3562880631325465,0.3540259872473392,13769,6969,0.5008481764206955,0.32575416479063485,924,2071,1447,4442,0,284,0.7657309700448065,6030,0.695277206172432,94203,0.6954994160216679,0.6144165804749765,0.6144165804749765,6969
iu_position_shuffled,IU-PCR: shuffled positions,0.2065340859587502,0.21923025206199748,0.1938379198555029,13769,6969,0.5008481764206955,0.13529941467807294,3773,68,601,4442,0,74,0.6910615206280238,6030,0.6522103015712696,94203,0.6523566372038864,0.5690697900243797,0.5690697900243797,6969
rbm_stationary,Gaussian RBM: fixed weights,0.3624031227052324,0.3683983122109495,0.3564079331995153,13769,6969,0.5008481764206955,0.3237280504277353,1366,1638,1438,4442,0,229,0.744479333989283,6030,0.6799900525535384,94203,0.6801355215353133,0.5971785450425091,0.5971785450425091,6969
rbm_rank1,"Gaussian RBM: answer position, rank 1",0.35717208551905444,0.3651692987717836,0.34917487226632526,13769,6969,0.5008481764206955,0.31922557406573615,1418,1606,1418,4442,0,229,0.747233740832643,6030,0.6861241926687307,94203,0.6862610092944916,0.6001774426756752,0.6001774426756752,6969
rbm_rank2,"Gaussian RBM: answer position, rank 2",0.22187184536552632,0.23114378523686782,0.21259990549418484,13769,6969,0.5008481764206955,0.15623592976136874,3594,154,694,4442,0,114,0.6879324324173988,6030,0.6530259429589124,94203,0.6531356726513823,0.5667917228189614,0.5667917228189614,6969
rbm_rank2_shuffled,"Gaussian RBM: shuffled positions, rank 2",0.3602922269696779,0.3677767802010505,0.35280767373830524,13769,6969,0.5008481764206955,0.3237280504277353,1309,1695,1438,4442,0,236,0.7480458455663108,6030,0.6852636845705071,94203,0.6853965084997375,0.6001863538635578,0.6001863538635578,6969
equal,Equal feature weights,0.20181241351606602,0.21024189497134194,0.1933829320607901,13769,6969,0.5008481764206955,0.13327330031517334,3804,46,592,4442,0,74,0.6891043599585708,6030,0.650661588912492,94203,0.6508050135953064,0.5677957401489357,0.5677957401489357,6969
position_early,Position only: early,0.18755568236605719,0.18990899659943522,0.18520236813267912,13769,6969,0.5008481764206955,0.12246735704637551,3898,0,544,4442,0,61,0.33826853686226915,6030,0.3657813080141942,94203,0.3657158127539914,0.4145743892923698,0.4145743892923698,6969
position_late,Position only: late,0.06703547918834357,0.06271829781775273,0.07135266055893444,13769,6969,0.5008481764206955,0.04097253489419181,0,4260,182,4442,0,45,0.6617314631377309,6030,0.6621386300927519,94203,0.6621836445473451,0.5433187912169261,0.5433187912169261,6969
reference__rbm6__old,reference__rbm6__old,0.36201684493602676,0.37351290000539755,0.350520789866656,13769,6969,0.5008481764206955,0.3275551553354345,1244,1743,1455,4442,0,239,0.7359819427631672,6030,0.7081098773075334,94203,0.7084114634537172,0.6307492926682718,0.6307492926682718,6969
reference__rbm6__logit_old,reference__rbm6__logit_old,0.349707841643353,0.3565810434023544,0.34283463988435153,13769,6969,0.5008481764206955,0.3039171544349392,1570,1522,1350,4442,0,198,0.7356357370021873,6030,0.7000044693128635,94203,0.700317801956164,0.622232585877287,0.622232585877287,6969
reference__rbm12__old,reference__rbm12__old,0.36375046669893774,0.37118546805583574,0.35631546534203984,13769,6969,0.5008481764206955,0.32778027915353447,1217,1769,1456,4442,0,244,0.7387017592037592,6030,0.710417498206284,94203,0.7108125617128248,0.6292760348084029,0.6292760348084029,6969
reference__rbm12__logit_old,reference__rbm12__logit_old,0.3627123083012945,0.36981846288211506,0.3556061537204739,13769,6969,0.5008481764206955,0.3235029266096353,1286,1719,1437,4442,0,226,0.7452044991713739,6030,0.7058494397346221,94203,0.7062049842083509,0.622215135338216,0.622215135338216,6969
reference__initial6__old,reference__initial6__old,0.35966210065316107,0.36767337993745064,0.35165082136887144,13769,6969,0.5008481764206955,0.3196758217019361,1561,1461,1420,4442,0,206,0.744067528910734,6030,0.6950464031735148,94203,0.695218891299853,0.6130847986432351,0.6130847986432351,6969
reference__initial12__old,reference__initial12__old,0.3629459417341435,0.3714627820322608,0.3544291014360264,13769,6969,0.5008481764206955,0.32417829806393517,1537,1465,1440,4442,0,222,0.7463248825565488,6030,0.6901095815877019,94203,0.6902917377169364,0.6053132074697835,0.6053132074697835,6969
reference__entropy__old,reference__entropy__old,0.35444376642134146,0.3639529013997512,0.3449346314429317,13769,6969,0.5008481764206955,0.31539846915803693,1124,1917,1401,4442,0,232,0.7301113611124386,6030,0.7026639408146143,94203,0.7030379238662297,0.625425539209566,0.625425539209566,6969
reference__var15__old,reference__var15__old,0.35960987290405433,0.36635390100610593,0.3528658448020027,13769,6969,0.5008481764206955,0.32620441242683473,1120,1873,1449,4442,0,260,0.7377863024015934,6030,0.710137783099181,94203,0.7105331032863103,0.6257812284738609,0.6257812284738609,6969
reference__var50__old,reference__var50__old,0.3567552412698325,0.36080751148342693,0.35270297105623816,13769,6969,0.5008481764206955,0.32215218370103554,1051,1960,1431,4442,0,247,0.742464548435578,6030,0.7157833866814454,94203,0.7162015945577326,0.6327768738968429,0.6327768738968429,6969
reference__var15_iu__old,reference__var15_iu__old,0.3534983585022531,0.35898223922652384,0.34801447777798244,13769,6969,0.5008481764206955,0.3169743358847366,1089,1945,1408,4442,0,243,0.74682374405604,6030,0.710261309641098,94203,0.7104753244529731,0.6226885909285921,0.6226885909285921,6969
reference__var15_equal__old,reference__var15_equal__old,0.3559804364327355,0.3612819032849405,0.3506789695805306,13769,6969,0.5008481764206955,0.3185502026114363,1080,1947,1415,4442,0,240,0.746980350290861,6030,0.6999879034964627,94203,0.7001582996975813,0.6128118227013558,0.6128118227013558,6969
reference__shrinkage__old,reference__shrinkage__old,0.35871143187885435,0.36697741533481043,0.35044544842289826,13769,6969,0.5008481764206955,0.32440342188203514,1305,1696,1441,4442,0,232,0.738630248995498,6030,0.7079965583222773,94203,0.7082592641948146,0.6295438953640439,0.6295438953640439,6969
reference__diagonal__old,reference__diagonal__old,0.35806949103323005,0.36788322126251166,0.3482557608039484,13769,6969,0.5008481764206955,0.32462854570013505,1173,1827,1442,4442,0,247,0.7330448590587003,6030,0.7047273028297086,94203,0.70495021124748,0.6253013416428403,0.6253013416428403,6969
