cell,n_samples,n_features,minimum_abs_iu_weight,maximum_abs_iu_weight,minimum_relative_iu_weight,n_relative_weight_below_1e_6,atomic_reconstruction_error,correction_scale,baseline_correction_covariance,weight_reconstruction_error
ars_gsm8k_r1distill8b,500,30,0.00023828040196256176,0.034381536921666005,0.006930475577792046,0,4.440892098500626e-16,0.24253562503633297,-1.021405182655144e-17,8.881784197001252e-16
internalstates_gsm8k_qwen25_7b,500,29,0.002988817888348358,0.03699672128348798,0.08078602061643496,0,2.220446049250313e-16,0.24253562503633297,3.730349362740526e-17,4.440892098500626e-16
lapeigvals_gsm8k_llama3b,1319,30,0.0004304257188094587,0.03360214012358862,0.012809473361707128,0,4.440892098500626e-16,0.24253562503633294,6.397039414064587e-17,8.881784197001252e-16
lapeigvals_gsm8k_llama8b,500,29,0.0008135570369670785,0.03446730848045368,0.023603729819183433,0,4.440892098500626e-16,0.24253562503633297,6.350475700855895e-17,1.7763568394002505e-15
lapeigvals_gsm8k_mistral24b,1319,30,0.00018270238308808315,0.03438731904918331,0.005313074358218172,0,8.881784197001252e-16,0.242535625036333,-5.993015872123666e-17,1.7763568394002505e-15
lapeigvals_gsm8k_nemo,1319,29,0.002216644600987506,0.037054912799109316,0.05982053211148799,0,8.881784197001252e-16,0.24253562503633297,2.962839307566756e-17,1.7763568394002505e-15
lapeigvals_gsm8k_phi35,1319,29,0.0005026581248232676,0.038186464582630274,0.013163253794694305,0,4.440892098500626e-16,0.24253562503633302,1.9527804527144528e-17,1.7763568394002505e-15
noise_gsm8k_mistral7b,1319,29,0.00032067483941662644,0.03663231868197592,0.008753877749333052,0,3.3306690738754696e-16,0.242535625036333,-1.7339343674964536e-17,4.440892098500626e-16
noise_gsm8k_phi3mini,1319,29,0.00047402902355253313,0.03551669625931749,0.013346653080892223,0,6.661338147750939e-16,0.24253562503633294,-3.366862849507677e-17,8.881784197001252e-16
trace_gsm8k_llama8b_k10,5000,29,0.001754891181805619,0.03444020193970434,0.050954729733523864,0,8.881784197001252e-16,0.24253562503633297,3.3040237212844656e-17,1.7763568394002505e-15
losnet_hotpotqa_mistral7b,500,29,0.0013086466175719342,0.037451974854844514,0.03494199231533066,0,4.440892098500626e-16,0.242535625036333,7.638334409421076e-17,8.881784197001252e-16
math500_dsmath7b,300,30,0.0027553218369940026,0.03699645351002268,0.07447529629421264,0,4.440892098500626e-16,0.24253562503633297,3.9968028886505634e-17,4.440892098500626e-16
math500_qwenmath7b,300,28,0.0004522856274953394,0.032853205226726495,0.01376686458365406,0,2.220446049250313e-16,0.24253562503633294,-3.7007434154171884e-18,6.661338147750939e-16
math500_r1distill8b,300,28,0.00022615428637332436,0.03334098341298588,0.006783071859999192,0,2.220446049250313e-16,0.24253562503633297,-6.217248937900877e-17,4.440892098500626e-16
math500_r1distill8b_mn4096,300,29,0.0002692684981412709,0.032695975693234645,0.008235524171770996,0,2.220446049250313e-16,0.242535625036333,2.2944609175586568e-17,4.440892098500626e-16
trace_math500_qwenmath15b_k10,3000,30,0.001594623589461378,0.03218601528917557,0.049543989062779806,0,4.440892098500626e-16,0.24253562503633297,-1.2138438402568377e-16,8.881784197001252e-16
se_nq_open_llama8b,8460,27,0.0030255657509789015,0.04006846800072204,0.07550989348842536,0,4.440892098500626e-16,0.24253562503633297,6.215149225324754e-17,8.881784197001252e-16
sciq_llama8b,198,30,0.0068804689288757106,0.033921889663738276,0.20283271353926885,0,2.220446049250313e-16,0.24253562503633294,-1.1775092685418326e-16,8.881784197001252e-16
se_squad_v2_llama8b,2933,27,0.002134411563313188,0.04110578942954632,0.05192484058654278,0,4.440892098500626e-16,0.24253562503633297,6.662095204024124e-18,8.881784197001252e-16
epr_triviaqa_mistral24b,621,28,0.00042705814572115337,0.03642764818709671,0.011723461902556328,0,4.440892098500626e-16,0.242535625036333,2.073846551634753e-17,4.440892098500626e-16
seiclr_triviaqa_opt30b,5000,19,0.0027091065166400044,0.04609517003088982,0.05877202567697542,0,2.220446049250313e-16,0.24253562503633297,2.9842794901924206e-17,8.881784197001252e-16
semenergy_triviaqa_qwen3_8b,4392,27,0.0003294804165934941,0.04349948351377294,0.007574352382578819,0,4.440892098500626e-16,0.24253562503633297,-5.965679276218965e-17,8.881784197001252e-16
truthfulqa_llama8b,7633,29,0.003174203444185328,0.03745360531628541,0.08475027750679946,0,4.440892098500626e-16,0.24253562503633297,9.471731083923778e-17,6.661338147750939e-16
