feature_index,feature_name,source_stream,operator,post_transform,confidence_sign,implementation,derivation,operator_taxonomy_source,function_signature_role,inherited_input_contract,manual_provenance_registry_used
0,epr,token_entropies,mean_level,raw,-1,"{""default_parameters"": {""allow_short"": false, ""spilled_energies"": null}, ""function"": ""extract_all_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 321}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
1,trace_length,generated_token_ids,length,raw,-1,"{""default_parameters"": {""allow_short"": false, ""spilled_energies"": null}, ""function"": ""extract_all_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 321}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
2,spectral_entropy,token_entropies,fft_entropy,raw,-1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
3,low_band_power,token_entropies,fft_low_band,raw,-1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
4,high_band_power,token_entropies,fft_high_band,raw,1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
5,hl_ratio,token_entropies,fft_band_ratio,raw,1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
6,dominant_freq,token_entropies,fft_peak_location,raw,1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
7,spectral_centroid,token_entropies,fft_centroid,raw,1,"{""default_parameters"": {""min_len"": 8}, ""function"": ""compute_spectral_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 33}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
8,stft_max_high_power,token_entropies,stft_high_band_peak,raw,-1,"{""default_parameters"": {""min_len"": 32, ""noverlap"": 8, ""nperseg"": 16}, ""function"": ""compute_stft_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 77}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
9,stft_spectral_entropy,token_entropies,stft_frame_entropy,mode,-1,"{""default_parameters"": {""min_len"": 32, ""noverlap"": 8, ""nperseg"": 16}, ""function"": ""compute_stft_features"", ""module"": ""spectral_utils.feature_utils"", ""source_file"": ""spectral_utils/feature_utils.py"", ""source_line"": 77}",extractor_registry_plus_explicit_operator_taxonomy,handwritten label-blind _operator_record mapping,records implementation provenance and scalar defaults only,mixed-v2 post-transforms and confidence signs were frozen in earlier label-informed development,False
