method,ridge,block_quantile,cv_mse
pca,1.0,1.0,0.04313297020549438
pca,0.1,1.0,0.045077638651632654
pca,10.0,1.0,0.04522463332445328
pca,0.01,1.0,0.05384808545554467
pca_full,0.01,1.0,0.04566957171494616
pca_full,0.1,1.0,0.04566957171494616
pca_full,1.0,1.0,0.04566957171494616
pca_full,10.0,1.0,0.04566957171494616
rjd,0.1,1.0,0.03882891214729028
rjd,1.0,1.0,0.04027455876741206
rjd,10.0,1.0,0.044809652891493315
rjd,0.01,1.0,0.04603696049738581
ajd,0.1,1.0,0.034320243836419094
ajd,1.0,1.0,0.038533632132176344
ajd,10.0,1.0,0.044568745514732944
ajd,0.01,1.0,0.05082056589547632
jbd,0.1,0.95,0.029983621668971238
jbd,0.1,0.85,0.030068967878428353
jbd,0.1,0.9,0.030634029240186954
jbd,0.1,1.0,0.034320243836419094
jbd,0.01,0.85,0.03460220668543884
jbd,0.01,0.75,0.03583811884184182
jbd,0.1,0.75,0.036084441691958895
jbd,1.0,0.95,0.037324566539814974
jbd,1.0,0.9,0.0383959736230245
jbd,1.0,1.0,0.038533632132176344
jbd,0.01,0.65,0.03863728839690684
jbd,0.1,0.65,0.03918798606915526
jbd,1.0,0.85,0.03963146177991313
jbd,1.0,0.75,0.042575703349248
jbd,1.0,0.65,0.04378994421628825
jbd,10.0,0.95,0.04440333552625961
jbd,10.0,1.0,0.044568745514732944
jbd,10.0,0.9,0.04461878675724922
jbd,10.0,0.85,0.04483905815404143
jbd,10.0,0.75,0.04526831960548877
jbd,10.0,0.65,0.045435141343314896
jbd,0.01,0.5,0.04566957171494616
jbd,0.1,0.5,0.04566957171494616
jbd,1.0,0.5,0.04566957171494616
jbd,10.0,0.5,0.04566957171494616
jbd,0.01,0.95,0.04572840738014676
jbd,0.01,0.9,0.04891551025604903
jbd,0.01,1.0,0.05082056589547632
