method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,valid_answers,within_answers,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
"Varentropy contributions + H,V,chosen (18) / Normalized continuous mean",var18__continuous_equal,35.689055847261045,36.028683753235605,35.3494279412865,0.7466370687519219,0.6980784960000048,0.6129329845277366,13769,6030,43.78300528084493,40.75721780750468,31.57338965153115,33.37877000263456,34.789685163521696,33.47225027079623,33.9686549170446,33.78947368421053
"Varentropy contributions + H,V,chosen (18) / Equal median votes",var18__binary_equal,26.401732622784124,25.90796679399051,26.895498451577744,0.7003429232946722,0.6032115942913744,0.5184770543685026,13769,6030,31.781432952327854,31.429317613699958,26.94560669456067,28.617041024689065,19.309320460453026,20.184596084053947,25.59550706862049,27.351039083868002
"Varentropy contributions + H,V,chosen (18) / Signed SML median votes",var18__sml,23.58524728792392,23.51396926332985,23.65652531251799,0.7019670181668599,0.6235238274707082,0.5338107389373534,13769,6030,31.781432952327854,29.05829596412556,25.755879059350505,27.802982829928567,15.943084901212876,16.669796263261667,20.57548014042817,21.095026192756155
"Varentropy contributions + H,V,chosen (18) / Latent SML median votes",var18__lsml,21.604602600995438,21.967603675046085,21.24160152694479,0.6738233944543708,0.6216581283772021,0.527581377880691,13769,6030,29.665830979657898,25.542508609601267,25.351984636538223,25.762080823228274,14.16022027009309,14.134018619084562,18.692378813895125,19.527798055865063
"Entropy and varentropy contributions + H,V,chosen (33) / Normalized continuous mean",both33__continuous_equal,35.27251468079771,36.05682550013622,34.488203861459205,0.7421036071027179,0.7015726001616286,0.6155017649786889,13769,6030,44.54065469904963,39.43973694195017,32.268196666387475,32.822671091121414,32.53170091823349,31.8,34.88674971687429,33.89040741276524
"Entropy and varentropy contributions + H,V,chosen (33) / Equal median votes",both33__binary_equal,26.60249269217232,26.262348887229454,26.942636497115192,0.7012232330113348,0.6048058018397183,0.5190880527361649,13769,6030,32.801738651320825,31.804711809156917,27.14075789286191,28.617041024689065,19.5113919361146,19.997754070746772,25.59550706862049,27.351039083868002
"Entropy and varentropy contributions + H,V,chosen (33) / Signed SML median votes",both33__sml,24.036812776733395,23.790196826188016,24.28342872727879,0.7011130370552588,0.6212182886170198,0.5330433995120523,13769,6030,32.29461756373937,29.872075602166646,25.148636643203716,28.93696666707712,16.80886285495989,17.076815316367036,20.908670242849066,21.247857323504345
"Entropy and varentropy contributions + H,V,chosen (33) / Latent SML median votes",both33__lsml,21.842989897647875,22.153897230555767,21.53208256473999,0.6738386581183184,0.6177408839768088,0.5215161483332245,13769,6030,30.20439061317184,26.46302119491975,25.148636643203716,25.40936736497375,13.703443429374563,14.568163186574722,19.559118236472948,19.687778512491736
Direct probability + change IU-PCR (34 inputs),ref__delta_iu,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769,6030,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
Direct probability IU-PCR (17 inputs),ref__direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Token entropy reference,ref__entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
Top-15 varentropy / Normalized equal weights,ref__k15__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
Top-15 varentropy / IU-PCR learned weights,ref__k15__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
Top-15 varentropy / Original sum,ref__k15__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
Top-50 varentropy / Normalized equal weights,ref__k50__equal,34.87403074470651,35.243554110610184,34.50450737880282,0.7463228077696503,0.7172822630254639,0.6272901548806193,13769,6030,41.003790498851785,39.97626038608109,32.44005641748942,32.398695854680945,33.67826581036175,33.09440236467763,33.8521037157378,32.54867090977162
Top-50 varentropy / IU-PCR learned weights,ref__k50__iu,34.41389288615792,34.606834206290834,34.22095156602501,0.7458324345111156,0.7205546045235346,0.6284092525263825,13769,6030,39.74805983578899,39.16653411802132,32.095604822209864,31.968664610477187,32.965886566748964,33.09440236467763,33.6177856004155,32.654205170923866
Top-50 varentropy / Original sum,ref__k50__raw,35.67552412698325,36.08075114834269,35.27029710562382,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030,43.398300313664514,40.5,32.95128939828081,32.112689238832864,34.23826690130017,34.57809177089716,33.73514798012529,33.89040741276524
