checkpoint_date,git_rev,stale_rows_at_gate,new_bench_rows,variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro,role,current_best_ref,delta_vs_current_best_ref,n_cells_shared_with_best_ref,delta_vs_current_best_ref_MATCHED
2026-07-23,d75d7a8-dirty,0,0,ref.LOCO_5,c46,24,0.7705,0.7437,0.7866,0.0158,0.00013,22,0,2,SUCCESS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,0.0,24,0.0
2026-07-23,d75d7a8-dirty,0,0,ref.GOOD_6,c46,25,0.7594,0.7274,0.7807,0.0075,0.00507,18,0,7,PASS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.011099999999999999,24,-0.007283250636522021
2026-07-23,d75d7a8-dirty,0,0,a1.router@loco5,c46,24,0.7584,0.7382,0.7704,0.0036,0.03148,20,0,4,PASS,"router (fixed subset, learned fusion choice only)",ref.LOCO_5,-0.0121,24,-0.012163555565499529
2026-07-23,d75d7a8-dirty,0,0,a6.pl_dufs,c46,25,0.7524,0.7091,0.7813,0.0005,0.17296,17,0,8,PASS,OUR ALGORITHM (selector of record),ref.LOCO_5,-0.018100000000000005,24,-0.008686089406303998
2026-07-23,d75d7a8-dirty,0,0,a6.pl_dufs@loco5,c46,25,0.752,0.711,0.7793,0.0001,0.09032,18,0,7,PASS,fs_selector_candidate,ref.LOCO_5,-0.01849999999999996,24,-0.008901832363961915
2026-07-23,d75d7a8-dirty,0,0,ref.GOOD_5,c46,25,0.7519,0.721,0.7725,0.0,,0,25,0,PASS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.01859999999999995,24,-0.015789648672519085
2026-07-23,d75d7a8-dirty,0,0,a6.pl_dufs@central4,c46,25,0.7517,0.7117,0.7785,-0.0002,0.20022,17,0,8,PASS,fs_selector_candidate,ref.LOCO_5,-0.018799999999999928,24,-0.009385778533087197
2026-07-23,d75d7a8-dirty,0,0,a6.fp_rank,c46,25,0.7509,0.7113,0.7773,-0.001,0.0802,19,0,6,PASS,fs_selector_candidate,ref.LOCO_5,-0.01959999999999995,24,-0.009657506806346916
2026-07-23,d75d7a8-dirty,0,0,a6.dufs,c46,25,0.7508,0.7098,0.7781,-0.0011,0.45785,15,0,10,PASS,fs_selector_candidate,ref.LOCO_5,-0.01969999999999994,24,-0.010838977227386137
2026-07-23,d75d7a8-dirty,0,0,a6.fp_dufs,c46,25,0.7508,0.7098,0.7781,-0.0011,0.49079,15,0,10,PASS,fs_selector_candidate,ref.LOCO_5,-0.01969999999999994,24,-0.010813469942953957
2026-07-23,d75d7a8-dirty,0,0,a2.dufs_pf,c46,25,0.7507,0.7089,0.7787,-0.0012,0.52491,14,0,11,PASS,fs_selector_candidate,ref.LOCO_5,-0.01979999999999993,24,-0.010663703909219335
2026-07-23,d75d7a8-dirty,0,0,a2.dufs,c46,25,0.7502,0.7087,0.7778,-0.0017,0.44184,15,0,10,PASS,fs_selector_candidate,ref.LOCO_5,-0.020299999999999985,24,-0.010825439514888235
2026-07-23,d75d7a8-dirty,0,0,a1.router@good5,c46,25,0.7494,0.7154,0.7721,-0.0025,0.7751,13,1,11,PASS,"router (fixed subset, learned fusion choice only)",ref.LOCO_5,-0.021100000000000008,24,-0.015213440842828718
2026-07-23,d75d7a8-dirty,0,0,ref.top_macro_5,c46,25,0.7489,0.7211,0.7675,-0.003,0.79148,14,0,11,PASS,"reference_macro (hand-curated, not FS output)",ref.LOCO_5,-0.021599999999999953,24,-0.01792845406211807
2026-07-23,d75d7a8-dirty,0,0,a6.pl_rank,c46,25,0.7487,0.7096,0.7748,-0.0032,0.05203,17,1,7,PASS,fs_selector_candidate,ref.LOCO_5,-0.02179999999999993,24,-0.010993344909022262
2026-07-23,d75d7a8-dirty,0,0,a2.select,c46,25,0.7481,0.7072,0.7754,-0.0038,0.67208,15,0,10,PASS,fs_selector_candidate,ref.LOCO_5,-0.022399999999999975,24,-0.0121890602243383
2026-07-23,d75d7a8-dirty,0,0,a6.pl_dufs_noseed,c46,25,0.7478,0.7008,0.7791,-0.0041,1.0,13,0,12,PASS,fs_selector_candidate,ref.LOCO_5,-0.022699999999999942,24,-0.013545466196553946
2026-07-23,d75d7a8-dirty,0,0,a4.good5+K_intrinsic_kn,c46,25,0.7472,0.7099,0.7721,-0.0047,0.16765,8,3,14,PASS,fs_selector_candidate,ref.LOCO_5,-0.023299999999999987,24,-0.01700369769146981
2026-07-23,d75d7a8-dirty,0,0,a1.good5+K_kn,c46,25,0.7467,0.7096,0.7715,-0.0052,0.11377,7,4,14,FAIL,fs_selector_candidate,ref.LOCO_5,-0.023799999999999932,24,-0.017504117850731027
2026-07-23,d75d7a8-dirty,0,0,a2.select+groups,c46,25,0.7462,0.7043,0.7742,-0.0057,0.97721,12,1,12,FAIL,fs_selector_candidate,ref.LOCO_5,-0.02429999999999999,24,-0.014088884115856182
2026-07-23,d75d7a8-dirty,0,0,a4.good5+K_intrinsic_ah,c46,25,0.7413,0.717,0.7576,-0.0106,0.01729,1,17,7,FAIL,fs_selector_candidate,ref.LOCO_5,-0.029200000000000004,24,-0.02678015932286293
2026-07-23,d75d7a8-dirty,0,0,a1.good5+K_ah,c46,25,0.7391,0.7105,0.7582,-0.0128,0.01565,3,11,11,FAIL,fs_selector_candidate,ref.LOCO_5,-0.031399999999999983,24,-0.025410712005979774
2026-07-23,d75d7a8-dirty,0,0,a3.cae_k3,c46,25,0.7388,0.6964,0.7671,-0.0131,0.20022,10,0,15,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03169999999999995,24,-0.02473793249621392
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_adapt,c46,25,0.7379,0.6991,0.7638,-0.014,0.06263,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03259999999999996,24,-0.02592084691226082
2026-07-23,d75d7a8-dirty,0,0,a2.groups@good5,c46,25,0.7378,0.6932,0.7675,-0.0141,0.02405,6,3,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03269999999999995,24,-0.022134005603435813
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03389999999999993,24,-0.02605319866809508
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03389999999999993,24,-0.02605319866809508
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_adapt,c46,25,0.7366,0.6959,0.7637,-0.0153,0.05507,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03389999999999993,24,-0.026053198668094968
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_adapt,c46,25,0.7366,0.6959,0.7638,-0.0153,0.05507,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03389999999999993,24,-0.025988342680958176
2026-07-23,d75d7a8-dirty,0,0,random_s6,c46,25,0.736,0.683,0.7714,-0.0159,0.04215,9,0,16,FAIL,fs_selector_candidate,ref.LOCO_5,-0.034499999999999975,24,-0.028920012141257168
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s6,c46,25,0.7355,0.6957,0.7621,-0.0164,0.04512,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03499999999999992,24,-0.028161506167406536
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_s6,c46,25,0.7355,0.6957,0.7621,-0.0164,0.04512,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03499999999999992,24,-0.028161506167406536
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_s6,c46,25,0.7355,0.6951,0.7623,-0.0164,0.04512,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03499999999999992,24,-0.02823965681627072
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_s6,c46,25,0.7355,0.6954,0.7623,-0.0164,0.04826,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03499999999999992,24,-0.028166393122249445
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s6,c46,25,0.7355,0.6954,0.7622,-0.0164,0.04826,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03499999999999992,24,-0.02820292038456651
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s5,c46,25,0.7354,0.6947,0.7625,-0.0165,0.05158,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03509999999999991,24,-0.02828427075759199
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.5_s5,c46,25,0.7349,0.6941,0.762,-0.017,0.05158,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.035599999999999965,24,-0.028823800437489333
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.3_s5,c46,25,0.7347,0.6936,0.762,-0.0172,0.04512,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03579999999999994,24,-0.02903267970527279
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s5,c46,25,0.7346,0.6937,0.7619,-0.0173,0.04215,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03589999999999993,24,-0.029105265348725484
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.0_s5,c46,25,0.7346,0.6937,0.7619,-0.0173,0.04215,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03589999999999993,24,-0.029105265348725484
2026-07-23,d75d7a8-dirty,0,0,a4.intrinsic_k_ah,c46,25,0.733,0.6924,0.7601,-0.0189,0.04512,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.03749999999999998,24,-0.030890402787314475
2026-07-23,d75d7a8-dirty,0,0,a5.mrmr_a0.7_s4,c46,25,0.7327,0.6917,0.7601,-0.0192,0.03417,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.037799999999999945,24,-0.031160862950318946
2026-07-23,d75d7a8-dirty,0,0,a4.anchor_s4,c46,25,0.7326,0.6917,0.7598,-0.0193,0.03417,8,0,17,FAIL,fs_selector_candidate,ref.LOCO_5,-0.037899999999999934,24,-0.03133335517869096
