lane,population_or_budget,metric,ciw,value_reference,reference,delta
frozen_24,cell_macro,auroc,0.7820255514493354,0.781815346014,deem_b3,0.0002102054353354
frozen_24,equal_dataset_family,auroc,0.7492330051057238,0.7485013545013170,deem_b3,0.0007316506044068
external_final_answer,evidence_drop_4cell,auroc,0.8306735204856512,0.8319035497640841,deem_b3,-0.0012300292784329
external_final_answer,gpqa_k10_stress_4cell,auroc,0.5617405376245901,0.5603161478471432,deem_b3,0.0014243897774469
external_final_answer,hle_interim,auroc,0.5056853363354912,0.4999085280045033,deem_b3,0.0057768083309879
external_final_answer,prmbench_response,auroc,0.6886427717746104,0.6966773445787884,deem_b3,-0.0080345728041780
external_final_answer,processbench_response_12cell,auroc,0.7018020000000000,0.7036482500000000,deem_b3,-0.0018462500000000
localization,processbench_macro,macro_f1,0.309136,0.310228,deem_b3,-0.001092
localization,processbench_first_error,exact,0.222786,0.223170,deem_b3,-0.000384
localization,prmbench_step,auroc,0.581138,0.584218,deem_b3,-0.003080
causal_early_detection,budget_16,auroc,0.5638959312724066,0.5636262710085700,iu28_no_length,0.0002696602638366
causal_early_detection,budget_32,auroc,0.5623872613450399,0.5737666014709945,iu28_no_length,-0.0113793401259546
causal_early_detection,budget_64,auroc,0.5875030475324372,0.5872509927898643,iu28_no_length,0.0002520547425729
causal_early_detection,budget_128,auroc,0.6110731862781332,0.6117395523561043,iu28_no_length,-0.0006663660779711
causal_early_detection,budget_256,auroc,0.6461652284862838,0.6482904528285601,iu28_no_length,-0.0021252243422763
ragtruth_response,test_all,auroc,0.771222,0.762882,original30_dufs_liu,0.008340
ragtruth_response,test_all,auprc,0.635797,0.598308,original30_dufs_liu,0.037489
ragtruth_response,test_macro_task,auroc,0.630244,0.602162,original30_dufs_liu,0.028082
ragtruth_response,test_macro_task,auprc,0.553604,0.521056,original30_dufs_liu,0.032548
