idx,cohort,cell,steps,share,H0lim__contains_max,H0lim__contains_top3,H0lim__rank,VE0__contains_max,VE0__contains_top3,VE0__rank,VE075__contains_max,VE075__contains_top3,VE075__rank,VE1__contains_max,VE1__contains_top3,VE1__rank,innovation__contains_max,innovation__contains_top3,innovation__rank,fused_innovation5__contains_max,fused_innovation5__contains_top3,fused_innovation5__rank,surprisal_provided__contains_max,surprisal_provided__contains_top3,surprisal_provided__rank,surprisal_provided__corr_H0lim,surprisal_provided__corr_fused,rank_provided__contains_max,rank_provided__contains_top3,rank_provided__rank,rank_provided__corr_H0lim,rank_provided__corr_fused,mass_above__contains_max,mass_above__contains_top3,mass_above__rank,mass_above__corr_H0lim,mass_above__corr_fused,gap_top1__contains_max,gap_top1__contains_top3,gap_top1__rank,gap_top1__corr_H0lim,gap_top1__corr_fused,tail15__contains_max,tail15__contains_top3,tail15__rank,tail15__corr_H0lim,tail15__corr_fused,tail50__contains_max,tail50__contains_top3,tail50__rank,tail50__corr_H0lim,tail50__corr_fused,digit_disagree__contains_max,digit_disagree__contains_top3,digit_disagree__rank,digit_disagree__corr_H0lim,digit_disagree__corr_fused
0,caught,pb_gsm8k_q4,4,0.4470198675496689,True,True,1,False,True,1,True,True,1,True,True,1,False,False,1,False,False,1,False,True,2,0.25053131842679377,0.256844594196322,False,True,1,0.15471606996223047,0.16570857220737928,False,True,1,0.4416874920676731,0.41337227468177856,False,True,2,0.20662087592030792,0.21835771361121745,False,False,2,-0.249889900829329,-0.24005963140197753,False,False,2,-0.24972109034052964,-0.23988054869868383,False,False,3,-0.029322247218845573,-0.052378621345715824
1,caught,pb_gsm8k_q4,7,0.3926553672316384,False,True,1,False,True,1,True,True,1,True,True,1,False,False,2,False,True,1,False,True,2,0.23636883407444273,0.22749233902003566,False,True,2,0.1317568635033957,0.13565790874721784,False,False,1,0.3951467614477433,0.35324229800660073,False,False,2,0.19101314982765127,0.18842906562413617,False,True,1,-0.33604082069888297,-0.32623391470507834,False,True,1,-0.3361147244805731,-0.3263146009081371,True,True,1,0.016552630255672277,-0.015589150870149273
2,caught,pb_gsm8k_q4,5,0.23756906077348067,False,False,3,False,False,3,False,False,4,False,False,3,True,True,2,False,False,3,True,True,1,0.2263320432519908,0.23369791209107096,True,True,1,0.1570980312333598,0.17606052547091625,True,True,1,0.42648302991930576,0.4069171056758229,True,True,1,0.14698822059194136,0.1622454328031762,True,True,1,-0.3645786501696042,-0.3637482462654079,True,True,1,-0.36221627605508067,-0.3609011134604742,False,False,2,-0.04331651437499424,-0.05285242398397554
3,caught,pb_gsm8k_q4,3,0.5325670498084292,True,True,1,True,True,1,True,True,1,True,True,1,True,True,1,True,True,1,False,True,2,0.2595160461796379,0.2484879965088102,False,True,1,0.17322654419159314,0.18082031649404787,False,False,1,0.44277047640360817,0.38321156078679547,False,True,2,0.2055771708083656,0.2004899894811633,False,False,3,-0.256771724155047,-0.26539370035220955,False,False,3,-0.25679326398291935,-0.2654146509203973,True,True,1,-0.0064443427837616776,-0.10265364696090068
4,caught,pb_gsm8k_q4,5,0.24555160142348753,False,False,3,False,False,1,True,True,2,True,True,1,False,True,2,False,True,2,False,False,3,0.28049764638064045,0.2881540799321669,False,False,2,0.19954850349277542,0.20926838695726369,False,False,3,0.4741361603071221,0.4425472322569542,False,False,3,0.23293083418280347,0.2459191142541847,False,False,2,-0.23360389722295608,-0.23277181515094444,False,False,2,-0.23371902574232872,-0.2328801264490828,False,False,3,0.0,0.0
5,caught,pb_gsm8k_q4,3,0.5165165165165165,True,True,1,True,True,1,True,True,1,False,True,1,False,False,2,False,False,1,False,True,2,0.2253810097257758,0.23053525110280496,False,True,1,0.22689752502647387,0.22505146069388332,False,True,1,0.41588447172111787,0.35792679270834266,False,True,2,0.14804777428875163,0.16813675185924473,False,False,2,-0.34056750233116445,-0.3262425633836256,False,False,2,-0.34252874449888426,-0.32762628488201434,True,True,1,-0.05711615773805074,-0.1837142048511741
6,caught,pb_gsm8k_q4,7,0.13738019169329074,False,True,1,True,True,1,True,True,1,True,True,1,False,True,1,True,True,1,False,False,4,0.2868478597844834,0.2748243386126541,False,False,4,0.21887234907316527,0.2184649363908033,False,False,4,0.49717062827613845,0.4461084750864464,False,False,4,0.2379698045738718,0.2326953831560052,False,False,5,-0.2080723671025513,-0.1938159304408095,False,False,5,-0.2081813747255972,-0.19393423389101203,False,False,3,0.0,0.0
7,caught,pb_gsm8k_q4,6,0.29914529914529914,False,True,1,True,True,1,False,True,1,True,True,1,False,True,1,True,True,1,False,False,3,0.2659977613307485,0.2677336770947374,False,True,2,0.16844284086188208,0.1766193433405607,False,False,3,0.40203536223842024,0.3800651823186927,False,False,3,0.19413112662936438,0.2031284421910594,False,False,3,-0.2102495218633522,-0.20340586132541388,False,False,3,-0.2108617664327087,-0.20405222589638877,False,False,3,0.0,0.0
8,caught,pb_gsm8k_q4,4,0.2830188679245283,True,True,2,True,True,3,True,True,2,True,True,1,True,True,2,True,True,2,False,True,2,0.22571955721809334,0.20860821910157842,False,True,3,0.1519832195135412,0.15103160900631837,True,True,3,0.3829634817156383,0.32790427529378824,False,True,2,0.17066725049549825,0.16172892557209917,False,False,2,-0.2930625749728382,-0.2858940041032042,False,False,2,-0.2940181215609415,-0.2867735510319325,False,False,3,0.014299116218553896,-0.005014717519113469
9,caught,pb_gsm8k_q4,4,0.32339449541284404,False,False,3,False,False,2,False,True,2,False,False,3,False,True,2,False,False,2,False,True,2,0.3379190203396224,0.3408271765110843,False,False,3,0.27204655328319033,0.2799441073521467,False,True,1,0.5050329110686216,0.4810675866310443,False,True,2,0.26795018310372626,0.2790663935910449,False,True,1,-0.2578632533690473,-0.24559447636477186,False,True,1,-0.2592723781925469,-0.24711741395336798,True,True,1,0.01961527930051528,0.0074347358674077164
10,caught,pb_gsm8k_q4,4,0.3333333333333333,False,True,1,True,True,1,True,True,1,True,True,1,False,False,2,True,True,1,False,True,2,0.21124610457375645,0.20747442606150696,False,True,1,0.17033170728192173,0.1742079697739168,False,True,1,0.47257192367867107,0.4252714998714769,False,True,2,0.16555857433753624,0.16976887367913077,False,False,3,-0.2808899620079749,-0.2705952228105555,False,False,3,-0.2811917456895349,-0.2709156142998761,True,True,1,-0.06203870512354363,-0.09972670757447151
11,caught,pb_gsm8k_q4,10,0.07754010695187166,False,False,4,False,False,3,False,False,3,False,True,2,False,False,6,False,True,4,False,False,4,0.2823493962527203,0.2740612482597457,False,False,4,0.21883562259913034,0.22245908360772781,False,False,5,0.4861860188266604,0.43828739701866726,False,False,4,0.1975983668956554,0.20161485293526316,False,False,8,-0.3619807843349297,-0.34693034962696306,False,False,8,-0.3605390292693333,-0.3454897098862446,False,False,3,-0.028624848452491924,-0.07968241520757852
12,caught,pb_gsm8k_q4,8,0.14788732394366197,True,True,1,True,True,1,False,True,1,True,True,1,False,False,1,False,True,1,False,False,3,0.23580702631184988,0.23731023746856955,False,True,2,0.16097525078274028,0.1664799632622562,False,False,3,0.3814609231749302,0.3599687618226969,False,False,3,0.17745470465098004,0.18422032464875476,False,False,7,-0.30516753474429353,-0.29669395552750477,False,False,7,-0.3023514784618311,-0.29390591781238984,False,False,3,-0.008741655082927256,-0.037507960429205484
13,loc_miss_open,pb_gsm8k_q4,6,0.19489559164733178,False,False,3,False,True,5,False,False,5,False,False,5,False,False,4,False,False,4,False,False,6,0.280385784066084,0.273774610062534,False,False,6,0.2182470955717982,0.22136341384403743,False,False,5,0.4536764114937389,0.4225763988336278,False,False,6,0.2410826532865961,0.23876693514102476,False,False,1,-0.3203966092459462,-0.31222668890592215,False,False,1,-0.3204264819677701,-0.3122679810209566,True,True,1,-0.023134766507918892,-0.06972633420631551
