mass,rule,primary_delta,sla,f1,tolerance_one,early,late,mae,delta_sla_vs_argmax,delta_sla_ci95,delta_f1_vs_argmax,delta_f1_ci95,sla_all,late_all,sla_steps_2_to_5,late_steps_2_to_5,sla_steps_6_to_10,late_steps_6_to_10,sla_steps_11_plus,late_steps_11_plus
ct7,argmax,True,0.3988620140983161,0.41188745848863717,0.6263471307829329,0.26938924036125245,0.3317487455404314,1.6243383039985684,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.3824853669518235,0.3435389464205313,0.4763719512195122,0.27896341463414637,0.3587521663778163,0.3531195840554593,0.29927007299270075,0.4197080291970803
ct7,earliest_of_top2,True,0.33183963115555565,0.3827955323947962,0.6055642786921154,0.5352368623639097,0.1329235064805347,1.7163557813881765,-0.06702238294276047,"[-0.09242190453176626, -0.04203528721992385]",-0.02909192609384098,"[-0.04772475311181231, -0.010472814621411706]",0.32440342188203514,0.14137775776677172,0.3856707317073171,0.07469512195121951,0.3093587521663778,0.15381282495667245,0.2688564476885645,0.21289537712895376
ct7,latest_of_top2,False,0.3015404073624491,0.31842358047193886,0.5656791140371684,0.1055088974331887,0.5929506952043623,1.8759295635652276,-0.09732160673586704,"[-0.12206002894381242, -0.07243862107179566]",-0.09346387801669831,"[-0.11249914538610466, -0.07443196740768515]",0.28658262044124266,0.6040072039621792,0.3780487804878049,0.555640243902439,0.27079722703639514,0.6135181975736569,0.18491484184914841,0.6545012165450121
ct7,random_of_top2,False,0.30723076596835064,0.34134148268547276,0.5861766716696665,0.32217113747486037,0.37059809655678894,1.7918830148488767,-0.09163124812996548,"[-0.11448052345873691, -0.06883523561923699]",-0.0705459758031644,"[-0.08747452650422433, -0.05375806990266611]",0.3018910400720396,0.3775326429536245,0.375,0.3285060975609756,0.28639514731369153,0.38388214904679374,0.22871046228710462,0.43795620437956206
ct7,earliest_within_0.25sd,False,0.3948292452247264,0.4163570458114061,0.6319311147387843,0.36921896340678817,0.23595179136848543,1.6109367175891873,-0.0040327688735897205,"[-0.016730416291379904, 0.008742683367493145]",0.00446958732276892,"[-0.00482383699959089, 0.013949774590764456]",0.3788833858622242,0.23908149482215219,0.49085365853658536,0.20198170731707318,0.3409878682842288,0.24826689774696706,0.30656934306569344,0.2725060827250608
ct7,earliest_within_0.5sd,True,0.36441548008755137,0.3973166202699069,0.6052596471633833,0.46573630304226243,0.1698482168701862,1.719458599124619,-0.03444653401076475,"[-0.05224271030619251, -0.016674769966479284]",-0.014570838218730287,"[-0.028348933239532068, -0.0008799727145533517]",0.34916704187303016,0.16681674921206663,0.46265243902439024,0.15167682926829268,0.31152512998266896,0.1720103986135182,0.2737226277372263,0.17639902676399027
ct7,earliest_within_1.0sd,False,0.29968669239701273,0.3509941428905158,0.5411439844076495,0.6231789518106363,0.07713435579235092,1.9919144746152573,-0.09917532170130339,"[-0.12288185893072541, -0.0748694072923571]",-0.06089331559812139,"[-0.08056302048410557, -0.04194884519657804]",0.2809545249887438,0.07271499324628546,0.39253048780487804,0.09070121951219512,0.25259965337954937,0.07192374350086655,0.18248175182481752,0.046228710462287104
token_lsml,argmax,True,0.3592368825176495,0.3732442704802602,0.5947898485391085,0.21938084942919514,0.4213822680531554,1.7918150513444204,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]",0.3313822602431337,0.44326879783881135,0.4321646341463415,0.3628048780487805,0.31802426343154244,0.4558058925476603,0.20802919708029197,0.5364963503649635
token_lsml,earliest_of_top2,True,0.32608715030769886,0.3695626038850294,0.6137315540681653,0.45751060119934683,0.21640224849295425,1.7363108767519082,-0.033149732209950655,"[-0.05742137953713019, -0.008816365695925426]",-0.003681666595230837,"[-0.021301302327865795, 0.013747607116394157]",0.3054930211616389,0.23367852318775326,0.4054878048780488,0.13414634146341464,0.2889948006932409,0.24826689774696706,0.1922141119221411,0.3515815085158151
token_lsml,latest_of_top2,False,0.2539163311954866,0.2756889625474571,0.5152215687759659,0.08100624079378273,0.6650774280107307,2.127583332945761,-0.10532055132216289,"[-0.12834152895274914, -0.08226677291576644]",-0.09755530793280309,"[-0.11682483699483517, -0.07842482541689387]",0.24178298063935164,0.6715443493921657,0.30259146341463417,0.6371951219512195,0.2404679376083189,0.669844020797227,0.14841849148418493,0.7311435523114356
