auprc,auroc,budget,calibration_f1,clean_abstention,detector_auprc,detector_auroc,exact_error,f1,family,method,n,n_error,primary,task,threshold,within_one
,,,0.40393442622950826,0.5945945945945946,0.8219650949338198,0.7849338700402531,0.3191489361702128,0.41535556954059155,gsm8k,global_lr,84,,0.41535556954059155,localization,0.11627699261412139,0.5531914893617021
,,,0.4340450424100615,0.7027027027027027,0.8452983330121956,0.807360552041403,0.23404255319148937,0.35113566605279317,gsm8k,context_only_lr,84,,0.35113566605279317,localization,0.3865363707532128,0.40425531914893614
,,,0.44685404479954344,0.7027027027027027,0.8454028921533503,0.8096607245543416,0.23404255319148937,0.35113566605279317,gsm8k,augmented_lr,84,,0.35113566605279317,localization,0.43767424015475187,0.425531914893617
,,,0.5325443786982249,0.6756756756756757,0.8359199051662268,0.7895342150661299,0.2127659574468085,0.32362459546925565,gsm8k,cstg_core,84,,0.32362459546925565,localization,0.4491404642661413,0.425531914893617
,,,0.771942069446868,0.7567567567567568,0.851669513097706,0.81943645773433,0.19148936170212766,0.30563978168587025,gsm8k,cstg_dsp,84,,0.30563978168587025,localization,0.3896766478816668,0.3617021276595745
,,,0.6718005876988551,0.43243243243243246,0.7617336975760967,0.7090281771132835,0.1276595744680851,0.1971252566735113,gsm8k,cstg_dsp_permuted,84,,0.1971252566735113,localization,0.32768323024113977,0.40425531914893614
0.7419281785814982,0.6641748131109833,64,,,,,,,gsm8k,global_lr,84,47,0.6641748131109833,early,,
0.7095033441838572,0.5857142857142857,128,,,,,,,gsm8k,global_lr,79,44,0.5857142857142857,early,,
0.7373895410397296,0.6549741230592294,64,,,,,,,gsm8k,context_only_lr,84,47,0.6549741230592294,early,,
0.6987983036885906,0.587012987012987,128,,,,,,,gsm8k,context_only_lr,79,44,0.587012987012987,early,,
0.7337811387834443,0.6670500287521565,64,,,,,,,gsm8k,augmented_lr,84,47,0.6670500287521565,early,,
0.7197640384468811,0.5987012987012986,128,,,,,,,gsm8k,augmented_lr,79,44,0.5987012987012986,early,,
0.6480554626510289,0.6417481311098332,64,,,,,,,gsm8k,cstg_core,84,47,0.6417481311098332,early,,
0.6218856053096431,0.5149350649350649,128,,,,,,,gsm8k,cstg_core,79,44,0.5149350649350649,early,,
0.7106542573985789,0.6774008050603795,64,,,,,,,gsm8k,cstg_dsp,84,47,0.6774008050603795,early,,
0.6627308819096631,0.587012987012987,128,,,,,,,gsm8k,cstg_dsp,79,44,0.587012987012987,early,,
0.706110484995501,0.7004025301897643,64,,,,,,,gsm8k,cstg_dsp_permuted,84,47,0.7004025301897643,early,,
0.650322759919177,0.5499999999999999,128,,,,,,,gsm8k,cstg_dsp_permuted,79,44,0.5499999999999999,early,,
,,,0.3969561138330032,0.6265060240963856,0.7871402062788212,0.7022242817423541,0.18461538461538463,0.2851919561243144,math,global_lr,213,,0.2851919561243144,localization,0.1650881709880533,0.34615384615384615
,,,0.35904548750118215,0.4578313253012048,0.7024816600739288,0.5985171455050973,0.16923076923076924,0.24711794265444872,math,context_only_lr,213,,0.24711794265444872,localization,0.38023925586709095,0.33076923076923076
,,,0.36698147921010665,0.46987951807228917,0.7141599096158923,0.6112140871177015,0.15384615384615385,0.23179791976225858,math,augmented_lr,213,,0.23179791976225858,localization,0.3942511238203951,0.3153846153846154
,,,0.40008185818070197,0.6024096385542169,0.7273315781177516,0.6486561631139944,0.16923076923076924,0.2642325246216671,math,cstg_core,213,,0.2642325246216671,localization,0.7920198341210684,0.3
,,,0.6259168704156479,0.6265060240963856,0.7693168441124083,0.6808155699721965,0.16153846153846155,0.25685052334470193,math,cstg_dsp,213,,0.25685052334470193,localization,0.5420694202184677,0.3153846153846154
,,,0.5644766856414788,0.6024096385542169,0.7370093269997411,0.6535681186283596,0.13076923076923078,0.21489065857666542,math,cstg_dsp_permuted,213,,0.21489065857666542,localization,0.5947453776995342,0.25384615384615383
0.5721549727484458,0.5016501650165017,64,,,,,,,math,global_lr,212,111,0.5016501650165017,early,,
0.6834442140439096,0.6463917525773195,128,,,,,,,math,global_lr,207,110,0.6463917525773195,early,,
0.5909003540965792,0.5119079475515118,64,,,,,,,math,context_only_lr,212,111,0.5119079475515118,early,,
0.6203872207982786,0.5552014995313964,128,,,,,,,math,context_only_lr,207,110,0.5552014995313964,early,,
0.5889371708395321,0.5098563910445099,64,,,,,,,math,augmented_lr,212,111,0.5098563910445099,early,,
0.6286330288115027,0.5743205248359887,128,,,,,,,math,augmented_lr,207,110,0.5743205248359887,early,,
0.5604583629760802,0.5041031130140041,64,,,,,,,math,cstg_core,212,111,0.5041031130140041,early,,
0.6223151947682921,0.5708997188378631,128,,,,,,,math,cstg_core,207,110,0.5708997188378631,early,,
0.5708241392008211,0.5084738203550085,64,,,,,,,math,cstg_dsp,212,111,0.5084738203550085,early,,
0.6600540530818637,0.5896907216494844,128,,,,,,,math,cstg_dsp,207,110,0.5896907216494844,early,,
0.5844616645269771,0.5115957541700116,64,,,,,,,math,cstg_dsp_permuted,212,111,0.5115957541700116,early,,
0.6560664136675662,0.6355201499531395,128,,,,,,,math,cstg_dsp_permuted,207,110,0.6355201499531395,early,,
