cells,method,primary,task
2,augmented_lr,0.29146679290752586,localization
2,context_only_lr,0.29912680435362093,localization
2,cstg_core,0.29392856004546136,localization
2,cstg_dsp,0.2812451525152861,localization
2,cstg_dsp_permuted,0.20600795762508836,localization
2,global_lr,0.350273762832453,localization
4,augmented_lr,0.5874820608334884,early
4,context_only_lr,0.5772741392887811,early
4,cstg_core,0.5579215069741914,early
4,cstg_dsp,0.5906445835194649,early
4,cstg_dsp_permuted,0.5993796085782288,early
4,global_lr,0.5994827541047725,early
