cell,family,domain,n,positive_rate,method_key,method,auroc,auprc,score_variance
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.7457496352822355,0.891720583861237,0.28742471464735664
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,iu_pcr,IU-PCR,0.7425934238581529,0.894963286752769,0.2643847219625259
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,su_pcr,SU-PCR reproduction,0.6440915722141174,0.8309518991749866,0.23982161921957956
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,sdsf,SDSF,0.585652564246437,0.7888797026212703,1.370555939503548
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,dufs_liu,DUFS-LIU,0.7439260464594322,0.894096559465202,0.240881458016937
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_selected,CM-LFF direct factor,0.688460891033554,0.8603185041994444,11.671553112594026
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_selected,CM-deflated IU-PCR,0.6877314555044327,0.8614806613810111,0.2921980171292765
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_dufs_selected,CM-deflated DUFS-LIU,0.6882224217259567,0.8618628878721222,0.26674951941634445
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,pca_iu_selected,Second-order deflation control,0.7434350802379083,0.893761436175756,0.2855077180831841
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,permuted_cm_iu_selected,Permuted-moment control,0.7413028840758613,0.8947290902932274,0.264135855696198
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_k0,cm_direct_k0,0.7443468746493098,0.8923793305164764,12.818925109059178
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_k1,cm_direct_k1,0.688460891033554,0.8603185041994444,11.671553112594026
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_k2,cm_direct_k2,0.6478649983166873,0.8283133464220761,19.735569268515867
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_k3,cm_direct_k3,0.6181545281113231,0.8177296134649582,63776.93126922766
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_direct_k4,cm_direct_k4,0.6079704859162832,0.8135242183162892,35183.37367849366
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_k0,cm_iu_k0,0.7425934238581529,0.894963286752769,0.2643847219625259
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_k1,cm_iu_k1,0.6877314555044327,0.8614806613810111,0.2921980171292765
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_k2,cm_iu_k2,0.6389434406912804,0.8212120283220564,0.33248926448665644
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_k3,cm_iu_k3,0.6032010997643362,0.8097063020434812,0.3858005264207845
epr_triviaqa_mistral24b,triviaqa,QA,621,0.7552334943639292,cm_iu_k4,cm_iu_k4,0.605487599596005,0.8129584531077476,0.32011952705449964
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,deployed_upcr_mixed_v2,Deployed-style U-PCR (mixed-v2),0.5695668496040329,0.4105829958272058,0.26186334049504384
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,iu_pcr,IU-PCR,0.5721589588659075,0.40912631594466287,0.24412422378229115
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,su_pcr,SU-PCR reproduction,0.573017036414666,0.4137167622755785,0.2386000451002605
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,sdsf,SDSF,0.574339905969002,0.41444798366252483,0.24097723958331102
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,dufs_liu,DUFS-LIU,0.5725879976402868,0.4123849985512197,0.21350318895260897
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_direct_selected,CM-LFF direct factor,0.5721589588659075,0.40912631594466287,0.24412422378229115
losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.338,cm_iu_selected,CM-deflated IU-PCR,0.5721589588659075,0.40912631594466287,0.24412422378229115
