feature,cell_macro_error_minus_correct,family_macro_error_minus_correct,family_ci_low,family_ci_high,positive_cells,negative_cells
epr,-0.9080358429018661,-0.7489657126111678,-0.9325410376505469,-0.5428329845103331,0,24
mean_logprob_entropy,-0.904694551806414,-0.7476293797928475,-0.9283961941260253,-0.5459220627052461,0,24
renyi_entropy_2,-0.8844882040184877,-0.7272432306634657,-0.9072274973056023,-0.5275144085664741,0,24
mean_top1_logprob,-0.8725687292261792,-0.7133480732710334,-0.8927992178498917,-0.5159631664386738,0,24
logprob_margin,-0.8636768238145467,-0.7110528730185125,-0.9262550446541171,-0.4758820777082318,0,24
sw_var_peak,-0.8410821636892519,-0.6944240923797347,-0.8288379706189377,-0.5365363696116046,0,24
varentropy,-0.8146303676459253,-0.6931143597351132,-0.8580983578262157,-0.5091985914137088,1,23
min_energy,-0.7274756558733589,-0.675017025453778,-0.8312574956321788,-0.48592965457926196,0,24
epr_spilled,-0.8457921727084569,-0.6658922780694124,-0.8514919645825321,-0.4710567069627506,0,24
epr_energy,-0.7285067928116714,-0.6458254125236577,-0.8118094589467763,-0.4512924302069761,3,21
cusum_max,-0.7310381511020857,-0.6148572960366484,-0.7574115694140506,-0.44878684378596845,0,24
topk_tail_mass,-0.811978772561805,-0.6137804184452371,-0.8201815180515815,-0.4121693663159819,0,24
cusum_max_spilled,-0.7169087231216462,-0.592065448230641,-0.7371010349952988,-0.4312593310803322,0,24
cusum_max_energy,-0.5926961792272086,-0.4731286565103714,-0.6125631449529211,-0.3385179528437106,0,24
sw_var_peak_spilled,-0.5468559878898638,-0.4579957188396829,-0.5388300613770833,-0.3773804519103815,0,24
sw_var_peak_energy,-0.15187198974555924,-0.10934946278727546,-0.2468981444953119,0.04528236602985308,8,16
