split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,epr_risk,0.7375014027606328,0.47798731654215254
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,mean_confidence_risk,0.7456374144316015,0.4644045660213744
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,iu_pcr_risk,0.7444310402872854,0.4493268925077124
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,shared_direction,0.7454831107619795,0.4725327560084361
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,balanced_logistic,0.7317781393782964,0.43511731624297073
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,ppca_manifold_k4,0.7258725171136797,0.44349735440213844
family,triviaqa,epr_triviaqa_mistral24b,triviaqa,QA,621,0.24476650563607086,knn_manifold_k5,0.7472926719784537,0.45681411137315087
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,epr_risk,0.8040768937376668,0.8115415589682031
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,mean_confidence_risk,0.8315998619719107,0.8396706860799051
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,iu_pcr_risk,0.8217253221727396,0.8336239351405098
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,shared_direction,0.8284128667134907,0.8389063422952604
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,balanced_logistic,0.8021669477397096,0.8139739240290361
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,ppca_manifold_k4,0.7718837393134357,0.7931108651563247
family,triviaqa,seiclr_triviaqa_opt30b,triviaqa,QA,5000,0.5352,knn_manifold_k5,0.8171942253318205,0.8291915973053839
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,epr_risk,0.7813451005525339,0.8025457747636189
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,mean_confidence_risk,0.8083735036404731,0.8336857411885308
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,iu_pcr_risk,0.805718481167545,0.8336923308514052
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,shared_direction,0.7948550419242512,0.8247615365017316
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,balanced_logistic,0.7712397641568641,0.8095049290203968
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,ppca_manifold_k4,0.6888771266572069,0.7508328812535565
family,triviaqa,semenergy_triviaqa_qwen3_8b,triviaqa,QA,4392,0.523224043715847,knn_manifold_k5,0.7880119584074188,0.8250110102558698
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,epr_risk,0.872,0.9963504697188539
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,mean_confidence_risk,0.9186666666666666,0.997854005537832
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,iu_pcr_risk,0.9319999999999999,0.9981729094668079
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,shared_direction,0.9173333333333334,0.9977782167357477
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,balanced_logistic,0.9299999999999999,0.9981662463774545
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,ppca_manifold_k4,0.9073333333333332,0.9975481810292106
family,triviaqa,spilled_triviaqa_llama8b,triviaqa,QA,256,0.9765625,knn_manifold_k5,0.904,0.997485096056657
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,epr_risk,0.5598419707181037,0.7051372177284188
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,mean_confidence_risk,0.5779688589356263,0.7122699647443616
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,iu_pcr_risk,0.5711578683923559,0.706951839597805
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,shared_direction,0.5748046979745794,0.7087703880114671
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,balanced_logistic,0.5741075099662132,0.7125395442502636
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,ppca_manifold_k4,0.5470065607179249,0.6925745651083118
family,hotpotqa,losnet_hotpotqa_mistral7b,hotpotqa,QA,500,0.662,knn_manifold_k5,0.5741075099662132,0.7117986044072293
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,epr_risk,0.7388629372222856,0.5963797977026443
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,mean_confidence_risk,0.7305457445596446,0.581418731085158
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,iu_pcr_risk,0.7415973567278114,0.599244206489901
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,shared_direction,0.7329383616269796,0.5916449774195849
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,balanced_logistic,0.7504842201207702,0.5862710921951005
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,ppca_manifold_k4,0.6911245300216474,0.5368640928366949
family,sciq,sciq_llama8b,sciq,QA,198,0.3383838383838384,knn_manifold_k5,0.7359006494246326,0.5563952557972467
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,epr_risk,0.7416001599796389,0.728040371197592
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,mean_confidence_risk,0.7492639118657625,0.7304301230335833
family,nq_open,se_nq_open_llama8b,nq_open,QA,8460,0.514775413711584,iu_pcr_risk,0.7434733201788304,0.725082593170882
