method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
selected__all__hard__ds,steps_2_to_5,1312,0.4428353658536585,0.5182926829268293,0.788109756097561
selected__all__hard__ds,steps_6_to_10,2308,0.2972270363951473,0.36091854419410746,1.6286828422876949
selected__all__hard__ds,steps_11_plus,822,0.17883211678832117,0.22141119221411193,3.776155717761557
selected__all__hard__ds,error_relative_quarter_1,1314,0.18493150684931506,0.3493150684931507,2.6818873668188736
selected__all__hard__ds,error_relative_quarter_2,1290,0.3496124031007752,0.36511627906976746,1.4310077519379845
selected__all__hard__ds,error_relative_quarter_3,1122,0.4215686274509804,0.43404634581105167,1.0614973262032086
selected__all__hard__ds,error_relative_quarter_4,716,0.34497206703910616,0.388268156424581,1.8659217877094971
selected__all__hard__hem,steps_2_to_5,1312,0.42835365853658536,0.5007621951219512,0.8117378048780488
selected__all__hard__hem,steps_6_to_10,2308,0.25909878682842286,0.35008665511265163,1.7149046793760832
selected__all__hard__hem,steps_11_plus,822,0.17761557177615572,0.19708029197080293,3.8649635036496353
selected__all__hard__hem,error_relative_quarter_1,1314,0.1552511415525114,0.3234398782343988,2.8576864535768647
selected__all__hard__hem,error_relative_quarter_2,1290,0.31085271317829455,0.3627906976744186,1.5286821705426357
selected__all__hard__hem,error_relative_quarter_3,1122,0.4144385026737968,0.4180035650623886,1.0418894830659537
selected__all__hard__hem,error_relative_quarter_4,716,0.329608938547486,0.37011173184357543,1.8212290502793296
selected__all__hard__equal,steps_2_to_5,1312,0.4420731707317073,0.5762195121951219,0.8254573170731707
selected__all__hard__equal,steps_6_to_10,2308,0.304159445407279,0.42937608318890813,1.7461005199306758
selected__all__hard__equal,steps_11_plus,822,0.23114355231143552,0.32725060827250607,3.807785888077859
selected__all__hard__equal,error_relative_quarter_1,1314,0.3120243531202435,0.4307458143074581,2.1811263318112633
selected__all__hard__equal,error_relative_quarter_2,1290,0.3302325581395349,0.44263565891472867,1.4767441860465116
