endpoint,a,b,contrast,delta,ci95,p_bootstrap,draws,p_holm
pb_sla,top5__all__soft__equal,top5__all__hard__equal,soft_minus_binary,0.11242280674711766,"[0.09410572654982521, 0.13117507970031678]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__spectral,top5__all__hard__spectral,soft_minus_binary,0.04275330759412843,"[0.030910023285595948, 0.05502760016510073]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__continuous_lsml,top5__all__hard__continuous_lsml,soft_minus_binary,0.09738295383398321,"[0.08130318930832124, 0.11339795423634746]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__continuous_lsml,top5__all__hard__binary_lsml,continuous_core_bridge,-0.1636922321285605,"[-0.18565636414564282, -0.14196864169531812]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__equal,ct7,new_minus_ct7,-0.18638996633882507,"[-0.20874685017978858, -0.16437734095321246]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__equal,mindgap,new_minus_mindgap,-0.01003222992715197,"[-0.03200562259389808, 0.010871134011074906]",0.36296370362963704,10000,1.0
pb_sla,top5__all__hard__spectral,top5__all__hard__equal,learned_minus_equal,0.004489522380728056,"[-0.0008994148534093187, 0.009608772653387122]",0.09669033096690331,10000,1.0
pb_sla,top5__all__hard__spectral,ct7,new_minus_ct7,-0.181900443958097,"[-0.20404392846268277, -0.16003892197644512]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__spectral,mindgap,new_minus_mindgap,-0.005542707546423914,"[-0.027099012775670697, 0.015449763473847066]",0.6158384161583842,10000,1.0
pb_sla,top5__all__hard__binary_lsml,top5__all__hard__equal,learned_minus_equal,0.11143538423104957,"[0.09349418679071438, 0.1295739771037165]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__binary_lsml,ct7,new_minus_ct7,-0.0749545821077755,"[-0.09272866108829592, -0.05765377110499687]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__binary_lsml,mindgap,new_minus_mindgap,0.1014031543038976,"[0.08143014692169138, 0.12147412462613486]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__equal,ct7,new_minus_ct7,-0.07396715959170741,"[-0.09099014700910477, -0.0571796381202831]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__equal,mindgap,new_minus_mindgap,0.10239057681996569,"[0.08119174056309741, 0.12376617829232328]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__spectral,top5__all__soft__equal,learned_minus_equal,-0.06517997677226117,"[-0.0795368134691309, -0.0507954243037307]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__spectral,ct7,new_minus_ct7,-0.13914713636396858,"[-0.15903327194518377, -0.1190653673524547]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__spectral,mindgap,new_minus_mindgap,0.03721060004770452,"[0.015177619271168634, 0.05892491462352315]",0.000999900009999,10000,0.08899110088991101
pb_sla,top5__all__soft__continuous_lsml,top5__all__soft__equal,learned_minus_equal,-0.06729670081064537,"[-0.08247122176763827, -0.05234495479076332]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__continuous_lsml,ct7,new_minus_ct7,-0.14126386040235278,"[-0.16109836535658356, -0.12123054281816668]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__soft__continuous_lsml,mindgap,new_minus_mindgap,0.03509387600932032,"[0.013269231813291628, 0.05674755890652076]",0.0013998600139986002,10000,0.12038796120387962
pb_sla,top5__all__hard__continuous_lsml,top5__all__hard__equal,learned_minus_equal,-0.05225684789751092,"[-0.06431454961209945, -0.04055380323389694]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__continuous_lsml,ct7,new_minus_ct7,-0.238646814236336,"[-0.26373340686119284, -0.2138461119969154]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__continuous_lsml,mindgap,new_minus_mindgap,-0.06228907782466289,"[-0.08454079341465914, -0.03998009005839796]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__ds,top5__all__hard__equal,learned_minus_equal,0.11734307379081435,"[0.09528231113678173, 0.139416077708862]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__ds,ct7,new_minus_ct7,-0.06904689254801072,"[-0.0879278953176237, -0.05057710533113193]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__ds,mindgap,new_minus_mindgap,0.10731084386366238,"[0.08643927892917405, 0.12828005639879683]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__hem,top5__all__hard__equal,learned_minus_equal,0.11459817872203584,"[0.09256998842157582, 0.1366570135127874]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__hem,ct7,new_minus_ct7,-0.07179178761678923,"[-0.09046540509687927, -0.053713948364222774]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__hem,mindgap,new_minus_mindgap,0.10456594879488387,"[0.08364507946297896, 0.12538888380070387]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__ds,top5__all__hard__spectral,em_minus_spectral_initialization,0.1128535514100863,"[0.09099543739353184, 0.13440135831737546]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__hem,top5__all__hard__spectral,em_minus_spectral_initialization,0.11010865634130779,"[0.08799641890917134, 0.1318566044456575]",9.999000099990002e-05,10000,0.0327967203279672
pb_sla,top5__all__hard__hem,top5__all__hard__ds,hierarchical_minus_ds,-0.002744895068778508,"[-0.007848002329884179, 0.0021494259489475164]",0.2820717928207179,10000,1.0
