task,fold,roster,population,channel,readout
pb_q4,0,selected,all,q15_H1,top10
pb_q4,0,selected,all,q15_VE1,top10
pb_q4,0,selected,all,chosen_surprisal,cusum_top5
pb_q4,0,selected,all,logprob_margin,top10
pb_q4,0,selected,all,true_tail50,top10
pb_q4,0,selected,all,energy_level,onset80
pb_q4,0,selected,all,energy_innovation,cusum_top5
pb_q4,0,selected,all,top15_turnover,cusum_top5
pb_q4,0,selected,all,top50_js,cusum_top5
pb_q4,0,selected,all,dominant_freq16,cusum_top5
pb_q4,0,selected,all,bocpd_p0,top10
pb_q4,0,shuffle,all,q15_H1,top5
pb_q4,0,shuffle,all,q15_VE1,top5
pb_q4,0,shuffle,all,chosen_surprisal,top5
pb_q4,0,shuffle,all,logprob_margin,top5
pb_q4,0,shuffle,all,true_tail50,top5
pb_q4,0,shuffle,all,energy_level,top5
pb_q4,0,shuffle,all,energy_innovation,top5
pb_q4,0,shuffle,all,top15_turnover,top5
pb_q4,0,shuffle,all,top50_js,top5
pb_q4,0,shuffle,all,dominant_freq16,top5
pb_q4,0,shuffle,all,bocpd_p0,top5
pb_q4,0,top5,all,q15_H1,top5
pb_q4,0,top5,all,q15_VE1,top5
pb_q4,0,top5,all,chosen_surprisal,top5
pb_q4,0,top5,all,logprob_margin,top5
pb_q4,0,top5,all,true_tail50,top5
pb_q4,0,top5,all,energy_level,top5
pb_q4,0,top5,all,energy_innovation,top5
pb_q4,0,top5,all,top15_turnover,top5
pb_q4,0,top5,all,top50_js,top5
pb_q4,0,top5,all,dominant_freq16,top5
pb_q4,0,top5,all,bocpd_p0,top5
pb_q4,0,top5,errors,q15_H1,top5
pb_q4,0,top5,errors,q15_VE1,top5
pb_q4,0,top5,errors,chosen_surprisal,top5
pb_q4,0,top5,errors,logprob_margin,top5
pb_q4,0,top5,errors,true_tail50,top5
pb_q4,0,top5,errors,energy_level,top5
pb_q4,0,top5,errors,energy_innovation,top5
pb_q4,0,top5,errors,top15_turnover,top5
pb_q4,0,top5,errors,top50_js,top5
pb_q4,0,top5,errors,dominant_freq16,top5
pb_q4,0,top5,errors,bocpd_p0,top5
pb_q4,1,selected,all,q15_H1,top10
pb_q4,1,selected,all,q15_VE1,top10
pb_q4,1,selected,all,chosen_surprisal,cusum_top5
pb_q4,1,selected,all,logprob_margin,top10
pb_q4,1,selected,all,true_tail50,top10
pb_q4,1,selected,all,energy_level,onset80
pb_q4,1,selected,all,energy_innovation,cusum_top5
pb_q4,1,selected,all,top15_turnover,cusum_top5
pb_q4,1,selected,all,top50_js,cusum_top5
pb_q4,1,selected,all,dominant_freq16,cusum_top5
pb_q4,1,selected,all,bocpd_p0,top10
pb_q4,1,shuffle,all,q15_H1,top5
pb_q4,1,shuffle,all,q15_VE1,top5
pb_q4,1,shuffle,all,chosen_surprisal,top5
pb_q4,1,shuffle,all,logprob_margin,top5
pb_q4,1,shuffle,all,true_tail50,top5
pb_q4,1,shuffle,all,energy_level,top5
pb_q4,1,shuffle,all,energy_innovation,top5
pb_q4,1,shuffle,all,top15_turnover,top5
pb_q4,1,shuffle,all,top50_js,top5
pb_q4,1,shuffle,all,dominant_freq16,top5
pb_q4,1,shuffle,all,bocpd_p0,top5
pb_q4,1,top5,all,q15_H1,top5
pb_q4,1,top5,all,q15_VE1,top5
pb_q4,1,top5,all,chosen_surprisal,top5
pb_q4,1,top5,all,logprob_margin,top5
pb_q4,1,top5,all,true_tail50,top5
pb_q4,1,top5,all,energy_level,top5
pb_q4,1,top5,all,energy_innovation,top5
pb_q4,1,top5,all,top15_turnover,top5
pb_q4,1,top5,all,top50_js,top5
pb_q4,1,top5,all,dominant_freq16,top5
