method,pb_sla_macro8,pb_f1_ct7_gate,pb_sla_q4,pb_sla_q8,within_auc,eligible,step_auroc_mean_folds,step_auprc_mean_folds,prmscore_q80,prmscore_inner,pb,prm,pb_fallback,prm_fallback
selected__all__hard__ds,0.3357199458462367,0.3532714770397247,0.34674813871354027,0.3246917529789331,0.7507328983216589,6030,0.6983889429992141,0.2791209918582577,0.622389336117116,0.6252003019898554,6800,6969,0,0
selected__all__hard__hem,0.31279981456344674,0.3343294513550026,0.33209036250376767,0.29350926662312576,0.7508213627139504,6030,0.69803833397693,0.2801799174020573,0.6218655333422742,0.6246654110777964,6800,6969,0,0
selected__all__hard__equal,0.3504138216119404,0.3756392934699149,0.35047472577072003,0.3503529174531608,0.7513300139051291,6030,0.6966592287130016,0.2667871066688402,0.6061573421164862,0.6203166227204975,6800,6969,0,0
selected__all__hard__spectral,0.3497796432167938,0.37370165400060407,0.35031014612347244,0.3492491403101151,0.7529347333494186,6030,0.6998619073412927,0.27977024142734697,0.6212441485265824,0.6222902990130268,6800,6969,0,0
selected__all__hard__binary_lsml,0.33119613719248664,0.3615500255404915,0.3478088123223952,0.31458346206257803,0.7355686428176389,6030,0.681784238910024,0.2329242452097823,0.6000844980514894,0.6017873921485143,6800,6969,0,0
selected__all__soft__equal,0.3603229144035235,0.3812838355709254,0.35916076616102927,0.36148506264601765,0.7604800959269779,6030,0.7183511784383578,0.3358202994040736,0.6412774747122795,0.6439320643581856,6800,6969,0,0
selected__all__soft__spectral,0.36095428290225373,0.38181394423562803,0.3615884612974003,0.36032010450710705,0.7597557628463434,6030,0.7181387063020506,0.3231387235098725,0.6382049043930622,0.6397518717685508,6800,6969,0,0
selected__all__soft__continuous_lsml,0.36184178107236054,0.38313488726094336,0.3601001851264958,0.3635833770182254,0.7614797270635153,6030,0.7196778849559389,0.3320481578199028,0.6413708977016475,0.6425459238453892,6800,6969,0,0
selected__all__hard__continuous_lsml,0.35040461677885215,0.37430964327670063,0.35142638093535944,0.3493828526223448,0.7547113717135118,6030,0.7012183612005352,0.28011515901597633,0.6213980888349122,0.622933895749781,6800,6969,0,0
shuffle__all__hard__ds,0.2828343732441608,0.3201304013042944,0.28800084534972387,0.2776679011385977,0.6061584518994805,6030,0.5776870486988888,0.17232360581478134,0.5319981887010401,0.5319981887010401,6800,6969,0,0
shuffle__all__hard__hem,0.2879581847548697,0.32614655824877914,0.2953450010198678,0.2805713684898714,0.6062120933973641,6030,0.578401942759698,0.17292827714009928,0.5341962978475195,0.5340232726948755,6800,6969,0,0
shuffle__all__hard__equal,0.21993542332044602,0.2688236368317472,0.22303709218298443,0.2168337544579076,0.6055676473065349,6030,0.577119216646293,0.1695741496435727,0.5293945311802271,0.529494431521804,6800,6969,0,0
shuffle__all__hard__spectral,0.18880816596316827,0.24074741105137756,0.18841473893930646,0.1892015929870301,0.6062148529579555,6030,0.577655601982251,0.17225095819742667,0.5316960689810437,0.5313439074843975,6800,6969,0,0
shuffle__all__hard__binary_lsml,0.27749957034884354,0.31942694474225897,0.26773069554099616,0.28726844515669087,0.5903557281673356,6030,0.5649754876384272,0.16183086733418023,0.5082693697704945,0.5241481644743646,6800,6969,0,0
shuffle__all__soft__equal,0.29712881462125035,0.33618600040746427,0.3035061029289142,0.2907515263135865,0.6108274995435783,6030,0.5873131472113875,0.178548823744456,0.5410691991554645,0.5409092101805639,6800,6969,0,0
shuffle__all__soft__spectral,0.29935527688027197,0.3392115931684586,0.3047381940610251,0.29397235969951885,0.6105098318106326,6030,0.5877965135675834,0.1794301067998612,0.5421294676362765,0.5426699402946156,6800,6969,0,0
shuffle__all__soft__continuous_lsml,0.29549717836569117,0.33639428083772066,0.3023777426526884,0.28861661407869393,0.6109906880861773,6030,0.5877874641966898,0.1799530629965096,0.5428025967867925,0.5427243946544684,6800,6969,0,0
shuffle__all__hard__continuous_lsml,0.15064171666898102,0.2043914254621636,0.14947967916132093,0.1518037541766411,0.6058751406661723,6030,0.5768651659462167,0.17307560064995048,0.5318424349610811,0.5312532002299216,6800,6969,0,0
top5__all__hard__ds,0.3298151215503054,0.34934177684065293,0.33695765677118045,0.3226725863294304,0.7556418052388293,6030,0.7058717190688892,0.2807082510683995,0.6246260520637996,0.6254528410896558,6800,6969,0,0
top5__all__hard__hem,0.3270702264815269,0.3489311103234058,0.33456667023232833,0.31957378273072545,0.7530548911693347,6030,0.7039310867858618,0.2740002542282914,0.6277862906385894,0.6283682216463685,6800,6969,0,0
top5__all__hard__equal,0.21247204775949105,0.25936514747013567,0.21644319269787926,0.20850090282110278,0.7349506227330338,6030,0.6802541829924978,0.23294141410619695,0.6029631609955041,0.6029631609955041,6800,6969,0,0
top5__all__hard__spectral,0.2169615701402191,0.26404497527746024,0.22701424448612503,0.20690889579431315,0.7573017307946526,6030,0.7062317738916093,0.28059851320554086,0.6263282574011134,0.6264092834986434,6800,6969,0,0
top5__all__hard__binary_lsml,0.3239074319905406,0.35376740305613974,0.33133988484906063,0.3164749791320205,0.7329393644220047,6030,0.6843490939084061,0.23070546662282995,0.5933586042642165,0.5937901747613659,6800,6969,0,0
top5__all__soft__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,0.7531533804218778,6030,0.7068061212452547,0.31248571688765214,0.6297415610546424,0.6319507791855765,6800,6969,0,0
top5__all__soft__spectral,0.25971487773434754,0.3017909393737659,0.27944774212780527,0.23998201334088987,0.7591920681295428,6030,0.7202829979831138,0.3189153975380133,0.636672508311316,0.6372890507665646,6800,6969,0,0
top5__all__soft__continuous_lsml,0.25759815369596334,0.298460862295546,0.2779591337523982,0.23723717363952843,0.7550375112745155,6030,0.7169359433710831,0.3078130553221029,0.6333053036811935,0.6338008057406179,6800,6969,0,0
top5__all__hard__continuous_lsml,0.16021519986198013,0.2104822066102277,0.158239026011834,0.1621913737121262,0.7584842902916806,6030,0.706069549165526,0.2798129643919577,0.6247417381895257,0.6266480063067383,6800,6969,0,0
top5__errors__hard__ds,0.32869276863883196,0.34831160118184323,0.3362988952428537,0.3210866420348102,,,,,,,6800,0,0,0
top5__errors__hard__hem,0.3234681469034886,0.34653315298827536,0.34574136528520527,0.30119492852177193,,,,,,,6800,0,0,0
top5__errors__hard__equal,0.21247204775949105,0.25936514747013567,0.21644319269787926,0.20850090282110278,,,,,,,6800,0,0,0
top5__errors__hard__spectral,0.23377255751622653,0.2788917179741092,0.23684705481883667,0.23069806021361636,,,,,,,6800,0,0,0
top5__errors__hard__binary_lsml,0.3176397158012628,0.3446345794054718,0.3367137079315597,0.29856572367096607,,,,,,,6800,0,0,0
top5__errors__soft__equal,0.32489485450660877,0.3524359319607616,0.3238182489234913,0.3259714600897262,,,,,,,6800,0,0,0
top5__errors__soft__spectral,0.26335030233931767,0.30544486750031535,0.28127763526204624,0.2454229694165891,,,,,,,6800,0,0,0
top5__errors__soft__continuous_lsml,0.2593884729688518,0.3001798868682393,0.2782031933268531,0.2405737526108505,,,,,,,6800,0,0,0
top5__errors__hard__continuous_lsml,0.1585622333089938,0.20832306668047634,0.15413400265896482,0.16299046395902278,,,,,,,6800,0,0,0
ct7,0.3988620140983161,0.41188745848863717,0.4004633366930282,0.39726069150360405,0.7723966352864217,6030,0.7233245522013749,0.3413651214271107,0.6425309772481037,0.647104057213021,6800,6969,0,0
token_lsml,0.3592368825176495,0.3732442704802602,0.36049030394718745,0.35798346108811147,0.7531638360944568,6030,0.7191813102795485,0.28053810812825203,0.6303722260272545,0.6299240371677104,6800,6969,0,0
token_equal,0.32592621106812386,0.3487954139076385,0.3306928058457362,0.3211596162905115,0.7311045454951502,6030,0.6960133151959138,0.26160563040416684,0.6169493668203978,0.6183371367886439,6800,6969,0,0
mindgap_previous_unadjusted,0.22645083949185113,0.2748721700546999,0.23116281431252161,0.22173886467118065,0.6337412633612456,6030,0.6096843228273833,0.18613832875268457,0.5420085433240655,0.5426725001664906,6800,6969,0,0
mindgap,0.222504277686643,0.2697458945417888,0.23025999320973997,0.21474856216354604,0.6084010565600693,6030,0.5951940128658719,0.1730544855955885,0.5323748298523776,0.5322737732343956,6800,6969,0,0
