learning_rate,epochs,n_cells,completion_rate,all_finite_history,cross_seed_stability,deviation_from_default,median_score_sd
0.0001,100,3,1.0,1,nan,1.0,0.4344218926987261
0.0001,300,3,0.0,1,nan,1.4771212547196624,5.175447545841546e-12
0.0001,1000,3,0.0,1,nan,2.0,4.892740459340833e-16
0.0003,100,3,0.0,1,nan,0.5228787452803376,8.546675381640016e-08
0.0003,300,3,0.0,1,nan,1.0,6.742236692825479e-16
0.0003,1000,3,0.0,1,nan,1.5228787452803376,2.794385965622348e-16
0.001,100,3,0.0,1,nan,0.0,3.0069861343351764e-14
0.001,300,3,0.0,1,nan,0.47712125471966244,3.646540446038939e-16
0.001,1000,3,0.0,1,nan,1.0,2.745180860501232e-18
0.003,100,3,0.0,1,nan,0.47712125471966244,5.882117785690449e-15
0.003,300,3,0.0,1,nan,0.9542425094393249,1.9731674486131624e-17
0.003,1000,3,0.0,1,nan,1.4771212547196624,1.491119257961128e-20
0.01,100,3,0.0,1,nan,1.0,3.8187165952378003e-16
0.01,300,3,0.0,1,nan,1.4771212547196624,9.428780836710014e-19
0.01,1000,3,0.0,1,nan,2.0,1.4290926005612566e-18
