world,method,normalized_bias_squared,normalized_variance,normalized_mse
clean_gaussian,diag_mad,0.03014404906216134,0.00823903953134107,0.03838308859350241
clean_gaussian,diag_var,0.03013278489418862,0.00823320383277779,0.03836598872696641
clean_gaussian,lw_gls,0.025440505390705345,0.0077120750745261705,0.033152580465231514
clean_gaussian,ols,0.030002181334976542,0.008225298264892619,0.03822747959986916
sparse_contaminated,diag_mad,0.005391619437957431,0.021902463317688643,0.027294082755646074
sparse_contaminated,diag_var,0.01447819570527744,0.01877687105954374,0.03325506676482118
sparse_contaminated,lw_gls,0.008571678887025293,0.022156873957821413,0.030728552844846706
sparse_contaminated,ols,0.007501231130890014,0.017155788872886053,0.024657020003776068
sparse_gaussian,diag_mad,0.016744196772677765,0.01941299575010363,0.03615719252278139
sparse_gaussian,diag_var,0.017519373281379525,0.018259063949401418,0.035778437230780946
sparse_gaussian,lw_gls,0.021734591499771645,0.015003319040360973,0.03673791054013262
sparse_gaussian,ols,0.017158122353770087,0.018895413480885442,0.03605353583465553
sparse_mixed_kurtosis,diag_mad,0.018900663738119314,0.01712572852757316,0.03602639226569247
sparse_mixed_kurtosis,diag_var,0.020468952656743384,0.016059876784210725,0.036528829440954105
sparse_mixed_kurtosis,lw_gls,0.023940626297052403,0.014992487492502869,0.038933113789555274
sparse_mixed_kurtosis,ols,0.018539881719486832,0.017375804861910343,0.035915686581397176
sparse_small,diag_mad,0.0010217700756375947,0.04216852062190528,0.04319029069754287
sparse_small,diag_var,0.0009562051744454397,0.044539228976860384,0.04549543415130582
sparse_small,lw_gls,0.0012998541217741659,0.04412931392063523,0.045429168042409394
sparse_small,ols,0.00103684876126933,0.04324953701973504,0.04428638578100437
sparse_t5,diag_mad,0.016322065902951176,0.024508064482215177,0.04083013038516635
sparse_t5,diag_var,0.011940889358836906,0.025688459050920393,0.0376293484097573
sparse_t5,lw_gls,0.011884541098011426,0.020490796454690142,0.03237533755270157
sparse_t5,ols,0.014897654402306518,0.02422673430738194,0.03912438870968846
