method,metric,relative_error_reduction,ci95_low,ci95_high
diag_var,full_rho_nrmse,-0.024655244865512432,-0.06197970565972293,0.006479792323082608
diag_var,shape_rho_nrmse,0.005010952927510514,-0.003010003048773489,0.013870107103237925
diag_var,head_rho_nrmse,-0.07295707628476994,-0.17768635830108537,0.008978372042187049
diag_var,pcr_weight_nrmse,-0.06372607698601487,-0.1485485618586837,0.002114770736135127
diag_mad,full_rho_nrmse,-0.003461611184945732,-0.025229881508227275,0.015068011784274388
diag_mad,shape_rho_nrmse,0.001115072549974808,-0.0036702905069931928,0.00618020508428537
diag_mad,head_rho_nrmse,-0.014350011046298395,-0.0554358067270383,0.019972748195237363
diag_mad,pcr_weight_nrmse,-0.011287766182438532,-0.04392252823977673,0.015755888437275378
lw_gls,full_rho_nrmse,-0.06689981253603747,-0.1876371530624086,0.02606189361815196
lw_gls,shape_rho_nrmse,0.031182684193395777,0.009403524269492598,0.054308502254086184
lw_gls,head_rho_nrmse,-0.31491031739969055,-0.7163122372021393,-0.014157339004945233
lw_gls,pcr_weight_nrmse,-0.16854838697298088,-0.4083679540344508,0.009738483907141495
