lane,representation,graph,tie_seed,graph_role,cells,median_raw_target_effect,exact_eligible_cells,exact_eligible_fraction,median_exact_target_effect,fraction_exact_effect_positive,fraction_exact_holm_p_le_0p05,median_exact_purity_excess,crt_eligible_cells,crt_eligible_fraction,median_crt_target_effect,fraction_crt_effect_positive,fraction_crt_holm_p_le_0p05,median_crt_purity_excess,pair_eligible_cells,pair_eligible_fraction,median_pair_target_effect,fraction_pair_effect_positive,fraction_pair_holm_p_le_0p05,median_pair_purity_excess,median_length_effect,healthy_graph_fraction,median_largest_component_fraction,median_isolated_fraction,mean_iu_auroc,mean_liu_auroc,mean_liu_delta_auroc,spearman_exact_effect_vs_liu_delta
global24,original,union_knn_k7_self_safe,101,candidate,21,0.18243298120440377,19,0.9047619047619048,0.1450660995569483,1.0,0.8947368421052632,0.042096025876606435,20,0.9523809523809523,0.15685677455192032,1.0,0.9,0.05337552781151439,13,0.6190476190476191,0.11107911536864523,1.0,0.7692307692307693,0.037816393532547066,0.8100374644637688,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7627988835876974,0.00021669788658333698,0.09824561403508772
global24,original,union_knn_k7_self_safe,211,candidate,21,0.18243298120440377,19,0.9047619047619048,0.1450660995569483,1.0,0.8947368421052632,0.042096025876606435,20,0.9523809523809523,0.15685677455192032,1.0,0.9,0.05337552781151439,13,0.6190476190476191,0.11107911536864523,1.0,0.7692307692307693,0.037816393532547066,0.8100374644637688,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7627988835876974,0.00021669788658333698,0.09824561403508772
global24,original,union_knn_k7_self_safe,307,candidate,21,0.18243298120440377,19,0.9047619047619048,0.1450660995569483,1.0,0.8947368421052632,0.042096025876606435,20,0.9523809523809523,0.15685677455192032,1.0,0.9,0.05337552781151439,13,0.6190476190476191,0.11107911536864523,1.0,0.7692307692307693,0.037816393532547066,0.8100374644637688,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7627988835876974,0.00021669788658333698,0.09824561403508772
global24,original,radius_edge_matched_k7,101,candidate,21,0.10394441565537393,19,0.9047619047619048,0.06676495157399583,0.9473684210526315,0.7368421052631579,0.06067735514440298,20,0.9523809523809523,0.07552320903045812,0.95,0.75,0.07421285838246727,13,0.6190476190476191,0.0467516459921048,0.9230769230769231,0.5384615384615384,0.03873181470449749,0.27782118111721865,0.0,0.7164518574677786,0.208,0.7625821857011141,0.762479001869372,-0.0001031838317420893,-0.20350877192982456
global24,original,radius_edge_matched_k7,211,candidate,21,0.10394441565537393,19,0.9047619047619048,0.06676495157399583,0.9473684210526315,0.7368421052631579,0.06067735514440298,20,0.9523809523809523,0.07552320903045812,0.95,0.75,0.07421285838246727,13,0.6190476190476191,0.0467516459921048,0.9230769230769231,0.5384615384615384,0.03873181470449749,0.2778208151945879,0.0,0.7164518574677786,0.208,0.7625821857011141,0.762479001869372,-0.0001031838317420893,-0.20350877192982456
global24,original,radius_edge_matched_k7,307,candidate,21,0.10394441565537393,19,0.9047619047619048,0.06676495157399583,0.9473684210526315,0.7368421052631579,0.06067735514440298,20,0.9523809523809523,0.07552320903045812,0.95,0.75,0.07421285838246727,13,0.6190476190476191,0.0467516459921048,0.9230769230769231,0.5384615384615384,0.03873181470449749,0.277821334005133,0.0,0.7164518574677786,0.208,0.7625821857011141,0.762479001869372,-0.0001031838317420893,-0.20350877192982456
global24,original,adaptive_knn_mean7_k3_25,101,candidate,21,0.1933473833418683,19,0.9047619047619048,0.1481629811924193,1.0,0.8947368421052632,0.049296433751796376,20,0.9523809523809523,0.1650801959930648,1.0,0.85,0.050297841409394195,13,0.6190476190476191,0.11295588285396599,1.0,0.8461538461538461,0.0343949549483652,0.7917069844753606,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626796862475073,9.750054639324186e-05,0.06842105263157894
global24,original,adaptive_knn_mean7_k3_25,211,candidate,21,0.1933473833418683,19,0.9047619047619048,0.1481629811924193,1.0,0.8947368421052632,0.049296433751796376,20,0.9523809523809523,0.1650801959930648,1.0,0.85,0.05030821867935764,13,0.6190476190476191,0.11295588285396599,1.0,0.8461538461538461,0.0343949549483652,0.7917643478096849,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626796862475073,9.750054639324186e-05,0.06842105263157894
global24,original,adaptive_knn_mean7_k3_25,307,candidate,21,0.1933473833418683,19,0.9047619047619048,0.1481629811924193,1.0,0.8947368421052632,0.049296433751796376,20,0.9523809523809523,0.1650801959930648,1.0,0.85,0.05028994300200451,13,0.6190476190476191,0.11295588285396599,1.0,0.8461538461538461,0.0343949549483652,0.7917236053758483,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626796862475073,9.750054639324186e-05,0.06842105263157894
global24,original,diffusion_edge_matched_base25_t2,101,candidate,21,0.17714964978151845,19,0.9047619047619048,0.14510835071340325,0.9473684210526315,0.8947368421052632,0.04794341397863666,20,0.9523809523809523,0.14965961806391748,1.0,0.85,0.05548013549850467,13,0.6190476190476191,0.10287664863079267,1.0,0.7692307692307693,0.04103947729999813,0.7403844239324732,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626460612729357,6.387557182152559e-05,0.09649122807017543
global24,original,diffusion_edge_matched_base25_t2,211,candidate,21,0.17714964978151845,19,0.9047619047619048,0.14510835071340325,0.9473684210526315,0.8947368421052632,0.04794341397863666,20,0.9523809523809523,0.14965961806391748,1.0,0.85,0.05548013549850467,13,0.6190476190476191,0.10287664863079267,1.0,0.7692307692307693,0.04103947729999813,0.7403844239324732,0.8095238095238095,1.0,0.0,0.7625821857011141,0.762646058609272,6.387290815787616e-05,0.09649122807017543
global24,original,diffusion_edge_matched_base25_t2,307,candidate,21,0.17714964978151845,19,0.9047619047619048,0.14510835071340325,0.9473684210526315,0.8947368421052632,0.04794341397863666,20,0.9523809523809523,0.14965961806391748,1.0,0.85,0.05548013549850467,13,0.6190476190476191,0.10287664863079267,1.0,0.7692307692307693,0.04103947729999813,0.7403844239324732,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626460479546173,6.386225350326782e-05,0.09649122807017543
global24,original,diffusion_edge_matched_base25_t4,101,candidate,21,0.16543629705608595,19,0.9047619047619048,0.13927838520410385,0.9473684210526315,0.8947368421052632,0.04332933201690381,20,0.9523809523809523,0.14818505275905738,0.95,0.85,0.05297362834951169,13,0.6190476190476191,0.09214307706354216,1.0,0.7692307692307693,0.036121944109334225,0.6827919767993906,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626666583659623,8.447266484818126e-05,0.23333333333333334
global24,original,diffusion_edge_matched_base25_t4,211,candidate,21,0.16543629705608595,19,0.9047619047619048,0.13927838520410385,0.9473684210526315,0.8947368421052632,0.04332933201690381,20,0.9523809523809523,0.14818505275905738,0.95,0.85,0.05297362834951169,13,0.6190476190476191,0.09250813542242158,1.0,0.7692307692307693,0.036121944109334225,0.6827919767993906,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626666557022985,8.447000118453183e-05,0.23333333333333334
global24,original,diffusion_edge_matched_base25_t4,307,candidate,21,0.16543629705608595,19,0.9047619047619048,0.13927838520410385,0.9473684210526315,0.8947368421052632,0.04332933201690381,20,0.9523809523809523,0.14818505275905738,0.95,0.85,0.05297362834951169,13,0.6190476190476191,0.09308002108208836,1.0,0.7692307692307693,0.036121944109334225,0.6827919767993906,0.8095238095238095,1.0,0.0,0.7625821857011141,0.7626666583659623,8.447266484818126e-05,0.23333333333333334
global24,original,deployed_union_knn_k7,101,control,21,0.18276691662453393,19,0.9047619047619048,0.14484885503051276,1.0,0.0,0.04241169742039541,20,0.9523809523809523,0.15689928768360717,1.0,0.0,0.05324601102563209,13,0.6190476190476191,0.11126894011239512,1.0,0.0,0.03765235166445102,0.809672484440565,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7628023667671481,0.00022018106603410593,0.09824561403508772
global24,original,deployed_union_knn_k7,211,control,21,0.18276691662453393,19,0.9047619047619048,0.14484885503051276,1.0,0.0,0.04241169742039541,20,0.9523809523809523,0.15689928768360717,1.0,0.0,0.05324601102563209,13,0.6190476190476191,0.11126894011239512,1.0,0.0,0.03765235166445102,0.809672484440565,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7628023667671481,0.00022018106603410593,0.09824561403508772
global24,original,deployed_union_knn_k7,307,control,21,0.18276691662453393,19,0.9047619047619048,0.14484885503051276,1.0,0.0,0.04241169742039541,20,0.9523809523809523,0.15689928768360717,1.0,0.0,0.05324601102563209,13,0.6190476190476191,0.11126894011239512,1.0,0.0,0.03765235166445102,0.809672484440565,0.8571428571428571,1.0,0.0,0.7625821857011141,0.7628023667671481,0.00022018106603410593,0.09824561403508772
global24,original,mutual_knn_k7,101,control,21,0.19911140555739004,19,0.9047619047619048,0.1363744272959125,1.0,0.0,0.048059784504604464,20,0.9523809523809523,0.16188233109186723,1.0,0.0,0.0579271378186581,13,0.6190476190476191,0.1049369219784482,1.0,0.0,0.038815603888248784,0.7361851972721916,0.6190476190476191,0.92,0.04,0.7625821857011141,0.7626947864126098,0.00011260071149582231,0.042105263157894736
