lane,representation,graph,tie_seed,cells,mean_liu_delta_auroc,median_liu_delta_auroc,ci_low,ci_high,positive_cells_fraction
global24,original,union_knn_k7_self_safe,101,21,0.00021669788658333698,0.0001513007413735945,-0.0003221399268341417,0.0007634610558853582,0.5714285714285714
global24,original,union_knn_k7_self_safe,211,21,0.00021669788658333698,0.0001513007413735945,-0.00031862755548740454,0.0007629282568951829,0.5714285714285714
global24,original,union_knn_k7_self_safe,307,21,0.00021669788658333698,0.0001513007413735945,-0.00033086128677083153,0.0007807708576741126,0.5714285714285714
global24,original,radius_edge_matched_k7,101,21,-0.0001031838317420893,3.333841427177742e-05,-0.0003531986643405097,0.00012425527512026843,0.5238095238095238
global24,original,radius_edge_matched_k7,211,21,-0.0001031838317420893,3.333841427177742e-05,-0.00035133628534678364,0.00011245888575487902,0.5238095238095238
global24,original,radius_edge_matched_k7,307,21,-0.0001031838317420893,3.333841427177742e-05,-0.0003525894099219448,0.00012759735916187856,0.5238095238095238
global24,original,adaptive_knn_mean7_k3_25,101,21,9.750054639324186e-05,0.00016465080678895738,-0.000456534857333091,0.0006526906382173822,0.5714285714285714
global24,original,adaptive_knn_mean7_k3_25,211,21,9.750054639324186e-05,0.00016465080678895738,-0.00044497262436909513,0.0006392560839448305,0.5714285714285714
global24,original,adaptive_knn_mean7_k3_25,307,21,9.750054639324186e-05,0.00016465080678895738,-0.00043972524618108986,0.0006484690768407994,0.5714285714285714
global24,original,diffusion_edge_matched_base25_t2,101,21,6.387557182152559e-05,1.8360428991393007e-05,-0.00045857379177025303,0.0005946442223626083,0.5238095238095238
global24,original,diffusion_edge_matched_base25_t2,211,21,6.387290815787616e-05,1.8360428991393007e-05,-0.0004628031254576332,0.0005712612864552642,0.5238095238095238
global24,original,diffusion_edge_matched_base25_t2,307,21,6.386225350326782e-05,1.8360428991393007e-05,-0.0004593023491245129,0.0005679205361438979,0.5238095238095238
global24,original,diffusion_edge_matched_base25_t4,101,21,8.447266484818126e-05,5.35512512245262e-06,-0.00038320531674050005,0.0005344554641840524,0.5238095238095238
global24,original,diffusion_edge_matched_base25_t4,211,21,8.447000118453183e-05,5.35512512245262e-06,-0.0003821918491043423,0.0005438455392676098,0.5238095238095238
global24,original,diffusion_edge_matched_base25_t4,307,21,8.447266484818126e-05,5.35512512245262e-06,-0.0003975510416827527,0.000549393149777579,0.5238095238095238
global24,original,deployed_union_knn_k7,101,21,0.00022018106603410593,0.00012905063234824876,-0.0003190573184371469,0.0007767049838597713,0.5714285714285714
global24,original,deployed_union_knn_k7,211,21,0.00022018106603410593,0.00012905063234824876,-0.00031485981478324805,0.0007787816528558455,0.5714285714285714
global24,original,deployed_union_knn_k7,307,21,0.00022018106603410593,0.00012905063234824876,-0.00030282006995968705,0.0007817301404392897,0.5714285714285714
global24,original,mutual_knn_k7,101,21,0.00011260071149582231,7.650178746043679e-07,-0.00023133011171986204,0.0004635329259039483,0.5238095238095238
global24,original,mutual_knn_k7,211,21,0.00011260071149582231,7.650178746043679e-07,-0.00021692051410073838,0.0004659936002366941,0.5238095238095238
global24,original,mutual_knn_k7,307,21,0.00011260071149582231,7.650178746043679e-07,-0.00022532452214457654,0.0004599895300279473,0.5238095238095238
global24,original,length_only_knn_k7,101,21,-0.00021895282700887386,-3.678685237884505e-05,-0.0005172610762366012,8.814664713048634e-05,0.38095238095238093
global24,original,length_only_knn_k7,211,21,-0.00027216890934128867,-7.150646239650893e-05,-0.0005512556932418428,1.8363528846167725e-05,0.2857142857142857
global24,original,length_only_knn_k7,307,21,-0.0001771233331636593,-3.519082223346626e-05,-0.0004651275361826617,0.00012343729605307572,0.38095238095238093
global24,original,permuted_self_safe_union_knn_k7,101,21,3.3536730588146213e-06,0.0,-1.2839101216311066e-05,1.9568897261143117e-05,0.38095238095238093
global24,original,permuted_self_safe_union_knn_k7,211,21,2.393888473382172e-05,2.7015726477008783e-06,-5.321672113822198e-07,5.3681388607472254e-05,0.5238095238095238
global24,original,permuted_self_safe_union_knn_k7,307,21,-1.4790455984578113e-05,-2.7170880929627828e-06,-3.350437476971731e-05,3.943940423849801e-06,0.3333333333333333
global24,drop_length,union_knn_k7_self_safe,101,21,2.4647522996558092e-05,-4.828274374746311e-05,-0.00044825079123167846,0.0005107921656237202,0.47619047619047616
global24,drop_length,union_knn_k7_self_safe,211,21,2.4647522996558092e-05,-4.828274374746311e-05,-0.00046394617700391946,0.0005073745276533123,0.47619047619047616
global24,drop_length,union_knn_k7_self_safe,307,21,2.4647522996558092e-05,-4.828274374746311e-05,-0.0004449253886944651,0.0005085198609917031,0.47619047619047616
global24,drop_length,radius_edge_matched_k7,101,21,2.0093271721741796e-05,2.539448016336543e-05,-0.00016488307305950455,0.00018668963365361035,0.5714285714285714
global24,drop_length,radius_edge_matched_k7,211,21,2.009327172173651e-05,2.539448016336543e-05,-0.00015754329722809802,0.00018819965395159405,0.5714285714285714
global24,drop_length,radius_edge_matched_k7,307,21,2.0093271721741796e-05,2.539448016336543e-05,-0.00015871199641900643,0.00018441349509248917,0.5714285714285714
global24,drop_length,adaptive_knn_mean7_k3_25,101,21,-8.676177782171579e-05,-3.9086030652502046e-05,-0.0005995575532877091,0.0004426030598724522,0.42857142857142855
global24,drop_length,adaptive_knn_mean7_k3_25,211,21,-8.676177782171049e-05,-3.9086030652502046e-05,-0.0006140249155072143,0.00041252323684726314,0.42857142857142855
global24,drop_length,adaptive_knn_mean7_k3_25,307,21,-8.676177782171579e-05,-3.9086030652502046e-05,-0.0006147594164458381,0.0004276853880134834,0.42857142857142855
global24,drop_length,diffusion_edge_matched_base25_t2,101,21,9.259661301312738e-05,0.0,-0.00048639775416477974,0.0005694998028016717,0.47619047619047616
global24,drop_length,diffusion_edge_matched_base25_t2,211,21,9.381407552355725e-05,0.0,-0.00048322189676626887,0.0005820077247608669,0.47619047619047616
global24,drop_length,diffusion_edge_matched_base25_t2,307,21,9.381407552355725e-05,0.0,-0.0004801772986626351,0.0005863536839348216,0.47619047619047616
global24,drop_length,diffusion_edge_matched_base25_t4,101,21,9.394581327096119e-05,0.0,-0.000379351586242114,0.0005553680473110149,0.47619047619047616
global24,drop_length,diffusion_edge_matched_base25_t4,211,21,8.999480285977666e-05,0.0,-0.00039422624156225383,0.0005509402199860461,0.47619047619047616
