lane,graph_family,k,validation_cells,fraction_target_aligned,fraction_target_smoother_than_length,median_components
global24,union_knn,3,21,0.9523809523809523,0.0,1.0
global24,union_knn,5,21,0.9523809523809523,0.0,1.0
global24,union_knn,7,21,0.9523809523809523,0.0,1.0
global24,union_knn,10,21,0.9523809523809523,0.0,1.0
global24,union_knn,15,21,0.9523809523809523,0.0,1.0
global24,union_knn,25,21,0.9523809523809523,0.0,1.0
global24,mutual_knn,3,21,0.9523809523809523,0.0,380.0
global24,mutual_knn,5,21,0.9047619047619048,0.0,126.0
global24,mutual_knn,7,21,0.9523809523809523,0.0,60.0
global24,mutual_knn,10,21,0.9523809523809523,0.0,28.0
global24,mutual_knn,15,21,0.9523809523809523,0.0,12.0
global24,mutual_knn,25,21,0.9523809523809523,0.0,4.0
processbench,union_knn,3,4,1.0,0.0,1.0
processbench,union_knn,5,4,1.0,0.0,1.0
processbench,union_knn,7,4,1.0,0.0,1.0
processbench,union_knn,10,4,1.0,0.0,1.0
processbench,union_knn,15,4,1.0,0.0,1.0
processbench,union_knn,25,4,1.0,0.0,1.0
processbench,mutual_knn,3,4,1.0,0.0,264.0
processbench,mutual_knn,5,4,1.0,0.0,70.5
processbench,mutual_knn,7,4,1.0,0.0,34.5
processbench,mutual_knn,10,4,1.0,0.0,18.0
processbench,mutual_knn,15,4,1.0,0.0,8.0
processbench,mutual_knn,25,4,1.0,0.0,3.0
ragtruth,union_knn,3,1,1.0,0.0,2.0
ragtruth,union_knn,5,1,1.0,0.0,2.0
ragtruth,union_knn,7,1,1.0,0.0,1.0
ragtruth,union_knn,10,1,1.0,0.0,1.0
ragtruth,union_knn,15,1,1.0,0.0,1.0
ragtruth,union_knn,25,1,1.0,0.0,1.0
ragtruth,mutual_knn,3,1,1.0,0.0,421.0
ragtruth,mutual_knn,5,1,1.0,0.0,120.0
ragtruth,mutual_knn,7,1,1.0,0.0,67.0
ragtruth,mutual_knn,10,1,1.0,0.0,30.0
ragtruth,mutual_knn,15,1,1.0,0.0,16.0
ragtruth,mutual_knn,25,1,1.0,0.0,5.0
