cell,domain,historical_iu_pcr,v1_iu,augmented_iu,v2_minus_v1
epr_triviaqa_mistral24b,QA,0.7425934238581529,0.7367579396251823,0.7356778139378296,-0.0010801256873527176
losnet_hotpotqa_mistral7b,QA,0.5721589588659075,0.5765029764564973,0.5795777543395484,0.0030747778830511052
sciq_llama8b,QA,0.7369260567392047,0.7379514640537769,0.737381793323459,-0.0005696707303178838
se_nq_open_llama8b,QA,0.739502916412037,0.741436264755115,0.7401811517694951,-0.0012551129856199772
se_squad_v2_llama8b,QA,0.812104509828818,0.784257730887768,0.7870788267750164,0.002821095887248437
seiclr_triviaqa_opt30b,QA,0.8266982889919704,0.8034552527856461,0.8276709496538364,0.02421569686819025
semenergy_triviaqa_qwen3_8b,QA,0.8072191008667475,0.8288404102067909,0.8216263799840898,-0.007214030222701062
spilled_triviaqa_llama8b,QA,0.9373333333333334,0.8186666666666667,0.8593333333333333,0.04066666666666663
truthfulqa_llama8b,QA,0.6631464677130233,0.6667205253906449,0.6692171670697618,0.0024966416791168955
ars_gsm8k_r1distill8b,math,0.7589689722042663,0.7259817388493859,0.7338598901098901,0.007878151260504174
internalstates_gsm8k_qwen25_7b,math,0.7131294444123258,0.7067699601086894,0.7166946098552736,0.009924649746584135
lapeigvals_gsm8k_llama3b,math,0.6947338043771702,0.6802720138520401,0.6849708157622811,0.004698801910241079
lapeigvals_gsm8k_llama8b,math,0.8180598927055809,0.8020057650732645,0.8057290415565698,0.0037232764833052823
lapeigvals_gsm8k_mistral24b,math,0.8466525134581848,0.7934339222079005,0.8093259534460535,0.01589203123815297
lapeigvals_gsm8k_nemo,math,0.7974812106439163,0.8046110095470241,0.8072882388787325,0.0026772293317083307
lapeigvals_gsm8k_phi35,math,0.809703717548216,0.7986899135805765,0.8032022356909548,0.004512322110378331
noise_gsm8k_mistral7b,math,0.7856016259788752,0.7775062192772303,0.7799525449604311,0.0024463256832008007
noise_gsm8k_phi3mini,math,0.6727700787753008,0.6736682957309589,0.6747283033183816,0.001060007587422751
math500_dsmath7b,math,0.7882463360046207,0.800808605876832,0.8046350444011263,0.0038264385242943177
math500_qwenmath7b,math,0.9307809330628803,0.9434584178498986,0.9484660243407708,0.005007606490872174
math500_r1distill8b,math,0.8384046946316018,0.8153662247337535,0.8156922408172137,0.00032601608346016775
math500_r1distill8b_mn4096,math,0.8320956517677829,0.8260240063518752,0.8320489468030452,0.006024940451169969
trace_gsm8k_llama8b_k10,math,0.8148908926218709,0.7930305088932806,0.7978491436100131,0.004818634716732495
trace_math500_qwenmath15b_k10,math,0.686874358819394,0.6785012381814302,0.679755867495844,0.001254629314413891
