baseline,cell_macro_delta_auroc,endpoint,equal_family_delta_auroc,family_ci_high,family_ci_low,family_losses,family_ties,family_wins,method,n_cells,n_dataset_families
deepconf_entropy_w64,-0.028586616823732435,16,-0.042198768984795354,0.02657554095983783,-0.12080299820974619,3,0,2,global_gl_liu_no_length,11,5
iu28_no_length,-0.00511520795483455,16,-0.012088436367339283,0.015468620233996689,-0.03969213926254621,3,0,2,global_gl_liu_no_length,11,5
deepconf_entropy_w64,-0.026407133355204112,16,-0.040924207584451595,0.027685288862026935,-0.12110358554326772,3,0,2,global_gl_liu_elapsed_length,11,5
iu28_no_length,-0.0029357244863062256,16,-0.010813874966995523,0.019289352546315208,-0.04035382593282674,3,0,2,global_gl_liu_elapsed_length,11,5
deepconf_entropy_w64,-0.015448781686927437,16,-0.009637406165867158,0.009824727942267308,-0.033869234287611606,2,0,3,local_temporal_gl_liu_max,11,5
iu28_no_length,0.008022627181970448,16,0.020472926451588914,0.07939615990102793,-0.02065857402784135,2,0,3,local_temporal_gl_liu_max,11,5
deepconf_entropy_w64,-0.010108663111404842,16,-0.007487884854452831,0.0065883780883146505,-0.021886795068640868,2,0,3,local_dufs_gl_liu_top5,11,5
iu28_no_length,0.013362745757493043,16,0.02262244776300324,0.08433118073353905,-0.023047877626726575,2,0,3,local_dufs_gl_liu_top5,11,5
deepconf_entropy_w64,-0.015559179513073411,16,-0.03122974360650697,0.02715108524377009,-0.10130424787191021,3,0,2,fused_gl_liu,11,5
iu28_no_length,0.007912229355824474,16,-0.0011194109890509062,0.025036206304512316,-0.026943784362081225,3,0,2,fused_gl_liu,11,5
deepconf_entropy_w64,-0.023426538918249747,16,-0.01759619265553489,0.014876940964126905,-0.048945222226956,3,0,2,cusum_max,11,5
iu28_no_length,4.4869950648138904e-05,16,0.012514139961921179,0.06360470695374193,-0.015656163591025573,4,0,1,cusum_max,11,5
deepconf_entropy_w64,-0.012232718227314771,16,-0.0029650963112356084,0.012592081522316168,-0.026778033782539547,1,0,4,sw_var_peak,11,5
iu28_no_length,0.011238690641583114,16,0.027145236306220462,0.09903617924318484,-0.01953664109845472,2,0,3,sw_var_peak,11,5
deepconf_entropy_w64,-0.012306025293132385,16,-0.002951251846295605,0.013209746085376528,-0.0263739479194044,2,0,3,cusum_swvar_equal,11,5
iu28_no_length,0.011165383575765499,16,0.02715908077116046,0.10009933874622967,-0.01878257566295033,2,0,3,cusum_swvar_equal,11,5
deepconf_entropy_w64,-0.005852943949517206,32,-0.030197248483830597,0.024623331775221823,-0.1082786907331573,2,0,3,global_gl_liu_no_length,11,5
