beta,blend,mean_delta_pp,wins,losses,worst_delta_pp
0.0,0.25,0.062037846397251795,16,6,-0.24087221095334677
0.0,0.5,0.09925463379777122,15,9,-0.2763438446863553
0.0,1.0,0.10784591535325332,14,10,-0.691560992032314
0.3,0.25,-0.009308745800401993,13,11,-0.15212981744423537
0.3,0.5,-0.024248811962870414,11,13,-0.35770396139602756
0.3,1.0,-0.10404612334314102,7,17,-0.8458646616541277
1.0,0.25,-0.023414973821208235,9,15,-0.19493177387912564
1.0,0.5,-0.035160323709375794,9,15,-0.35630120076309835
1.0,1.0,-0.13687095590221068,7,17,-0.9314330602625875
3.0,0.25,-0.019335241584775748,10,14,-0.20937116453684235
3.0,0.5,-0.04144473646084298,9,15,-0.3857591740545452
3.0,1.0,-0.1354054303008667,8,16,-1.0155986982381404
