cell,dataset_family,iu_auroc,iu_delta_pp,cardinality_auroc,cardinality_delta_pp,selected_auroc,selected_delta_pp,same_graph_u2_auroc,same_graph_u2_delta_pp,same_graph_cs_auroc,same_graph_cs_delta_pp,dufs_same_readout_auroc,dufs_same_readout_delta_pp,contribution_graph_auroc,contribution_graph_delta_pp,row_permuted_residual_graph_auroc,row_permuted_residual_graph_delta_pp,node_permuted_graph_auroc,node_permuted_graph_delta_pp,random_family_graph_auroc,random_family_graph_delta_pp,length_only_graph_auroc,length_only_graph_delta_pp,baseline_only_graph_auroc,baseline_only_graph_delta_pp,residual_only_graph_auroc,residual_only_graph_delta_pp,score_diffusion_auroc,score_diffusion_delta_pp
epr_triviaqa_mistral24b,triviaqa,0.7425934238581529,0.0,0.7412046908315564,-0.1388733026596478,0.7425653686454944,-0.0028055212658473216,0.7425653686454944,-0.0028055212658473216,0.7423409269442262,-0.025249691392670304,0.7429721692290427,0.0378745370889888,0.742607451464482,0.0014027606329181097,0.7425653686454944,-0.0028055212658473216,0.7425934238581529,0.0,0.7425793962518237,-0.0014027606329181097,0.7417938502973852,-0.07995735607676524,0.7425653686454944,-0.0028055212658473216,0.7425653686454944,-0.0028055212658473216,0.7425373134328358,-0.0056110425317057455
losnet_hotpotqa_mistral7b,hotpotqa,0.5721589588659075,0.0,0.5781655017072168,0.6006542841309304,0.5721410822503084,-0.0017876615599154988,0.5721410822503084,-0.0017876615599154988,0.5719801927099162,-0.017876615599132784,0.572212588712705,0.005362984679746496,0.5721947120971058,0.0035753231198309976,0.5721589588659075,0.0,0.5721589588659075,0.0,0.5721410822503084,-0.0017876615599154988,0.5717835499383257,-0.037540892758181066,0.5720516991723127,-0.01072596935948189,0.5721410822503084,-0.0017876615599154988,0.5719444394787179,-0.02145193871896378
sciq_llama8b,sciq,0.7369260567392047,0.0,0.7467243933006723,0.9798336561467558,0.7369260567392047,0.0,0.7369260567392047,0.0,0.7382932664919676,0.13672097527628324,0.7378375299077132,0.09114731685084809,0.7376096616155863,0.06836048763815272,0.7370399908852683,0.011393414606353236,0.7369260567392047,0.0,0.7370399908852683,0.011393414606353236,0.7378375299077133,0.0911473168508592,0.7371539250313319,0.022786829212717574,0.7369260567392047,0.0,0.7370399908852684,0.011393414606364338
se_nq_open_llama8b,nq_open,0.739502916412037,0.0,0.7472310517122995,0.7728135300262506,0.73947796853827,-0.0024947873767056095,0.73947796853827,-0.0024947873767056095,0.7394417214032899,-0.006119500874712802,0.7409496134058463,0.14466969938092822,0.7395637198622274,0.006080345019032762,0.7394996161327719,-0.00033002792650949075,0.7395095169705673,0.0006600558530300837,0.7394805975742947,-0.00223188377422856,0.7387706459737292,-0.07322704383078138,0.7395227180876279,0.0019801675590902512,0.73947796853827,-0.0024947873767056095,0.7395012383039361,-0.000167810810092206
se_squad_v2_llama8b,squad_v2,0.812104509828818,0.0,0.8139848556554661,0.18803458266480888,0.8121391386654047,0.003462883658666982,0.8121391386654047,0.003462883658666982,0.8122707282444335,0.016621841561548223,0.8114656077937967,-0.06389020350212604,0.8119198227003567,-0.018468712846131385,0.8121091270070296,0.00046171782116521953,0.8120762296122725,-0.0028280216545439885,0.8121645331455681,0.006002331675014627,0.8124565696674477,0.03520598386297369,0.812121247099835,0.0016737271017031041,0.8121391386654047,0.003462883658666982,0.8118655708563711,-0.023893897244686713
seiclr_triviaqa_opt30b,triviaqa,0.8266982889919704,0.0,0.8253155961449898,-0.138269284698056,0.8267383274288699,0.004003843689948106,0.8267383274288699,0.004003843689948106,0.8263245969142425,-0.03736920777278607,0.8262445200404436,-0.045376895152682284,0.8264887705852237,-0.0209518406746656,0.8267058464479313,0.0007557455960927051,0.8266958770379405,-0.0002411954029946095,0.8266309150760633,-0.0067373915907054105,0.8267360762717751,0.0037787279804746277,0.8266931434900395,-0.0005145501930869933,0.8267383274288699,0.004003843689948106,0.8267122783253449,0.0013989333374486712
semenergy_triviaqa_qwen3_8b,triviaqa,0.8072191008667475,0.0,0.8086343093076243,0.14152084408767251,0.8071031410561735,-0.011595981057399563,0.8071031410561735,-0.011595981057399563,0.8067883039360667,-0.043079693068082126,0.8076469884115003,0.04278875447527586,0.8070944128983885,-0.012468796835907181,0.807194578899637,-0.0024521967110557874,0.8072191008667476,1.1102230246251565e-14,0.807071345624242,-0.014775524250554284,0.8067382209354423,-0.048087993130518925,0.8072558838174135,0.0036782950666003345,0.8071031410561735,-0.011595981057399563,0.8071023098030512,-0.011679106369633097
truthfulqa_llama8b,truthfulqa,0.6631464677130233,0.0,0.6629982958423479,-0.014817187067539539,0.6632270746597843,0.00806069467609305,0.6632270746597843,0.00806069467609305,0.6650464368469027,0.18999691338793534,0.6626381911004136,-0.05082766126097704,0.6631948318810799,0.004836416805653609,0.6631511773323847,0.00047096193613871407,0.6631524453068282,0.0005977593804828985,0.6632113155488446,0.006484783582128006,0.6636223204077225,0.04758526946991859,0.6631522641676219,0.0005796454598527845,0.6632270746597843,0.00806069467609305,0.663096654431317,-0.004981328170627908
ars_gsm8k_r1distill8b,gsm8k,0.7589689722042663,0.0,0.7641604718810602,0.5191499676793887,0.7589487718164188,-0.00202003878474466,0.7589487718164188,-0.00202003878474466,0.7586255656108598,-0.034340659340648116,0.7585447640594699,-0.04242081447963786,0.7588275694893342,-0.01414027149321262,0.7589487718164188,-0.00202003878474466,0.7589891725921137,0.00202003878474466,0.7589487718164188,-0.00202003878474466,0.759312378797673,0.03434065934067032,0.7590093729799612,0.00404007756948932,0.7589487718164188,-0.00202003878474466,0.7591305753070459,0.01616031027795728
internalstates_gsm8k_qwen25_7b,gsm8k,0.7131294444123258,0.0,0.717484727602089,0.4355283189763193,0.7131294444123258,0.0,0.7131294444123258,0.0,0.7129174616022046,-0.02119828101212473,0.7124356824882927,-0.06937619240331427,0.7127054787920835,-0.04239656202423836,0.7130523597541,-0.007708465822586774,0.7130716309186564,-0.005781349366940081,0.7130909020832129,-0.003854232911293387,0.7136497658553506,0.05203214430247183,0.7130330885895434,-0.00963558227824457,0.7131294444123258,0.0,0.7128403769439786,-0.028906746834722608
