cell,dataset_family,iu_auroc,iu_delta_pp,cardinality_auroc,cardinality_delta_pp,selected_auroc,selected_delta_pp,same_graph_u2_auroc,same_graph_u2_delta_pp,same_graph_cs_auroc,same_graph_cs_delta_pp,dufs_same_readout_auroc,dufs_same_readout_delta_pp,contribution_graph_auroc,contribution_graph_delta_pp,row_permuted_residual_graph_auroc,row_permuted_residual_graph_delta_pp,node_permuted_graph_auroc,node_permuted_graph_delta_pp,random_family_graph_auroc,random_family_graph_delta_pp,length_only_graph_auroc,length_only_graph_delta_pp,baseline_only_graph_auroc,baseline_only_graph_delta_pp,residual_only_graph_auroc,residual_only_graph_delta_pp,score_diffusion_auroc,score_diffusion_delta_pp,mutual_graph_auroc,mutual_graph_delta_pp
epr_triviaqa_mistral24b,triviaqa,0.7425934238581529,0.0,0.7412046908315564,-0.1388733026596478,0.7425793962518237,-0.0014027606329181097,0.7425793962518237,-0.0014027606329181097,0.7421866232746044,-0.040680058354847226,0.7430423072606891,0.04488834025362376,0.742607451464482,0.0014027606329181097,0.7425232858265065,-0.0070138031646349575,0.742607451464482,0.0014027606329181097,0.7426214790708114,0.002805521265858424,0.7417938502973852,-0.07995735607676524,0.7426214790708114,0.002805521265858424,0.7425793962518237,-0.0014027606329181097,0.7426355066771406,0.004208281898776534,0.7425653686454944,-0.0028055212658473216
losnet_hotpotqa_mistral7b,hotpotqa,0.5721589588659075,0.0,0.5781655017072168,0.6006542841309304,0.5721410822503084,-0.0017876615599154988,0.5721410822503084,-0.0017876615599154988,0.5721410822503084,-0.0017876615599154988,0.5722483419439033,0.008938307799577494,0.57210532901911,-0.005362984679746496,0.5721589588659075,0.0,0.5721589588659075,0.0,0.5721768354815067,0.0017876615599154988,0.5717656733227265,-0.039328554318096565,0.572087452403511,-0.007150646239650893,0.5721410822503084,-0.0017876615599154988,0.5718014265539249,-0.03575323119826557,0.572087452403511,-0.007150646239650893
sciq_llama8b,sciq,0.7369260567392047,0.0,0.7467243933006723,0.9798336561467558,0.7369260567392047,0.0,0.7369260567392047,0.0,0.7382932664919677,0.13672097527629434,0.7378375299077132,0.09114731685084809,0.7374957274695226,0.056967073031788384,0.7369260567392047,0.0,0.7370399908852683,0.011393414606353236,0.7371539250313319,0.022786829212717574,0.737951464053777,0.10254073145722353,0.7369260567392047,0.0,0.7369260567392047,0.0,0.7362424518628232,-0.06836048763815272,0.7370399908852683,0.011393414606353236
se_nq_open_llama8b,nq_open,0.739502916412037,0.0,0.7472310517122995,0.7728135300262506,0.7394756191869287,-0.002729722510830257,0.7394756191869287,-0.002729722510830257,0.7393541241604215,-0.014879225161557041,0.7408485912981705,0.13456748861334633,0.7394582227996157,-0.004469361242132042,0.7394986092679114,-0.000430714412558153,0.7395091813489472,0.000626493691013863,0.739481101006725,-0.002181540531198678,0.7389520494594395,-0.05508669525975396,0.7395427435109657,0.003982709892869085,0.7394756191869287,-0.002729722510830257,0.7394665014662469,-0.003641494579009752,0.739441329844733,-0.006158656730403944
se_squad_v2_llama8b,squad_v2,0.812104509828818,0.0,0.8139848556554661,0.18803458266480888,0.8121102813015826,0.0005771472764593,0.8121102813015826,0.0005771472764593,0.8123757690487459,0.027125921992787738,0.8114679163829026,-0.06365934459153788,0.8121039326815417,-5.7714727630386875e-05,0.8121091270070296,0.00046171782116521953,0.8120762296122725,-0.0028280216545439885,0.812180116122032,0.007560629321401446,0.8125281359297264,0.0423626100908403,0.8121183613634527,0.0013851534634734541,0.8121102813015826,0.0005771472764593,0.8119619544515368,-0.014255537728113943,0.8121183613634527,0.0013851534634734541
seiclr_triviaqa_opt30b,triviaqa,0.8266982889919704,0.0,0.8253155961449898,-0.138269284698056,0.8268073093141304,0.010902032215998059,0.8268073093141304,0.010902032215998059,0.8265212515661622,-0.017703742580821302,0.826340033420035,-0.035825557193536195,0.826545371106463,-0.01529178855074198,0.8267040776816427,0.0005788689672270309,0.8267069720264787,0.000868303450829444,0.8267000577582593,0.0001768766288878787,0.8267884960726956,0.00902070807251576,0.8266926610992336,-0.0005627892736836948,0.8268073093141304,0.010902032215998059,0.8267540855285331,0.005579653656273553,0.8267185494058231,0.0020260413852724035
semenergy_triviaqa_qwen3_8b,triviaqa,0.8072191008667475,0.0,0.8086343093076243,0.14152084408767251,0.8071106223342751,-0.010847853247242245,0.8071106223342751,-0.010847853247242245,0.8069624514652083,-0.025664940153924398,0.8073269559593783,0.010785509263078197,0.807114778599887,-0.01043222668605237,0.8071958257793206,-0.002327508742694384,0.8072191008667476,1.1102230246251565e-14,0.8068209306211207,-0.03981702456268277,0.8068190603015952,-0.040004056515230424,0.8071789929035922,-0.004010796315534471,0.8071106223342751,-0.010847853247242245,0.8070233407564238,-0.01957601103237394,0.8072808214110854,0.006172054433783991
truthfulqa_llama8b,truthfulqa,0.6631464677130233,0.0,0.6629982958423479,-0.014817187067539539,0.6632131269409066,0.006665922788329226,0.6632131269409066,0.006665922788329226,0.6648374022029426,0.16909344899193046,0.6626773171689536,-0.046915054406970746,0.6632067870686895,0.006031935566619406,0.6631551623949212,0.000869468189790279,0.6631542566988902,0.000778898586684118,0.663208055043133,0.006158733010963591,0.6634556723380145,0.03092046249911773,0.6631531698636529,0.0006702150629589454,0.6632131269409066,0.006665922788329226,0.6630803519027586,-0.006611581026472191,0.6632305163047022,0.00840485916788758
ars_gsm8k_r1distill8b,gsm8k,0.7589689722042663,0.0,0.7641604718810602,0.5191499676793887,0.7590093729799612,0.00404007756948932,0.7590093729799612,0.00404007756948932,0.7588679702650291,-0.0101001939237233,0.75854476405947,-0.042420814479626756,0.7588477698771816,-0.01212023270846796,0.7588881706528765,-0.00808015513897864,0.7589285714285714,-0.00404007756948932,0.7589891725921137,0.00202003878474466,0.7592921784098254,0.03232062055591456,0.7589689722042663,0.0,0.7590093729799612,0.00404007756948932,0.7594335811247576,0.04646089204912718,0.7588881706528765,-0.00808015513897864
internalstates_gsm8k_qwen25_7b,gsm8k,0.7131294444123258,0.0,0.717484727602089,0.4355283189763193,0.7130523597541,-0.007708465822586774,0.7130523597541,-0.007708465822586774,0.7129945462604306,-0.013489815189526855,0.7124164113237362,-0.07130330885896097,0.7127054787920835,-0.04239656202423836,0.7130523597541,-0.007708465822586774,0.7130716309186563,-0.005781349366951183,0.7130716309186564,-0.005781349366940081,0.7136304946907941,0.050105027846825134,0.7131294444123258,0.0,0.7130523597541,-0.007708465822586774,0.7132065290705517,0.007708465822586774,0.7131101732477694,-0.0019271164556466935
