feature_pair,mean_abs_rho,n_cells
hl_ratio|spectral_centroid,0.8802,29
high_band_power|hl_ratio,0.8389,29
trace_length|spectral_entropy,0.8384,28
low_band_power|hl_ratio,0.7650,29
high_band_power|spectral_centroid,0.7550,29
low_band_power|spectral_centroid,0.7308,29
trace_length|cusum_max,0.6785,28
epr|sw_var_peak,0.6331,29
low_band_power|cusum_max,0.6155,29
stft_max_high_power|stft_spectral_entropy,0.5830,29
dominant_freq|spectral_centroid,0.5634,29
trace_length|stft_max_high_power,0.5607,28
spectral_entropy|cusum_max,0.5545,29
trace_length|stft_spectral_entropy,0.5497,28
epr|pe_mean,0.5458,29
spectral_entropy|stft_max_high_power,0.5391,29
low_band_power|hurst_exponent,0.5368,29
dominant_freq|cusum_max,0.5356,29
spectral_centroid|cusum_max,0.5304,29
sw_var_peak|cusum_max,0.5248,29
epr|cusum_max,0.5050,29
low_band_power|dominant_freq,0.4941,29
spectral_entropy|stft_spectral_entropy,0.4923,29
hurst_exponent|cusum_max,0.4891,29
hl_ratio|dominant_freq,0.4831,29
hl_ratio|cusum_max,0.4760,29
dominant_freq|hurst_exponent,0.4564,29
trace_length|dominant_freq,0.4315,28
stft_spectral_entropy|cusum_max,0.4201,29
low_band_power|high_band_power,0.4118,29
spectral_centroid|hurst_exponent,0.4106,29
trace_length|low_band_power,0.3986,28
stft_max_high_power|cusum_max,0.3946,29
hl_ratio|hurst_exponent,0.3902,29
low_band_power|stft_spectral_entropy,0.3772,29
trace_length|spectral_centroid,0.3653,28
spectral_centroid|stft_spectral_entropy,0.3486,29
spectral_entropy|low_band_power,0.3341,29
high_band_power|dominant_freq,0.3318,29
trace_length|hl_ratio,0.3283,28
trace_length|sw_var_peak,0.3260,28
sw_var_peak|pe_mean,0.3223,29
hl_ratio|stft_spectral_entropy,0.3217,29
epr|stft_spectral_entropy,0.3211,29
epr|trace_length,0.3210,28
stft_spectral_entropy|hurst_exponent,0.3157,29
spectral_entropy|dominant_freq,0.3075,29
stft_spectral_entropy|pe_mean,0.3004,29
high_band_power|cusum_max,0.2980,29
spectral_entropy|sw_var_peak,0.2916,29
rpdi|cusum_max,0.2875,29
spectral_entropy|hurst_exponent,0.2854,29
stft_spectral_entropy|sw_var_peak,0.2729,29
epr|stft_max_high_power,0.2729,29
epr|spectral_entropy,0.2697,29
low_band_power|sw_var_peak,0.2689,29
epr|low_band_power,0.2609,29
stft_max_high_power|sw_var_peak,0.2587,29
rpdi|cusum_shift_idx,0.2564,29
spectral_entropy|spectral_centroid,0.2562,29
high_band_power|stft_spectral_entropy,0.2506,29
spectral_entropy|rpdi,0.2491,29
trace_length|hurst_exponent,0.2483,28
trace_length|rpdi,0.2478,28
stft_spectral_entropy|rpdi,0.2469,29
spectral_entropy|hl_ratio,0.2462,29
epr|rpdi,0.2460,29
dominant_freq|stft_spectral_entropy,0.2386,29
high_band_power|hurst_exponent,0.2366,29
pe_mean|cusum_max,0.2340,29
epr|dominant_freq,0.2335,29
hl_ratio|sw_var_peak,0.2231,29
spectral_centroid|sw_var_peak,0.2193,29
epr|spectral_centroid,0.2187,29
low_band_power|rpdi,0.2165,29
trace_length|pe_mean,0.2087,28
trace_length|high_band_power,0.2064,28
spectral_centroid|rpdi,0.2050,29
epr|hl_ratio,0.2028,29
hl_ratio|rpdi,0.2015,29
low_band_power|stft_max_high_power,0.2004,29
high_band_power|stft_max_high_power,0.2001,29
epr|cusum_shift_idx,0.1997,29
dominant_freq|sw_var_peak,0.1976,29
stft_max_high_power|pe_mean,0.1976,29
pe_mean|hurst_exponent,0.1971,29
spectral_entropy|high_band_power,0.1946,29
rpdi|hurst_exponent,0.1945,29
high_band_power|sw_var_peak,0.1918,29
dominant_freq|stft_max_high_power,0.1872,29
epr|hurst_exponent,0.1856,29
stft_spectral_entropy|cusum_shift_idx,0.1828,29
rpdi|sw_var_peak,0.1821,29
epr|high_band_power,0.1794,29
hl_ratio|stft_max_high_power,0.1792,29
high_band_power|rpdi,0.1789,29
dominant_freq|rpdi,0.1772,29
low_band_power|pe_mean,0.1751,29
spectral_entropy|pe_mean,0.1742,29
spectral_centroid|pe_mean,0.1742,29
dominant_freq|pe_mean,0.1721,29
trace_length|cusum_shift_idx,0.1711,28
hl_ratio|pe_mean,0.1674,29
spectral_centroid|stft_max_high_power,0.1665,29
rpdi|pe_mean,0.1663,29
cusum_max|cusum_shift_idx,0.1611,29
pe_mean|cusum_shift_idx,0.1600,29
low_band_power|cusum_shift_idx,0.1547,29
stft_max_high_power|rpdi,0.1540,29
stft_max_high_power|cusum_shift_idx,0.1490,29
sw_var_peak|cusum_shift_idx,0.1487,29
spectral_entropy|cusum_shift_idx,0.1356,29
sw_var_peak|hurst_exponent,0.1335,29
high_band_power|pe_mean,0.1323,29
spectral_centroid|cusum_shift_idx,0.1318,29
stft_max_high_power|hurst_exponent,0.1306,29
hl_ratio|cusum_shift_idx,0.1273,29
hurst_exponent|cusum_shift_idx,0.1255,29
dominant_freq|cusum_shift_idx,0.1156,29
high_band_power|cusum_shift_idx,0.1140,29
