cell,family,domain,method,arm,phase,selector,variant,n,n_pool,n_selected,n_kept,auroc,random_mean_auroc,delta_vs_matched_random_pp,random_percentile,random_repeats_completed,orientation_failure,selector_fallback,fit_residual,decomposition_converged,theorem_support_ok,nnz_pairs,sparse_fraction,mean_abs_spearman,max_abs_spearman,effective_rank,effective_rank_fraction
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,full,baseline,full,full,500,26,26,18,0.7391725921137686,0.7391725921137686,0.0,50.0,32,False,False,0.12622611580620144,,,,,0.30565036732896883,1.0,7.916754619551542,0.3044905622904439
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,full,baseline,full,full,500,26,26,26,0.7575953458306399,0.7575953458306399,0.0,50.0,32,False,False,0.3500064257772454,,,,,0.30565036732896883,1.0,7.916754619551542,0.3044905622904439
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,full,baseline,full,full,500,26,26,26,0.7553935035552681,0.7553935035552681,0.0,50.0,32,False,False,0.31113063003798314,True,True,6,0.018461538461538463,0.30565036732896883,1.0,7.916754619551542,0.3044905622904439
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,dufs_native,native,dufs,a2.dufs_pf,500,26,13,11,0.6803490627020039,0.7152597517372334,-3.4910689035229536,18.75,32,False,False,0.12035794453280632,,,,,0.561698518568138,1.0,2.9009764106575355,0.2231520315890412
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,dufs_native,native,dufs,a2.dufs_pf,500,26,13,13,0.7090336134453781,0.7457945317550096,-3.6760918309631574,0.0,32,False,False,0.11572565289732811,,,,,0.561698518568138,1.0,2.9009764106575355,0.2231520315890412
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,dufs_native,native,dufs,a2.dufs_pf,500,26,13,13,0.7462629282482224,0.7085437540400776,3.7719174208144746,75.0,32,False,False,0.47546898356260603,True,False,29,0.3717948717948718,0.561698518568138,1.0,2.9009764106575355,0.2231520315890412
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,groupfs_native,native,groupfs,a2.select,500,26,9,9,0.7008120555914673,0.6980244020685197,0.27876535229476307,50.0,32,False,False,0.049033802620224685,,,,,0.9015180007386695,1.0,1.4582477852709754,0.16202753169677506
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,groupfs_native,native,groupfs,a2.select,500,26,9,9,0.695640756302521,0.7342026654411765,-3.8561909138655537,15.625,32,False,False,0.049033802620224685,,,,,0.9015180007386695,1.0,1.4582477852709754,0.16202753169677506
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,groupfs_native,native,groupfs,a2.select,500,26,9,9,0.6956205559146735,0.6818489414996769,1.3771614414996636,31.25,32,False,False,0.049684256783937994,True,True,0,0.0,0.9015180007386695,1.0,1.4582477852709754,0.16202753169677506
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,lapscore_native,native,lapscore,lapscore_adapt,500,26,7,7,0.6933985132514544,0.7085065095749838,-1.5107996323529438,21.875,32,False,False,0.02444832322470473,,,,,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,lapscore_native,native,lapscore,lapscore_adapt,500,26,7,7,0.6933177117000646,0.715245232708468,-2.192752100840334,25.0,32,False,False,0.02444832322470473,,,,,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,lapscore_native,native,lapscore,lapscore_adapt,500,26,7,7,0.6933379120879122,0.7178163633241759,-2.4478451236263687,18.75,32,False,False,0.024454725339435976,True,True,0,0.0,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,spec_native,native,spec,spec_adapt,500,26,7,7,0.6933985132514544,0.7085065095749838,-1.5107996323529438,21.875,32,False,False,0.02444832322470473,,,,,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,spec_native,native,spec,spec_adapt,500,26,7,7,0.6933177117000646,0.715245232708468,-2.192752100840334,25.0,32,False,False,0.02444832322470473,,,,,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,spec_native,native,spec,spec_adapt,500,26,7,7,0.6933379120879122,0.7178163633241759,-2.4478451236263687,18.75,32,False,False,0.024454725339435976,True,True,0,0.0,0.9597392903857328,1.0,1.18617335740935,0.16945333677276428
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,mcfs_native,native,mcfs,mcfs_adapt,500,26,3,3,0.6634211376858437,0.7051431449983839,-4.172200731254028,15.625,32,False,False,0.4142403333037535,,,,,0.4429687158748634,0.892445681782727,2.146531522433644,0.7155105074778813
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,mcfs_native,native,mcfs,mcfs_adapt,500,26,3,3,0.501717032967033,0.6531675470669037,-15.145051409987076,0.0,32,False,False,0.4142403333037535,,,,,0.4429687158748634,0.892445681782727,2.146531522433644,0.7155105074778813
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,mcfs_native,native,mcfs,mcfs_adapt,500,26,3,3,0.6952165481577246,0.6486369788299935,4.657956932773111,56.25,32,False,False,0.308033584751806,True,False,1,0.3333333333333333,0.4429687158748634,0.892445681782727,2.146531522433644,0.7155105074778813
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,cae_native,native,cae,a3.cae,500,26,4,3,0.6957619586296057,0.7034646190206852,-0.7702660391079585,21.875,32,False,False,0.33233954190891374,,,,,0.23253968215872864,0.49858279433117736,3.5220935886974103,0.8805233971743526
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,cae_native,native,cae,a3.cae,500,26,4,4,0.7179621848739495,0.6784811580882353,3.948102678571419,75.0,32,False,False,0.34550990415871685,,,,,0.23253968215872864,0.49858279433117736,3.5220935886974103,0.8805233971743526
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,cae_native,native,cae,a3.cae,500,26,4,4,0.7274159663865547,0.6792784421460891,4.813752424046558,65.625,32,False,False,0.39187509407352356,True,False,3,0.5,0.23253968215872864,0.49858279433117736,3.5220935886974103,0.8805233971743526
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,lscae_native,native,lscae,lscae,500,26,8,8,0.6969335811247576,0.7069491859243697,-1.0015604799612166,40.625,32,False,False,0.03322014599493842,,,,,0.9338712874851497,1.0,1.3088683711513005,0.16360854639391256
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,lscae_native,native,lscae,lscae,500,26,8,8,0.6872171945701357,0.7219523927359406,-3.4735198165804837,15.625,32,False,False,0.03322014599493842,,,,,0.9338712874851497,1.0,1.3088683711513005,0.16360854639391256
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,lscae_native,native,lscae,lscae,500,26,8,8,0.6872373949579832,0.7150924672753718,-2.7855072317388596,21.875,32,False,False,0.03325647629597604,True,True,0,0.0,0.9338712874851497,1.0,1.3088683711513005,0.16360854639391256
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,dpp_native,native,dpp,dpp,500,26,19,15,0.7550096961861668,0.7251610980930834,2.984859809308338,93.75,32,False,False,0.0784502970711518,,,,,0.2553995322206434,0.9427212380397889,9.448697976428427,0.497299893496233
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,dpp_native,native,dpp,dpp,500,26,19,19,0.7631504524886878,0.7541846365950227,0.8965815893665185,81.25,32,False,False,0.08259018507991397,,,,,0.2553995322206434,0.9427212380397889,9.448697976428427,0.497299893496233
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,dpp_native,native,dpp,dpp,500,26,19,19,0.7643018745959922,0.7269797642614738,3.7322110334518377,87.5,32,False,False,0.1561774304604278,True,True,8,0.04678362573099415,0.2553995322206434,0.9427212380397889,9.448697976428427,0.497299893496233
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,dpp_ridge_native,native,dpp,dpp.ridge,500,26,20,16,0.7616354234001292,0.7295477385665805,3.2087684833548735,100.0,32,False,False,0.29405010141268456,,,,,0.26256203472395984,0.9427212380397889,9.207609755821274,0.46038048779106366
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,dpp_ridge_native,native,dpp,dpp.ridge,500,26,20,20,0.7668471234647706,0.7508376848335487,1.600943863122184,96.875,32,False,False,0.2963070060170148,,,,,0.26256203472395984,0.9427212380397889,9.207609755821274,0.46038048779106366
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,dpp_ridge_native,native,dpp,dpp.ridge,500,26,20,20,0.7670693277310925,0.7324685883968972,3.4600739334195274,100.0,32,False,False,0.27379909624994303,True,True,5,0.02631578947368421,0.26256203472395984,0.9427212380397889,9.207609755821274,0.46038048779106366
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,dufs_k6,fixed_k6,dufs,a2.dufs_pf_top6,500,26,6,6,0.6945701357466063,0.7114191529977376,-1.6849017251131304,28.125,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,dufs_k6,fixed_k6,dufs,a2.dufs_pf_top6,500,26,6,6,0.6896816418875243,0.7142863455478345,-2.46047036603102,25.0,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,dufs_k6,fixed_k6,dufs,a2.dufs_pf_top6,500,26,6,6,0.6896816418875242,0.7090948458710407,-1.9413203983516425,21.875,32,False,False,0.015910089122717606,True,True,0,0.0,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,lapscore_k6,fixed_k6,lapscore,lapscore_s6,500,26,6,6,0.6945701357466063,0.7114191529977376,-1.6849017251131304,28.125,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,lapscore_k6,fixed_k6,lapscore,lapscore_s6,500,26,6,6,0.6896816418875243,0.7142863455478345,-2.46047036603102,25.0,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,lapscore_k6,fixed_k6,lapscore,lapscore_s6,500,26,6,6,0.6896816418875242,0.7090948458710407,-1.9413203983516425,21.875,32,False,False,0.015910089122717606,True,True,0,0.0,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,spec_k6,fixed_k6,spec,spec_s6,500,26,6,6,0.6945701357466063,0.7114191529977376,-1.6849017251131304,28.125,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,spec_k6,fixed_k6,spec,spec_s6,500,26,6,6,0.6896816418875243,0.7142863455478345,-2.46047036603102,25.0,32,False,False,0.015887116078309328,,,,,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,spec_k6,fixed_k6,spec,spec_s6,500,26,6,6,0.6896816418875242,0.7090948458710407,-1.9413203983516425,21.875,32,False,False,0.015910089122717606,True,True,0,0.0,0.9757157748630993,1.0,1.0906319900373558,0.1817719983395593
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,mcfs_k6,fixed_k6,mcfs,mcfs_s6,500,26,6,4,0.6995798319327732,0.7114191529977376,-1.1839321064964436,34.375,32,False,False,0.1405297978316273,,,,,0.37051453805815215,0.9069510518042071,3.3858015260581684,0.5643002543430281
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,mcfs_k6,fixed_k6,mcfs,mcfs_s6,500,26,6,6,0.7198004201680672,0.7142863455478345,0.5514074620232678,50.0,32,False,False,0.7023575773382598,,,,,0.37051453805815215,0.9069510518042071,3.3858015260581684,0.5643002543430281
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,mcfs_k6,fixed_k6,mcfs,mcfs_s6,500,26,6,6,0.514786683904331,0.7090948458710407,-19.430816196670964,0.0,32,False,False,0.8535212495989357,True,False,5,0.3333333333333333,0.37051453805815215,0.9069510518042071,3.3858015260581684,0.5643002543430281
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,cae_k6,fixed_k6,cae,a3.cae_k6,500,26,6,5,0.7507272139625081,0.7114191529977376,3.9308060964770464,90.625,32,False,False,0.25583411105623927,,,,,0.23962845291381166,0.49858279433117736,4.939417578541786,0.8232362630902976
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,cae_k6,fixed_k6,cae,a3.cae_k6,500,26,6,6,0.7586861667744021,0.7142863455478345,4.43998212265676,84.375,32,False,False,0.16276174356141723,,,,,0.23962845291381166,0.49858279433117736,4.939417578541786,0.8232362630902976
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,cae_k6,fixed_k6,cae,a3.cae_k6,500,26,6,6,0.7432328700711054,0.7090948458710407,3.413802420006473,81.25,32,False,False,0.3125204025730241,True,False,4,0.26666666666666666,0.23962845291381166,0.49858279433117736,4.939417578541786,0.8232362630902976
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,lscae_k6,fixed_k6,lscae,lscae.k6,500,26,6,6,0.6978223981900453,0.7114191529977376,-1.359675480769229,34.375,32,False,False,0.03442968856858768,,,,,0.9217561798247192,0.9998461113844453,1.3507246676728943,0.22512077794548238
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,lscae_k6,fixed_k6,lscae,lscae.k6,500,26,6,6,0.6896210407239819,0.7142863455478345,-2.466530482385265,25.0,32,False,False,0.03442968856858768,,,,,0.9217561798247192,0.9998461113844453,1.3507246676728943,0.22512077794548238
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,lscae_k6,fixed_k6,lscae,lscae.k6,500,26,6,6,0.6896008403361344,0.7090948458710407,-1.9494005534906211,21.875,32,False,False,0.03450848923119297,True,True,0,0.0,0.9217561798247192,0.9998461113844453,1.3507246676728943,0.22512077794548238
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,dpp_k6,fixed_k6,dpp,dpp.k6,500,26,6,4,0.7349305106658048,0.7114191529977376,2.3511357668067223,62.5,32,False,False,0.039195490716710045,,,,,0.15039303911193352,0.48618235841035495,5.742339929035168,0.9570566548391947
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,dpp_k6,fixed_k6,dpp,dpp.k6,500,26,6,6,0.7417784421460892,0.7142863455478345,2.749209659825469,78.125,32,False,False,0.5840607297429206,,,,,0.15039303911193352,0.48618235841035495,5.742339929035168,0.9570566548391947
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,dpp_k6,fixed_k6,dpp,dpp.k6,500,26,6,6,0.7384049773755657,0.7090948458710407,2.9310131504524994,75.0,32,False,False,0.8461832766755789,True,False,6,0.4,0.15039303911193352,0.48618235841035495,5.742339929035168,0.9570566548391947
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,500,26,6,3,0.6954387524240465,0.7114191529977376,-1.59804005736911,31.25,32,False,False,0.08255989215436929,,,,,0.11347725446341168,0.239078503391348,5.795316154500684,0.965886025750114
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,500,26,6,6,0.6892978345184229,0.7142863455478345,-2.4988511029411686,25.0,32,False,False,0.9851071085872559,,,,,0.11347725446341168,0.239078503391348,5.795316154500684,0.965886025750114
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,decorr_k6,fixed_k6,decorrelation,decorr_s6,500,26,6,6,0.42901583710407243,0.7090948458710407,-28.007900876696823,0.0,32,True,False,0.7077945514391653,True,False,10,0.6666666666666666,0.11347725446341168,0.239078503391348,5.795316154500684,0.965886025750114
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,upcrres_native,method_specific,upcr_residual,a1.upcrres_greedy,500,26,3,3,0.5758524563671622,0.7051431449983839,-12.929068863122172,6.25,32,False,False,0.01883766443378219,,,,,0.18786833714373286,0.239078503391348,2.9163676164723222,0.9721225388241074
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,full,baseline,full,full,621,25,25,21,0.7461424082594547,0.7461424082594547,0.0,50.0,32,False,False,0.0740881381130964,,,,,0.4853430172930221,0.9983367632299053,6.307941718401207,0.2523176687360483
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,full,baseline,full,full,621,25,25,25,0.7444310402872854,0.7444310402872854,0.0,50.0,32,False,False,0.0813955228650538,,,,,0.4853430172930221,0.9983367632299053,6.307941718401207,0.2523176687360483
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,full,baseline,full,full,621,25,25,25,0.7445152059252609,0.7445152059252609,0.0,50.0,32,False,False,0.09296254411410314,True,True,0,0.0,0.4853430172930221,0.9983367632299053,6.307941718401207,0.2523176687360483
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,dufs_native,native,dufs,a2.dufs_pf,621,25,20,18,0.7466053192683201,0.7450728032768489,0.1532515991471195,81.25,32,False,False,0.0632354979063894,,,,,0.5940774993110404,0.9983367632299053,4.340465432147322,0.21702327160736612
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,dufs_native,native,dufs,a2.dufs_pf,621,25,20,20,0.7464510155986983,0.7419950587756705,0.44559568230277957,90.625,32,False,False,0.12091207707771641,,,,,0.5940774993110404,0.9983367632299053,4.340465432147322,0.21702327160736612
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,dufs_native,native,dufs,a2.dufs_pf,621,25,20,20,0.7464510155986983,0.7160803711704635,3.0370644428234783,93.75,32,False,False,0.12328612044774091,True,True,0,0.0,0.5940774993110404,0.9983367632299053,4.340465432147322,0.21702327160736612
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,groupfs_native,native,groupfs,a2.select,621,25,18,17,0.7459179665581867,0.743957608573673,0.1960357984513661,71.875,32,False,False,0.05926132035163909,,,,,0.6741613399270889,0.9983367632299053,3.3432389462995142,0.1857354970166397
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,groupfs_native,native,groupfs,a2.select,621,25,18,18,0.7466053192683201,0.7413572410503873,0.5248078217932828,71.875,32,False,False,0.0632354979063894,,,,,0.6741613399270889,0.9983367632299053,3.3432389462995142,0.1857354970166397
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,groupfs_native,native,groupfs,a2.select,621,25,18,18,0.7465772640556615,0.724748555156548,2.182870889911348,81.25,32,False,False,0.0637999201492086,True,True,0,0.0,0.6741613399270889,0.9983367632299053,3.3432389462995142,0.1857354970166397
