method,pb_all8,pb_raw_exact,prm_within,prm_fold_auc,prm_pooled_oof_descriptive,prmscore_q08
answer_z__local_shrink_pooled,0.3726058163703265,0.33093201260693383,0.7456668531215586,0.670549238655326,0.670486364581801,0.5870135915826735
answer_z__local_iu,0.3724062759087572,0.33093201260693383,0.7457031363877792,0.671593083352304,0.6715259890744746,0.5870013581043353
raw__external_iu_static,0.3720794020616791,0.33115713642503375,0.7461551997810822,0.7173137444950257,0.7168156034473209,0.6292192204863141
scale_only__external_iu_static,0.3720661500168874,0.3302566411526339,0.7463533528353627,0.7156642217895499,0.7153043774516092,0.6301316800945835
answer_z__external_iu_static,0.3718650218319501,0.3302566411526339,0.7462790293072114,0.6750347204684816,0.6749439423675815,0.589507326930077
answer_z__equal,0.37105652309179527,0.32935614588023415,0.7466016580967767,0.6752403562415574,0.6751532362177817,0.5898832827876952
scale_only__equal,0.37105652309179527,0.32935614588023415,0.7466016580967767,0.7160255805405147,0.7157075660877649,0.6300928374351884
raw__equal,0.3687590247907766,0.3266546600630347,0.7511151033886677,0.7218148375737513,0.7214074032376876,0.6348045135016531
scale_only__local_shrink_pooled,0.3664606771124571,0.3183250787933363,0.7494877886812932,0.6339671720135025,0.6334180321274584,0.5505898849725268
scale_only__local_shrink_position_scale_only,0.36545676361490126,0.31787483115713644,0.751606352838016,0.6473698718418989,0.6468081555808708,0.556445045341653
answer_z__local_shrink_position,0.3644280639920714,0.32733003151733453,0.7473812068499324,0.6716459789185562,0.6715819593998661,0.5874096999153982
scale_only__local_iu,0.36388264695185535,0.3169743358847366,0.751130945838415,0.6509264017517965,0.6503608469329956,0.5599941620460219
answer_z__local_shrink_position_scale_only,0.3613871687734703,0.3235029266096353,0.7463253042985465,0.6726209542884437,0.6725577385765191,0.5882154981438852
scale_only__local_shrink_position,0.36089543241125854,0.3131472309770374,0.7481607053128443,0.6334028171085634,0.6328505936867519,0.5501772518113777
raw__external_iu_position,0.36046677880553324,0.3169743358847366,0.7291730886751365,0.697126830117603,0.6966926088355466,0.6164602400769439
scale_only__external_iu_position,0.3573765258705939,0.31787483115713644,0.7329387175717474,0.697047954452892,0.6967593431181044,0.6161864175251125
answer_z__external_iu_position,0.3508112826519306,0.31269698334083745,0.7394845635108326,0.6636638967913484,0.6636023879944061,0.5836829945151322
raw__local_iu,0.3281650097711162,0.2728500675371454,0.6816980873342435,0.5196378390249554,0.5197229961302879,0.5067047880923886
raw__local_shrink_pooled,0.32069691960597285,0.2638451148131472,0.6645221589337774,0.5176765409036278,0.5177643462508081,0.506925858842865
raw__local_shrink_position,0.3102121684532455,0.25393966681674923,0.6756656109478709,0.5220503001834287,0.5220971523960699,0.5098536585850859
raw__local_shrink_position_scale_only,0.30866815438058587,0.2534894191805493,0.6958508444944363,0.5343139158692589,0.5343080295463043,0.513834439618377
