family,method,delta_vs_global_lr
triviaqa,iu_pcr,-0.003352064295178786
hotpotqa,iu_pcr,0.013136190704232997
sciq,iu_pcr,0.01777652546883335
nq_open,iu_pcr,-0.01022695013641628
squad_v2,iu_pcr,-0.020662057407102252
truthfulqa,iu_pcr,-0.029795088945114623
gsm8k,iu_pcr,-0.017551245931123192
math500,iu_pcr,-0.014645920179797156
triviaqa,fixed_expert_cv,-0.03326029342002404
hotpotqa,fixed_expert_cv,0.011547210471705704
sciq,fixed_expert_cv,-0.024189912651451095
nq_open,fixed_expert_cv,-0.006301016234297463
squad_v2,fixed_expert_cv,-0.018284812726114485
truthfulqa,fixed_expert_cv,-0.013247049156853485
gsm8k,fixed_expert_cv,-0.026063440488676426
math500,fixed_expert_cv,-0.006225179673705816
triviaqa,global_lr,0.0
hotpotqa,global_lr,0.0
sciq,global_lr,0.0
nq_open,global_lr,0.0
squad_v2,global_lr,0.0
truthfulqa,global_lr,0.0
gsm8k,global_lr,0.0
math500,global_lr,0.0
triviaqa,context_only_lr,-0.003352064295178786
hotpotqa,context_only_lr,0.013136190704232997
sciq,context_only_lr,0.01777652546883335
nq_open,context_only_lr,-0.01022695013641628
squad_v2,context_only_lr,-0.020662057407102252
truthfulqa,context_only_lr,-0.029795088945114623
gsm8k,context_only_lr,-0.017551245931123192
math500,context_only_lr,-0.014645920179797156
triviaqa,augmented_lr,0.0025572448972178696
hotpotqa,augmented_lr,-0.0008101205203925321
sciq,augmented_lr,0.0017125324817633958
nq_open,augmented_lr,0.0018769639108869862
squad_v2,augmented_lr,-0.0016377669070629652
truthfulqa,augmented_lr,0.0016224343740538494
gsm8k,augmented_lr,0.002042847233732892
math500,augmented_lr,0.0060331897562722284
triviaqa,context_core_only_lr,0.0034822482020750167
hotpotqa,context_core_only_lr,0.0019421608534866408
sciq,context_core_only_lr,-0.009628690397921025
nq_open,context_core_only_lr,-0.008582683882191189
squad_v2,context_core_only_lr,-0.0077897566058448
truthfulqa,context_core_only_lr,-0.004471746009736655
gsm8k,context_core_only_lr,-0.011628506475303935
math500,context_core_only_lr,-0.016067737273548554
triviaqa,augmented_core_lr,0.0054071497354828135
hotpotqa,augmented_core_lr,-0.004565408252853342
sciq,augmented_core_lr,-0.0214504868351022
nq_open,augmented_core_lr,0.0017471902177484955
squad_v2,augmented_core_lr,0.014978631585247038
truthfulqa,augmented_core_lr,0.0012626513156355212
gsm8k,augmented_core_lr,0.00015535019760078982
math500,augmented_core_lr,0.002861475264387292
triviaqa,quartile_router_cv,-0.020312439996642895
hotpotqa,quartile_router_cv,0.03450461595764509
sciq,quartile_router_cv,-0.02403572211264504
nq_open,quartile_router_cv,-0.007740273615525872
squad_v2,quartile_router_cv,-0.008530655388231834
truthfulqa,quartile_router_cv,-0.013940814106890853
gsm8k,quartile_router_cv,-0.053102282509899644
math500,quartile_router_cv,-0.007617932812653216
triviaqa,cstg_iu_rank,-0.0031201264495137604
hotpotqa,cstg_iu_rank,-0.03383816213052371
sciq,cstg_iu_rank,0.0018628095551173063
nq_open,cstg_iu_rank,0.0012809558503741325
squad_v2,cstg_iu_rank,0.01669014063338181
truthfulqa,cstg_iu_rank,-0.0037464548951894328
gsm8k,cstg_iu_rank,-0.00604293107985523
math500,cstg_iu_rank,-0.0067532824004128186
triviaqa,cstg_core,0.013414582795075153
hotpotqa,cstg_core,-0.0013940990235984385
sciq,cstg_core,-0.01389436774052144
nq_open,cstg_core,0.009557105319462855
squad_v2,cstg_core,0.04566411718619556
truthfulqa,cstg_core,0.008208599688151685
gsm8k,cstg_core,-0.009940911158341647
math500,cstg_core,-0.00590036373226741
triviaqa,cstg_iu_rank_permuted,-0.006694092233203719
hotpotqa,cstg_iu_rank_permuted,-0.02299465240641707
sciq,cstg_iu_rank_permuted,0.004497354497354555
nq_open,cstg_iu_rank_permuted,-0.0040316547124771285
squad_v2,cstg_iu_rank_permuted,-0.0001446832558472666
truthfulqa,cstg_iu_rank_permuted,-0.000565216874017227
gsm8k,cstg_iu_rank_permuted,-0.0046161361834184955
math500,cstg_iu_rank_permuted,-0.008682549906495241
triviaqa,cstg_core_permuted,-0.009506360285828575
hotpotqa,cstg_core_permuted,-0.004937877457631523
sciq,cstg_core_permuted,-0.026470680316834083
nq_open,cstg_core_permuted,-0.004233307369271855
squad_v2,cstg_core_permuted,-0.0006245195556724426
truthfulqa,cstg_core_permuted,-0.008337995738316395
gsm8k,cstg_core_permuted,-0.013475096992766056
math500,cstg_core_permuted,-0.004795752180161572
