component,family,model,python_peak_bytes,seconds,stage
primitive_reference,gsm8k,qwen3_4b,,0.10829708399251103,head_screen
g_mean9,gsm8k,qwen3_4b,2906666,0.3526716670021415,head_screen
g_mean_q90_18,gsm8k,qwen3_4b,2913550,0.35539679205976427,head_screen
g_mean_q90_max_27,gsm8k,qwen3_4b,2928298,0.3448754999553785,head_screen
g_registered_mixed,gsm8k,qwen3_4b,2327865,13.622912292019464,head_screen
l_level9,gsm8k,qwen3_4b,3470283,0.6641677080187947,head_screen
l_onset9,gsm8k,qwen3_4b,3467961,0.7346954579697922,head_screen
l_level_onset18,gsm8k,qwen3_4b,6172335,0.691919167060405,head_screen
l_registered_core5,gsm8k,qwen3_4b,1424071,0.0467954589985311,head_screen
o_level_ewma18,gsm8k,qwen3_4b,6172007,0.7047015000134706,head_screen
o_level_ewma_onset27,gsm8k,qwen3_4b,9254919,0.6718364589614794,head_screen
o_ewma_area_persist27,gsm8k,qwen3_4b,9254858,0.6734174159355462,head_screen
o_iu28_registered,gsm8k,qwen3_4b,31373849,4.973269333015196,head_screen
primitive_reference,math,qwen3_4b,,0.20055366691667587,head_screen
g_mean9,math,qwen3_4b,4008774,0.6652242499403656,head_screen
g_mean_q90_18,math,qwen3_4b,4010906,0.6734527919907123,head_screen
g_mean_q90_max_27,math,qwen3_4b,4013674,0.7029570420272648,head_screen
g_registered_mixed,math,qwen3_4b,3076989,53.21850812504999,head_screen
l_level9,math,qwen3_4b,6725479,2.404382333974354,head_screen
l_onset9,math,qwen3_4b,6724830,2.391766209038906,head_screen
l_level_onset18,math,qwen3_4b,13442961,2.384535750024952,head_screen
l_registered_core5,math,qwen3_4b,3086469,0.08543525007553399,head_screen
o_level_ewma18,math,qwen3_4b,13443143,2.4692285420605913,head_screen
o_level_ewma_onset27,math,qwen3_4b,20161774,2.429917374975048,head_screen
o_ewma_area_persist27,math,qwen3_4b,20161314,2.4220681668957695,head_screen
o_iu28_registered,math,qwen3_4b,94301499,18.664864416932687,head_screen
primitive_reference,gsm8k,qwen3_4b,,0.05162741697859019,architecture
g_registered_mixed,gsm8k,qwen3_4b,2312752,13.493764125043526,architecture
l_level9,gsm8k,qwen3_4b,3469202,0.6114614170510322,architecture
o_ewma_area_persist27,gsm8k,qwen3_4b,9254881,0.6159707918995991,architecture
primitive_reference,math,qwen3_4b,,0.1859249999979511,architecture
g_registered_mixed,math,qwen3_4b,3070855,53.16505179204978,architecture
l_level9,math,qwen3_4b,6723881,2.4060390840750188,architecture
o_ewma_area_persist27,math,qwen3_4b,20162381,2.4222796669928357,architecture
primitive_reference,olympiadbench,qwen3_4b,,0.23595958296209574,transfer
g_registered_mixed,olympiadbench,qwen3_4b,3377769,83.3240370840067,transfer
l_level9,olympiadbench,qwen3_4b,6798070,3.663381416001357,transfer
o_ewma_area_persist27,olympiadbench,qwen3_4b,20370271,3.7030307499226183,transfer
primitive_reference,omnimath,qwen3_4b,,0.26271858299151063,transfer
g_registered_mixed,omnimath,qwen3_4b,3629803,79.25124904199038,transfer
l_level9,omnimath,qwen3_4b,6684233,3.5120697499951348,transfer
o_ewma_area_persist27,omnimath,qwen3_4b,20038659,3.5220993749098852,transfer
primitive_reference,gsm8k,qwen3_8b,,0.07257354096509516,transfer
g_registered_mixed,gsm8k,qwen3_8b,2301563,13.457424374995753,transfer
l_level9,gsm8k,qwen3_8b,3471444,0.640720707946457,transfer
o_ewma_area_persist27,gsm8k,qwen3_8b,9255419,0.6454505000729114,transfer
primitive_reference,math,qwen3_8b,,0.21747804200276732,transfer
g_registered_mixed,math,qwen3_8b,3077516,52.6676838749554,transfer
l_level9,math,qwen3_8b,6727428,2.4016658330801874,transfer
o_ewma_area_persist27,math,qwen3_8b,20161982,2.428366207983345,transfer
primitive_reference,olympiadbench,qwen3_8b,,0.25284683308564126,transfer
g_registered_mixed,olympiadbench,qwen3_8b,3359916,85.34821033396292,transfer
l_level9,olympiadbench,qwen3_8b,6794641,3.7559818340232596,transfer
o_ewma_area_persist27,olympiadbench,qwen3_8b,20370550,3.7719664580654353,transfer
primitive_reference,omnimath,qwen3_8b,,0.24217700003646314,transfer
g_registered_mixed,omnimath,qwen3_8b,3624947,79.47202899993863,transfer
l_level9,omnimath,qwen3_8b,6684837,3.5321847919840366,transfer
o_ewma_area_persist27,omnimath,qwen3_8b,20037365,3.5608439999632537,transfer
primitive_reference,gsm8k,llama31_8b,,0.05388162494637072,transfer
g_registered_mixed,gsm8k,llama31_8b,1976626,12.620778750046156,transfer
l_level9,gsm8k,llama31_8b,3089618,0.5945128329331055,transfer
o_ewma_area_persist27,gsm8k,llama31_8b,9255436,0.6082509589614347,transfer
primitive_reference,math,llama31_8b,,0.17506995901931077,transfer
g_registered_mixed,math,llama31_8b,2884895,51.02497533301357,transfer
l_level9,math,llama31_8b,6726071,2.362405374995433,transfer
o_ewma_area_persist27,math,llama31_8b,20162253,2.3270339579321444,transfer
primitive_reference,olympiadbench,llama31_8b,,0.2496226669754833,transfer
g_registered_mixed,olympiadbench,llama31_8b,3338413,79.8589553750353,transfer
l_level9,olympiadbench,llama31_8b,6795561,3.5888457079418004,transfer
o_ewma_area_persist27,olympiadbench,llama31_8b,20370071,3.5630363329546526,transfer
primitive_reference,omnimath,llama31_8b,,0.23059854202438146,transfer
g_registered_mixed,omnimath,llama31_8b,3633656,77.3240840829676,transfer
l_level9,omnimath,llama31_8b,6683893,3.4350959579460323,transfer
o_ewma_area_persist27,omnimath,llama31_8b,20038021,3.4243736669886857,transfer
