candidate,dev_cells,features,primary,state_scalars,task
g_mean9,2,9,0.736721718303259,0,global
g_mean_q90_18,2,18,0.7560201640752657,0,global
g_mean_q90_max_27,2,27,0.7439834411190728,0,global
g_registered_mixed,2,30,0.7894712522016145,0,global
l_level9,2,9,0.3484047883279314,9,local
l_onset9,2,9,0.24643457224122844,18,local
l_level_onset18,2,18,0.2685087191758177,27,local
l_registered_core5,2,5,0.33297075922823693,12,local
o_level_ewma18,2,18,0.6139036719328171,18,online
o_level_ewma_onset27,2,27,0.593994479267897,27,online
o_ewma_area_persist27,2,27,0.6595696032482389,36,online
o_iu28_registered,2,28,0.6370472489034682,28,online
