budget,family,final_score_spearman,length_residual_auroc,length_spearman,long_auroc,long_n,medium_auroc,medium_n,model,n,raw_auroc,short_auroc,short_n
16,gsm8k,0.1839476463357629,0.5545199182839632,0.037321225516554805,0.6666666666666666,59,0.6160714285714286,60,qwen3_4b,177,0.6145301327885597,0.6205357142857143,58
32,gsm8k,0.4172993022973979,0.539070480081716,0.24229688410451972,0.4742547425474255,59,0.5558035714285714,60,qwen3_4b,177,0.5717568947906027,0.5729166666666666,58
64,gsm8k,0.6448663458042625,0.6179775280898876,0.37189643579100085,0.5962059620596206,59,0.6149553571428572,60,qwen3_4b,177,0.6570480081716037,0.5907738095238095,58
128,gsm8k,0.83004992328409,0.6765570703020582,0.3872868714623571,0.6964769647696476,59,0.6682692307692308,58,qwen3_4b,173,0.739775461106656,0.6768707482993197,56
256,gsm8k,0.8966766142159524,0.8004683840749415,0.26991131123371154,0.7999999999999999,34,0.7896825396825398,33,qwen3_4b,96,0.8060889929742387,0.8269230769230769,29
512,gsm8k,0.9999999999999999,nan,-0.39999999999999997,nan,0,nan,1,qwen3_4b,5,nan,nan,4
16,math,0.2117744653146851,0.54250147653446,-0.018309159398141987,0.5598129159920848,160,0.6017422077038247,172,qwen3_4b,514,0.5847227901200914,0.6115474714069175,182
32,math,0.2942222328263458,0.5565399118622507,-0.035068298474924514,0.5450620615218564,160,0.6047366271947734,172,qwen3_4b,514,0.5618251480320445,0.5620779936612925,182
64,math,0.4425543739485701,0.5851841675443819,0.12266683058197607,0.5394855189782335,160,0.6308243727598567,171,qwen3_4b,512,0.6086306116530049,0.5918310641844957,181
128,math,0.6415423003708234,0.5906699346405229,0.2374459985360909,0.5477368517500458,158,0.6232876712328768,165,qwen3_4b,495,0.6230555555555557,0.5917487684729064,172
256,math,0.7633855187969397,0.6208351415208062,0.18341482545957127,0.6086445853887714,142,0.639161220043573,123,qwen3_4b,409,0.6580838034620763,0.6513377926421405,144
512,math,0.8512814480520786,0.613277133825079,0.0191402008069397,0.6173333333333334,85,0.6463414634146342,59,qwen3_4b,203,0.6266596417281348,0.6333333333333333,59
16,olympiadbench,0.008531291251738802,0.5009885696632683,-0.02328405927172683,0.5582788671023966,149,0.5279592370002614,175,qwen3_4b,509,0.5195088044485634,0.4850728445187485,185
32,olympiadbench,0.12435758588835828,0.552224281742354,-0.0701031044636356,0.5951343500363109,149,0.5192056441076561,175,qwen3_4b,509,0.552224281742354,0.5563649390972056,185
64,olympiadbench,0.2650487610232126,0.5681186283595923,-0.08651695651032133,0.6321713870733479,149,0.5729030572249804,175,qwen3_4b,509,0.567732468334878,0.5250776212085027,185
128,olympiadbench,0.5767309321513362,0.58822984244671,0.013339378322189246,0.5571895424836601,149,0.6071335249542722,175,qwen3_4b,509,0.5883534136546185,0.5930260329591593,185
256,olympiadbench,0.7624158429910552,0.6159930119907886,0.04662460809194875,0.5820624546114742,149,0.6177325581395348,174,qwen3_4b,502,0.6198840625744461,0.6478027593254982,179
512,olympiadbench,0.8969081028771356,0.641623961391114,0.013112816186860159,0.6756249999999999,114,0.6368159203980099,127,qwen3_4b,401,0.6438877556097318,0.6293717360341827,160
16,omnimath,0.13315895626632884,0.45440793218105024,0.08683037177783277,0.4934421451471874,167,0.5160317895313784,171,qwen3_4b,517,0.5194859659107929,0.5361538461538461,179
32,omnimath,0.25818333611505306,0.5011682592936524,0.013317340569932563,0.5068493150684932,167,0.5504247739106605,171,qwen3_4b,517,0.5125812539316418,0.48294871794871796,179
64,omnimath,0.43606348851277105,0.49622562382050744,0.07712586160140215,0.5345380355581463,167,0.48725678268018635,171,qwen3_4b,517,0.5056465865859869,0.48717948717948717,179
128,omnimath,0.5721248263786698,0.5212332488228902,0.1609143846036329,0.526522879626931,167,0.5437106056453823,171,qwen3_4b,515,0.53252142943378,0.5108496732026144,177
256,omnimath,0.7377573502924495,0.5711727986838073,0.09966035087959901,0.572463768115942,161,0.5873949579831933,155,qwen3_4b,498,0.5761085213800669,0.5786537295330504,182
512,omnimath,0.8758658344865241,0.5848735822019284,-0.14106959359289656,0.587202380952381,118,0.6183150183150183,128,qwen3_4b,406,0.586015106987589,0.5825501253132832,160
16,gsm8k,0.1473896746939977,0.45173646578140964,-0.057446985834977614,0.5826558265582656,59,0.6026785714285714,60,qwen3_8b,177,0.5683094994892748,0.6116071428571429,58
32,gsm8k,0.44509054552379634,0.5845250255362615,0.14060763597699763,0.6219512195121951,59,0.6104910714285714,60,qwen3_8b,177,0.6243615934627171,0.5967261904761906,58
64,gsm8k,0.6953610567684079,0.6861593462717058,0.30902818756582495,0.6937669376693767,59,0.7154017857142857,60,qwen3_8b,177,0.7314862104187947,0.7142857142857143,58
128,gsm8k,0.8277623521886054,0.7051590483827854,0.33981486608894845,0.7222222222222223,59,0.7139423076923077,58,qwen3_8b,173,0.7606255012028869,0.7670068027210885,56
256,gsm8k,0.9140938686923494,0.8121779859484778,0.2647696265835356,0.8166666666666667,34,0.7976190476190477,33,qwen3_8b,96,0.8243559718969554,0.8365384615384616,29
512,gsm8k,0.9999999999999999,nan,-0.39999999999999997,nan,0,nan,1,qwen3_8b,5,nan,nan,4
16,math,0.19029696185232828,0.5336119818878439,-0.08725526156338655,0.5574743658931464,160,0.5841840206887164,172,qwen3_8b,514,0.5564490482031711,0.5856414496348353,182
32,math,0.2776545269334797,0.5533748277376462,-0.0901067669788415,0.5220363374707682,160,0.6040560773104668,172,qwen3_8b,514,0.5565701997486106,0.6013504202838639,182
64,math,0.4353249884128129,0.5835355894429942,0.03321442481542967,0.49865083648138153,160,0.6308243727598567,171,qwen3_8b,512,0.5945871685671108,0.6357321478188385,181
128,math,0.6006807001713622,0.5890196078431373,0.17133875701520318,0.5402235660619388,158,0.607355568790947,165,qwen3_8b,495,0.6123856209150327,0.6148399014778325,172
256,math,0.7490104289076832,0.6237282414774098,0.17145245520600902,0.6032417195207893,142,0.6034858387799565,123,qwen3_8b,409,0.6494045035922658,0.657608695652174,144
512,math,0.84154686114801,0.6151738672286616,-0.022672010766593854,0.5966666666666667,85,0.6531165311653115,59,qwen3_8b,203,0.6175974710221286,0.635632183908046,59
16,olympiadbench,0.04115627101047618,0.525949953660797,-0.03298693550314886,0.5495642701525055,149,0.5550039195192057,175,qwen3_8b,509,0.5357275254865617,0.5056126104609506,185
32,olympiadbench,0.15393478543852113,0.5652301513747298,-0.11597872915586778,0.6272694262890341,149,0.5429840606218971,175,qwen3_8b,509,0.5652301513747298,0.5457368043945546,185
64,olympiadbench,0.3215944404152763,0.5860055607043559,-0.1026178018101647,0.6702977487291212,149,0.5782597334726941,175,qwen3_8b,509,0.5851714550509731,0.5333174110341533,185
128,olympiadbench,0.573501612021137,0.5836886005560704,0.00044020221456845957,0.5718954248366013,149,0.6186307812908284,175,qwen3_8b,509,0.5824528884769848,0.5532600907571054,185
256,olympiadbench,0.7634882073828471,0.6181688239498133,0.0441969095627984,0.6214596949891068,149,0.6178646934460887,174,qwen3_8b,502,0.6222822202811086,0.6112672457843639,179
512,olympiadbench,0.9043724643614846,0.6500074630578636,0.018470441914867873,0.6924999999999999,114,0.6490049751243782,127,qwen3_8b,401,0.6509279068610379,0.6300047475866435,160
16,omnimath,0.11964926363738831,0.4801246143246562,0.06736160651316668,0.4965024774118333,167,0.4861605919429981,171,qwen3_8b,517,0.5011682592936525,0.5170512820512821,179
32,omnimath,0.23337685089293206,0.4922116047089836,-0.010454100407098554,0.48819586126493736,167,0.5353521512743218,171,qwen3_8b,517,0.49937093730341786,0.4817948717948718,179
64,omnimath,0.4034808953166202,0.5002845759817871,0.03656796743569968,0.5029146021568056,167,0.505892025212387,171,qwen3_8b,517,0.5038342869125004,0.5058974358974359,179
128,omnimath,0.5453598628775852,0.5237232886635277,0.08438737124235893,0.5231710871466045,167,0.5685119210742668,171,qwen3_8b,515,0.5336683568755283,0.5086274509803921,177
256,omnimath,0.72923549457646,0.5619949352388018,0.039471275616466066,0.5459987397605545,161,0.6001680672268908,155,qwen3_8b,498,0.5715599141893962,0.5888417222559127,182
512,omnimath,0.8734679148472253,0.5810846914239916,-0.15654282537728373,0.5997023809523809,118,0.5978021978021978,128,qwen3_8b,406,0.5831734389041362,0.588032581453634,160
16,gsm8k,0.08695097037793668,0.501532175689479,-0.04188213706323877,0.49853801169590645,56,0.5076252723311547,61,llama31_8b,177,0.5236210418794689,0.6114911080711355,60
32,gsm8k,0.3536707293848791,0.5985699693564862,0.12670036291428924,0.4941520467836258,56,0.6993464052287582,61,llama31_8b,177,0.6119765066394279,0.6101231190150479,60
64,gsm8k,0.5678340303764033,0.6540547520661157,0.2712222022451247,0.5950292397660819,56,0.6862745098039216,61,llama31_8b,176,0.6741993801652892,0.6453488372093024,59
128,gsm8k,0.7722551515734382,0.6888037462750107,0.369128693438891,0.575516693163752,54,0.632996632996633,60,llama31_8b,168,0.7093798779622534,0.7615262321144675,54
256,gsm8k,0.9614108737704243,0.7894736842105263,0.2559963136856154,0.7953216374269005,28,0.8174603174603174,25,llama31_8b,90,0.8070175438596492,0.7794117647058824,37
512,gsm8k,nan,nan,nan,nan,0,nan,1,llama31_8b,1,nan,nan,0
16,math,0.20463638791739652,0.466191146850817,0.09081957004508796,0.49064220183486235,159,0.5408187984496124,182,llama31_8b,514,0.541486832341405,0.5293040293040293,173
32,math,0.3414629846498684,0.5775899928823467,0.021561586509139797,0.5036697247706422,159,0.6113129844961239,182,llama31_8b,514,0.58906910181273,0.6477411477411477,173
64,math,0.48521785426499353,0.5999693533558075,0.08411364982785852,0.5269724770642201,159,0.625703794369645,181,llama31_8b,511,0.6079681274900398,0.650776397515528,171
128,math,0.6645082216552575,0.5963914201134504,0.20081103533841427,0.5721914934197978,156,0.5865876649609482,173,llama31_8b,492,0.630773810508211,0.6567914067914068,163
256,math,0.7569445962734825,0.6209121760592349,0.17982497273792916,0.6156462585034014,140,0.6012151339409003,122,llama31_8b,397,0.661276223776224,0.6881371640407785,135
512,math,0.8374678728269889,0.6260928961748634,-0.039669352918042584,0.5245098039215687,71,0.7282828282828283,67,llama31_8b,181,0.6348360655737705,0.644736842105263,43
16,olympiadbench,0.1880065761182135,0.5173308619091752,0.11582848375424792,0.5490299823633158,151,0.5569620253164557,166,llama31_8b,509,0.5528112449799196,0.5398732065398731,192
32,olympiadbench,0.21286746421903346,0.5681031819586035,0.0038167464839604496,0.5957671957671958,151,0.5566710315728212,166,llama31_8b,509,0.5697096076614149,0.5667890112334556,192
64,olympiadbench,0.35417064401677634,0.5939450108124806,-0.03916985100469328,0.6777777777777778,151,0.5617634220864252,166,llama31_8b,509,0.5953197405004634,0.560671782894005,192
128,olympiadbench,0.5245659645601044,0.5881835032437442,0.03444687957296264,0.5611992945326278,151,0.5818419903972065,166,llama31_8b,509,0.594114921223355,0.6255144032921811,192
256,olympiadbench,0.6784269261414394,0.5959522890946503,0.051654215087314645,0.5912137006701416,147,0.6037548001706727,168,llama31_8b,499,0.6073816872427983,0.6179816513761468,184
512,olympiadbench,0.8431801053819444,0.6275835275835275,0.019966352221584965,0.6245791245791246,111,0.6325156325156325,129,llama31_8b,393,0.6295778295778296,0.6344479275513759,153
16,omnimath,0.23669772061657265,0.4806039001887188,0.29017091703442005,0.4917909512470234,180,0.5438169425511198,157,llama31_8b,517,0.5384477129077674,0.5145318930041152,180
32,omnimath,0.24974630194818218,0.4994757810861816,0.16872127514949953,0.5146008271713247,180,0.5103862382343395,157,llama31_8b,517,0.5206242698379414,0.5021862139917695,180
64,omnimath,0.4050133305452454,0.4899050414881826,0.13045992804725268,0.44905376613610726,180,0.4938331710483609,157,llama31_8b,517,0.5045831710750981,0.5466820987654321,180
128,omnimath,0.5328888217294397,0.524689122298684,0.099867792531269,0.46509587667627517,180,0.5884453099642973,157,llama31_8b,515,0.5374260533623083,0.559748427672956,178
256,omnimath,0.6965034928617511,0.5456206181495014,0.00022222932719760078,0.46493055555555557,154,0.5885093167701864,153,llama31_8b,493,0.5532240545077516,0.6140717520027865,186
512,omnimath,0.8431845356795223,0.5560969254820218,-0.2003484822987799,0.5475953565505804,112,0.599264705882353,132,llama31_8b,392,0.5573215216258468,0.578220011055832,148
