cell_id,family,feature_count,fit_seconds,method,persistent_state_scalars_per_trace,python_traced_peak_bytes,score_seconds,update_complexity
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,4,0.031715125078335404,dyn_level4_iu,6,1789513,0.0626442909706384,O(1) per monitor observation
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,6,0.028166917036287487,dyn_persist6_iu,10,1721143,0.06112841609865427,O(1) per monitor observation
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,5,0.028117750072851777,dyn_change6_iu,8,1721073,0.06118170905392617,O(1) per monitor observation
processbench_gsm8k__llama31_8b,gsm8k,4,0.011518375016748905,dyn_level4_iu,6,465901,0.016154374927282333,O(1) per monitor observation
processbench_gsm8k__llama31_8b,gsm8k,6,0.011762125068344176,dyn_persist6_iu,10,465917,0.016734458971768618,O(1) per monitor observation
processbench_gsm8k__llama31_8b,gsm8k,5,0.011648916988633573,dyn_change6_iu,8,465835,0.01729029102716595,O(1) per monitor observation
processbench_gsm8k__llama3_70b,gsm8k,4,0.008395457989536226,dyn_level4_iu,6,219445,0.008927540970034897,O(1) per monitor observation
processbench_gsm8k__llama3_70b,gsm8k,6,0.010470916982740164,dyn_persist6_iu,10,219635,0.0090788749512285,O(1) per monitor observation
processbench_gsm8k__llama3_70b,gsm8k,5,0.008483707904815674,dyn_change6_iu,8,219499,0.008579917019233108,O(1) per monitor observation
processbench_gsm8k__qwen25_15b,gsm8k,4,0.009927375009283423,dyn_level4_iu,6,314515,0.011758666019886732,O(1) per monitor observation
processbench_gsm8k__qwen25_15b,gsm8k,6,0.01064866699744016,dyn_persist6_iu,10,314555,0.011689291917718947,O(1) per monitor observation
processbench_gsm8k__qwen25_15b,gsm8k,5,0.010012125014327466,dyn_change6_iu,8,314471,0.011981291929259896,O(1) per monitor observation
processbench_gsm8k__qwen2_7b,gsm8k,4,0.011168083059601486,dyn_level4_iu,6,391269,0.013524790992960334,O(1) per monitor observation
processbench_gsm8k__qwen2_7b,gsm8k,6,0.011657707975246012,dyn_persist6_iu,10,391527,0.012862707953900099,O(1) per monitor observation
processbench_gsm8k__qwen2_7b,gsm8k,5,0.010759541997686028,dyn_change6_iu,8,391339,0.012669958057813346,O(1) per monitor observation
processbench_math__llama31_8b,math,4,0.02229995804373175,dyn_level4_iu,6,1188253,0.040717167081311345,O(1) per monitor observation
processbench_math__llama31_8b,math,6,0.021243916009552777,dyn_persist6_iu,10,1188511,0.03837579197715968,O(1) per monitor observation
processbench_math__llama31_8b,math,5,0.021266959025524557,dyn_change6_iu,8,1188375,0.03792108304332942,O(1) per monitor observation
processbench_math__qwen25math_7b,math,4,0.016553167020902038,dyn_level4_iu,6,836037,0.027889709104783833,O(1) per monitor observation
processbench_math__qwen25math_7b,math,6,0.017635165946558118,dyn_persist6_iu,10,836295,0.031099415966309607,O(1) per monitor observation
processbench_math__qwen25math_7b,math,5,0.019985208055004478,dyn_change6_iu,8,836219,0.028498333995230496,O(1) per monitor observation
processbench_olympiadbench__llama31_8b,olympiadbench,4,0.027306166011840105,dyn_level4_iu,6,1473478,0.05439016700256616,O(1) per monitor observation
processbench_olympiadbench__llama31_8b,olympiadbench,6,0.026855458971112967,dyn_persist6_iu,10,1473799,0.05243024998344481,O(1) per monitor observation
processbench_olympiadbench__llama31_8b,olympiadbench,5,0.026149249984882772,dyn_change6_iu,8,1473617,0.050484125036746264,O(1) per monitor observation
processbench_olympiadbench__qwen25math_7b,olympiadbench,4,0.023738167015835643,dyn_level4_iu,6,1339593,0.04447395901661366,O(1) per monitor observation
processbench_olympiadbench__qwen25math_7b,olympiadbench,6,0.024266707943752408,dyn_persist6_iu,10,1339859,0.04385150002781302,O(1) per monitor observation
processbench_olympiadbench__qwen25math_7b,olympiadbench,5,0.02361170807853341,dyn_change6_iu,8,1339731,0.04322537500411272,O(1) per monitor observation
processbench_omnimath__llama31_8b,omnimath,4,0.02527229196857661,dyn_level4_iu,6,1457685,0.04850758390966803,O(1) per monitor observation
processbench_omnimath__llama31_8b,omnimath,6,0.02572862501256168,dyn_persist6_iu,10,1457951,0.048530417028814554,O(1) per monitor observation
processbench_omnimath__llama31_8b,omnimath,5,0.024567665997892618,dyn_change6_iu,8,1457823,0.04832470789551735,O(1) per monitor observation
processbench_omnimath__qwen25math_7b,omnimath,4,0.0229397090151906,dyn_level4_iu,6,1211873,0.043794458033517,O(1) per monitor observation
processbench_omnimath__qwen25math_7b,omnimath,6,0.022119458997622132,dyn_persist6_iu,10,1212191,0.042003292008303106,O(1) per monitor observation
processbench_omnimath__qwen25math_7b,omnimath,5,0.022072291001677513,dyn_change6_iu,8,1211957,0.04005812504328787,O(1) per monitor observation
