geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
residual_union_k7,one_se,canonical,full,True,0.25147679442711046,"[0.027372046023322976, 0.4576254949214334]",6,-0.2769493672833079
residual_union_k7,one_se,canonical,cross,False,0.24512299379593566,"[0.02153805104550266, 0.4514460387537953]",6,-0.28156416456086575
residual_union_k7,one_se,v1,full,True,0.15980002490265938,"[-0.013836922308934303, 0.3097144331732027]",6,-0.2769493672833079
residual_union_k7,one_se,v1,cross,False,0.1599134544860917,"[0.038970810764342445, 0.274093410288459]",6,-0.12332416433712412
residual_union_k7,one_se,expanded,full,True,0.15980002490265938,"[-0.013577178589797286, 0.30967573029799117]",6,-0.2769493672833079
residual_union_k7,one_se,expanded,cross,False,0.1599134544860917,"[0.03897081076434245, 0.2736651209161098]",6,-0.12332416433712412
residual_union_k7,max_mean,canonical,full,True,0.449629196668661,"[-0.001238261192313848, 0.8952534948251014]",6,-0.4675600727739537
residual_union_k7,max_mean,canonical,cross,False,0.2605382086595365,"[-0.1569218875617037, 0.6526472387044167]",6,-0.67904644304011
residual_union_k7,max_mean,v1,full,True,0.449629196668661,"[-0.0023747770644416406, 0.8955066042413282]",6,-0.4675600727739537
residual_union_k7,max_mean,v1,cross,False,0.2605382086595365,"[-0.1561867236101669, 0.654793341081765]",6,-0.67904644304011
residual_union_k7,max_mean,expanded,full,True,0.449629196668661,"[-0.0006824638926675023, 0.8957597136575549]",6,-0.4675600727739537
residual_union_k7,max_mean,expanded,cross,False,0.2605382086595365,"[-0.1569218875617037, 0.654793341081765]",6,-0.67904644304011
residual_union_k5,one_se,canonical,full,True,0.2256247259969371,"[0.0012269969894410093, 0.43631756018027107]",6,-0.2960238626971923
residual_union_k5,one_se,canonical,cross,False,0.2222471358611222,"[-0.0011774825426996705, 0.43039175271737345]",6,-0.30078409601015377
residual_union_k5,one_se,v1,full,True,0.1762145655509051,"[0.059828355716122494, 0.2828955085302307]",6,-0.09391811671520811
residual_union_k5,one_se,v1,cross,False,0.14416363893493528,"[0.02968878661081642, 0.2509650781924233]",6,-0.13269360123395746
residual_union_k5,one_se,expanded,full,True,0.1762145655509051,"[0.059512867786289114, 0.2828953746062285]",6,-0.09391811671520811
residual_union_k5,one_se,expanded,cross,False,0.14416363893493528,"[0.029295863960932807, 0.25060522568873006]",6,-0.13269360123395746
residual_union_k5,max_mean,canonical,full,True,0.4156829487949968,"[-0.029618826210026115, 0.8434510420867597]",6,-0.5251639301851019
residual_union_k5,max_mean,canonical,cross,False,0.14498609275722016,"[-0.21604893047724597, 0.479198943395894]",5,-0.7232757788868893
residual_union_k5,max_mean,v1,full,True,0.4156829487949968,"[-0.027551339611088077, 0.8430730582636459]",6,-0.5251639301851019
residual_union_k5,max_mean,v1,cross,False,0.14498609275722016,"[-0.21698623934865302, 0.4808920907978945]",5,-0.7232757788868893
