held_group,geometry_id,donor_selected_lambda,donor_selected_trust,donor_inner_mean,held_delta_auroc
gsm8k,residual_union_k7,0.03,0.5,0.002855474369361545,0.0036497268934822303
gsm8k,residual_union_k5,0.03,0.5,0.002765773634118135,0.003443802171358157
gsm8k,residual_union_k15,0.03,0.5,0.0027068731726938946,0.003733439372103531
gsm8k,residual_adaptive_k7,0.03,0.5,0.0026529291659803033,0.00395912116338375
gsm8k,residual_mutual_k7,0.03,0.5,0.0010310231173738045,0.001140926250349028
gsm8k,contribution_union_k7,0.03,1.0,0.005812936963882275,0.00561888383988447
gsm8k,residual_cosine_union_k7,1.0,0.5,-0.0003506704110820969,-0.0002459792972444363
gsm8k,residual_shrinkage_mahalanobis_union_k7,1.0,0.5,0.0005212934595817113,0.0008233041239629757
hotpotqa,residual_union_k7,0.03,0.5,0.0032051027451554712,0.0013407461699351808
hotpotqa,residual_union_k5,0.03,0.5,0.0030891301934547785,0.001126226782745432
hotpotqa,residual_union_k15,0.03,0.5,0.00325311167446659,0.002127317256297112
hotpotqa,residual_adaptive_k7,0.03,0.5,0.0027847104312903686,0.0005899283147714485
hotpotqa,residual_mutual_k7,1.0,0.5,0.0008532072332385615,-0.001144103398344587
hotpotqa,contribution_union_k7,0.3,1.0,0.004048641648909409,0.0027529988022667595
hotpotqa,residual_cosine_union_k7,0.03,0.5,-0.0010969852367153988,-0.0017340317131160354
hotpotqa,residual_shrinkage_mahalanobis_union_k7,0.3,0.5,0.0004904729827483804,0.00012513630919386287
math500,residual_union_k7,0.03,0.5,0.002403159296709167,0.0022821638551575817
math500,residual_union_k5,0.03,0.5,0.002120532674451043,0.0011866120738808883
math500,residual_union_k15,0.03,0.5,0.0024861230298160613,0.002208714172096582
math500,residual_adaptive_k7,0.03,0.5,0.0021509363743715333,0.0008641830930892879
math500,residual_mutual_k7,1.0,0.5,0.0011792403131055534,-0.0005217492325250373
math500,contribution_union_k7,0.03,1.0,0.004952404518210785,0.0078116880147281135
math500,residual_cosine_union_k7,0.03,0.5,-0.0004927031834867063,-0.003026971807478307
math500,residual_shrinkage_mahalanobis_union_k7,0.03,0.5,-8.543961763416073e-05,-0.0030587189341870326
nq_open,residual_union_k7,0.03,0.5,0.0029304342386849004,-0.002769493672833079
nq_open,residual_union_k5,0.03,0.5,0.0027938012487752246,-0.0029602386269719227
nq_open,residual_union_k15,0.03,0.5,0.0027429263635254364,-0.002873871996710853
nq_open,residual_adaptive_k7,0.03,0.5,0.0023025581687574023,-0.0016928754522151923
nq_open,residual_mutual_k7,0.03,0.5,0.0010320055916545575,-0.005122984347446513
nq_open,contribution_union_k7,0.3,1.0,0.0036778316709171503,0.007673484913109041
nq_open,residual_cosine_union_k7,0.03,0.5,-0.0004287589241125001,-0.005767265984329195
nq_open,residual_shrinkage_mahalanobis_union_k7,0.03,0.5,0.0003781491056882805,-0.005636709174077104
sciq,residual_union_k7,0.03,0.5,0.0022274631556980216,0.005696707303178727
sciq,residual_union_k5,0.03,0.5,0.0018876836481824945,0.005924575595305903
sciq,residual_union_k15,0.03,0.5,0.0024260165794327986,0.006836048763814606
sciq,residual_adaptive_k7,0.03,0.5,0.0019453738153954341,0.007063917055941671
