context,selected,excluded_groups,geometry_id,health,length_energy_ratio_available_cells,length_energy_ratio_median,length_energy_ratio_min,length_energy_ratio_missing_cells,mean_direction_cosine,median_perturbation_stability,minimum_direction_cosine,minimum_perturbation_stability,moment_dispersion,predicted_roughness_decrease,valid
all_source,False,[],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.6086065573770492}",20,1.0,1.0,3,0.9904148055056091,0.3685968819599109,0.9729767097826412,0.2786630794701987,0.2124619507342652,0.0014206242704691769,True
all_source,False,[],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.4713114754098361}",20,0.9705321439600594,0.8468134624706681,3,0.9877083271913105,0.347397476340694,0.9772003614484153,0.2554155458020671,0.2215898721947537,0.0012314860160338775,False
all_source,False,[],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 24.0, 'minimum_largest_component_fraction': 0.9144}",20,1.104079573690979,1.0506060142904752,3,0.9882495472773252,0.41353936718175127,0.9525211363480474,0.32406803471978324,0.21478917516383783,0.0011621344137712738,True
all_source,True,[],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.54}",20,1.0333085380169549,0.9800636152033709,3,0.9863435630656078,0.40916919151650455,0.9654315304657342,0.3446863384662065,0.21798101873906467,0.0010456756482279924,True
all_source,False,[],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",20,1.1021546045884583,0.9015695738337106,3,0.9795257855938331,0.3372982158028887,0.9490580715722484,0.24394217063734475,0.2821354395138492,0.0008461702520372795,False
all_source,False,[],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.4157559198542805}",20,0.31997119681619013,0.136303750797734,3,0.9923491671371442,0.3271928885080861,0.9828662157489536,0.17654332730904596,0.21145726461609468,0.00028435906066090824,False
all_source,False,[],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.5521402550091075}",20,1.401314724801967,0.9589851009042386,3,0.989448166442602,0.3309776207302709,0.9414805088450793,0.22175214116190278,0.22366668623583663,0.003022058876744729,True
all_source,False,[],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.549863387978142}",20,0.9964709418584279,0.8420684873380124,3,0.9884227793420233,0.4973404255319149,0.9546937080499762,0.3237440597420231,0.21078188221155472,0.0012542424207378576,True
outer_held=gsm8k,False,['gsm8k'],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.6086065573770492}",10,1.0,1.0,3,0.9920859833094724,0.4259443339960239,0.9823488804522587,0.2935262613924645,0.20668830832309681,0.0018919889568956329,True
outer_held=gsm8k,False,['gsm8k'],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.4713114754098361}",10,0.9705321439600594,0.8468134624706681,3,0.9903658069980051,0.40654843110504774,0.9778131233620682,0.2818181818181818,0.21299763236459757,0.0016846993073534435,False
outer_held=gsm8k,False,['gsm8k'],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.9144}",10,1.1051531694632417,1.0634050438694815,3,0.9903814624222554,0.4485487478188208,0.9682797876519998,0.32681124717794346,0.21117655744511454,0.0015855688575225624,True
outer_held=gsm8k,True,['gsm8k'],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.54}",10,1.0311731872143954,0.9800636152033709,3,0.9888387184570865,0.4717418810628427,0.9763064945468597,0.348077331633737,0.2103732574695482,0.0013468565067162232,True
outer_held=gsm8k,False,['gsm8k'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",10,1.0251012374612491,0.9015695738337106,3,0.9844488922406048,0.4043607532210109,0.9563252342918843,0.2882714400213732,0.2834990254657748,0.0010547386972793588,False
outer_held=gsm8k,False,['gsm8k'],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.4157559198542805}",10,0.2596263441988378,0.136303750797734,3,0.9914450659419867,0.4056603773584906,0.9806117236708053,0.25352340547925506,0.21752332122133644,0.00031170588769020434,False
outer_held=gsm8k,False,['gsm8k'],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.5521402550091075}",10,1.4857077436671657,1.0350589028008867,3,0.9871848164631503,0.37873505976095617,0.9319051690417379,0.2761801154100842,0.22786149277986928,0.0032720761624494164,True
outer_held=gsm8k,False,['gsm8k'],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.549863387978142}",10,1.0589507458165102,0.926328983076461,3,0.9898310823538593,0.5828185769846717,0.9680015723904986,0.3397151974091537,0.21311333052729814,0.0016593527097234575,True
outer_held=hotpotqa,False,['hotpotqa'],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.6086065573770492}",19,1.0,1.0,3,0.9852065277886863,0.366459245000056,0.9553841942401864,0.2786630794701987,0.20678077262468064,0.001268531723656081,True
outer_held=hotpotqa,False,['hotpotqa'],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.4713114754098361}",19,0.9700849459518821,0.8468134624706681,3,0.9820400245246992,0.34585691412628206,0.9615728661353163,0.2554155458020671,0.21491055665980124,0.0010041000864227758,False
outer_held=hotpotqa,False,['hotpotqa'],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 24.0, 'minimum_largest_component_fraction': 0.9144}",19,1.1047370081031336,1.0506060142904752,3,0.9822180141403055,0.4134125112624476,0.9242727299988528,0.32406803471978324,0.21299644887981833,0.0010945684734932507,True
outer_held=hotpotqa,True,['hotpotqa'],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.54}",19,1.0374742579131495,0.9800636152033709,3,0.9780704896551181,0.4091104578272178,0.9387889157895867,0.3446863384662065,0.20847899828125863,0.0008640203580566425,True
outer_held=hotpotqa,False,['hotpotqa'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",19,1.1093838048817986,0.9015695738337106,3,0.9623938239450796,0.3341058532129991,0.8937293324253317,0.24394217063734475,0.24622624101633864,0.0005303018497053267,False
