geometry_id,actuator,lambda_full,trust_factor,real_delta_pp,permutation_mean_delta_pp,permutation_min_delta_pp,permutation_max_delta_pp,randomization_p_greater_or_equal,real_minus_permutation_mean_mean_pp,real_minus_permutation_mean_ci_pp,real_minus_permutation_mean_positive_groups,real_minus_permutation_mean_worst_group_pp,real_group_values_pp,permutation_mean_group_values_pp
residual_union_k7,full,0.03,0.5,0.25147679442711046,-0.00733084728992022,-0.4621002936283744,0.31402834886920156,0.14285714285714285,0.2588076417170307,"[0.06619790720935374, 0.431254066017714]",6,-0.21113564567305232,"[0.364972689348223, 0.13407461699351808, 0.22821638551575818, -0.2769493672833079, 0.5696707303178727, 0.5911142405319092, -0.15730237864075197, 0.5580174386336623]","[-0.03749578710172102, 0.0034859400418318916, -0.05492113433138492, -0.06581372161025556, 0.09912270707530701, 0.04326873131486997, -0.08714946166744195, 0.040855947959432815]"
residual_union_k7,cross,,0.5,0.24512299379593566,-0.011331568072011243,-0.4566438811389048,0.3009979257372085,0.14285714285714285,0.2564545618679469,"[0.06520084333077426, 0.4289740426819361]",6,-0.21289402327815343,"[0.3615026044695724, 0.12871163231377158, 0.2120359252313908, -0.28156416456086575, 0.5696707303178727, 0.5707986564011502, -0.15809830283596282, 0.5579268690305561]","[-0.04298806695347852, 0.001251363091940294, -0.0585791733623573, -0.06867014128271232, 0.08943830465990732, 0.04076391213511055, -0.08983642618100102, 0.03796768331650102]"
residual_union_k5,full,0.03,0.5,0.2256247259969371,0.0010597923544458578,-0.4320529271572081,0.36624453341773877,0.09523809523809523,0.22456493364249128,"[0.033132240723928154, 0.4005855010327382]",6,-0.24183103968585806,"[0.3443802171358157, 0.1126226782745432, 0.11866120738808883, -0.2960238626971923, 0.5924575595305903, 0.5402675654773703, -0.1569257948376257, 0.5495582377039065]","[-0.01398076395332021, -0.00616743238170181, -0.03945950518465323, -0.05419282301133421, 0.06494246325623843, 0.06634885089978615, -0.06967778233940437, 0.060665331549956125]"
residual_union_k5,cross,,0.5,0.2222471358611222,-0.002543199607666453,-0.42038404568042353,0.35725433519568695,0.09523809523809523,0.22479033546878865,"[0.03221640310174034, 0.40372380270360714]",6,-0.2457505408402577,"[0.3369332474470088, 0.1108350167146388, 0.11553177499500356, -0.30078409601015377, 0.581064144924226, 0.5413641453026141, -0.15699634612439395, 0.5500291996400342]","[-0.017208400587102483, -0.006971880083662674, -0.04215580932020069, -0.055033555169896047, 0.05411871938019897, 0.05909988110767261, -0.06985116152324371, 0.05765660933490235]"
residual_union_k15,full,0.03,0.5,0.2615789695322646,0.012955210603896391,-0.4178098816681632,0.2665405160007,0.09523809523809523,0.24862375892836827,"[0.05246970261377072, 0.4289855474157835]",6,-0.2165316022715963,"[0.3733439372103531, 0.2127317256297112, 0.2208714172096582, -0.2873871996710853, 0.6836048763814606, 0.5489247746240045, -0.18391011884994296, 0.5244523437239579]","[-0.01583334672516101, 0.012960546309372377, 0.022326449894902293, -0.07085559739948899, 0.04101629258288497, 0.10098057322268707, -0.0758210333139947, 0.0888678002599691]"
residual_union_k15,cross,,0.5,0.25484372876856487,0.008144810410949353,-0.4025672893422668,0.2516540882773302,0.047619047619047616,0.24669891835761548,"[0.051398493178878, 0.4232332294876727]",6,-0.2168775722250793,"[0.36624336609278774, 0.2073687409499647, 0.2156250542261917, -0.29169993749047496, 0.660818047168743, 0.5421144367619757, -0.1873858539661895, 0.5256659764055205]","[-0.020069050119789596, 0.008044477019611973, 0.016029311935179633, -0.07482236526539565, 0.031331890167479726, 0.09625662276501135, -0.077661677425932, 0.08604927421142938]"
residual_adaptive_k7,full,0.03,0.5,0.21982062439816807,-0.019953075549238284,-0.4164666254940692,0.19969011437783027,0.047619047619047616,0.23977369994740635,"[0.06163409439523533, 0.4247616597850962]",6,-0.1210603965089807,"[0.395912116338375, 0.05899283147714485, 0.0864183093089288, -0.16928754522151923, 0.7063917055941671, 0.498020384841813, -0.12882636852424484, 0.31094356137068013]","[-0.06385611217420857, -0.03566384812027479, -0.031821140648930595, -0.048227148712538526, 0.037028597470657454, 0.02866113374812351, -0.06572121192094031, 0.019975125964205587]"
residual_adaptive_k7,cross,,0.5,0.21949294736064504,-0.023138492904811004,-0.40906312218560587,0.1917135979208364,0.047619047619047616,0.24263144026545605,"[0.06235576445983557, 0.43053010189020924]",6,-0.12355826041720752,"[0.38828542850917414, 0.05899283147714485, 0.08353197384804556, -0.17441696231668136, 0.7177851202005203, 0.5012524095898807, -0.13182555568139004, 0.31233833325846616]","[-0.06832558696747441, -0.039328554318098785, -0.034413750219882244, -0.05085870189947383, 0.029622877976527295, 0.02706243579237544, -0.06746966007966594, 0.018602996477204425]"
residual_mutual_k7,full,0.03,0.5,0.06126781813434576,0.03613053199546538,-0.31419623586997947,0.28918106472151467,0.5238095238095238,0.025137286138880385,"[-0.15999093781714843, 0.20124919285981424]",4,-0.45353892022133024,"[0.11409262503490279, -0.05899283147714485, -0.15736842865962108, -0.5122984347446513, 0.47852341346701355, 0.3574850230281923, -0.1936023036491134, 0.4623034820751881]","[0.05277461512967934, 0.005899283147715595, -0.022257100772188336, -0.058759514523321066, 0.10994645095134925, 0.16243810095461275, -0.06832527568840063, 0.10732769676427613]"
residual_mutual_k7,cross,,0.5,0.056897408812164776,0.033324451069838966,-0.3022076832364705,0.2815610688389348,0.5238095238095238,0.023572957742325814,"[-0.16065899217612917, 0.20170356809140155]",4,-0.45572521539217153,"[0.10349644508217404, -0.050054523677578455, -0.16689798559683, -0.5168964509412066, 0.47852341346701355, 0.3489432433368522, -0.20516216319994193, 0.46322729202683544]","[0.049388042129091335, 0.007150646239652003, -0.026311831160355285, -0.06117123554903514, 0.10197106072689643, 0.15935902023479498, -0.06830741604234469, 0.10451732198001218]"
