domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,iu,baseline,none,none,,,0.7654126304723285,0.7329174043386426,0.0,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7629345948787264,0.732475348804631,-0.2478035593602157,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7625591349403019,0.7315116898150327,-0.28534955320266286,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7732472278541214,0.7471926597880953,0.7834597381792818,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7725213386398337,0.7457464669296598,0.7108708167505196,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7629095642161647,0.7324385450830675,-0.25030662561638106,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7624840429526168,0.7313782940473863,-0.29285875197117006,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7733974118294911,0.7473661206487112,0.7984781357162518,-0.12265024655202517
processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.7733974118294911,0.7473661206487112,0.7984781357162518,-0.12265024655202517
processbench_qwen,math,qwen3_4b__math,1000,406,iu,baseline,none,none,,,0.7927634306944652,0.7063709235322184,0.0,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7939244663382594,0.7053056166436373,0.11610356437942171,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.795744804365494,0.7081521090469913,0.29813736710287975,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.8011311804415253,0.7087050930489004,0.8367749747060116,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7977517374069097,0.703802633706194,0.49883067124445457,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7938456817767163,0.7051965449988173,0.10822510822511289,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7956452870245974,0.7079750001673253,0.288185633013216,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8013468013468014,0.7090958049650776,0.8583370652336164,0.8077490836111423
processbench_qwen,math,qwen3_4b__math,1000,406,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8013468013468014,0.7090958049650776,0.8583370652336164,0.8077490836111423
processbench_qwen,olympiadbench,qwen3_4b__olympiadbench,1000,339,iu,baseline,none,none,,,0.7840672262907278,0.6441226517165256,0.0,1.0603403264027533
