world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-A,g,a_to_g,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,a_to_g,0.01,8,0.8580362654320988,0.0053752459214926225,0.0006057098765431673,0.00021382846102986394,0.00020059504911666503
P1-A,g,a_to_g,0.03,8,0.8589004629629631,0.00540620814567221,0.0014699074074074059,0.0005790030824676551,0.0003729405550830223
P1-A,g,a_to_g,0.1,8,0.8608526234567901,0.005448027146568562,0.003422067901234546,0.0013589067088713748,0.0008475123242935663
P1-A,g,a_to_g,0.3,8,0.8636612654320988,0.00573450269324597,0.006230709876543172,0.0024946900021011157,0.0015043235722304567
P1-A,g,a_to_g,1.0,8,0.8653780864197531,0.006091516086821496,0.007947530864197486,0.0033424352348147162,0.0016150245794185345
P1-A,g,consensus,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,consensus,0.01,8,0.8580516975308641,0.005380441323540349,0.0006211419753085895,0.00023121953874261856,0.00018307838412804468
P1-A,g,consensus,0.03,8,0.8590740740740741,0.005402906644687177,0.0016435185185184886,0.0006609796359880559,0.0003912406417753379
P1-A,g,consensus,0.1,8,0.8611998456790124,0.005459204650063751,0.003769290123456767,0.0015138008770735276,0.0009012753693867759
P1-A,g,consensus,0.3,8,0.8638040123456789,0.005832373122309137,0.006373456790123411,0.002680873913324256,0.0012943304309953572
P1-A,g,consensus,1.0,8,0.8655208333333334,0.006139317148497417,0.00809027777777778,0.003514636294122126,0.0014315230502611742
P1-A,g,direct_a,0.0,8,0.8574305555555556,0.005375957323901444,0.0,0.0,0.0
P1-A,g,direct_a,0.01,8,0.8580362654320988,0.0053752459214926225,0.0006057098765431673,0.00021382846102986394,0.00020059504911666503
P1-A,g,direct_a,0.03,8,0.8589004629629631,0.00540620814567221,0.0014699074074074059,0.0005790030824676551,0.0003729405550830223
P1-A,g,direct_a,0.1,8,0.8608526234567901,0.005448027146568562,0.003422067901234546,0.0013589067088713748,0.0008475123242935663
P1-A,g,direct_a,0.3,8,0.8636612654320988,0.00573450269324597,0.006230709876543172,0.0024946900021011157,0.0015043235722304567
P1-A,g,direct_a,1.0,8,0.8653780864197531,0.006091516086821496,0.007947530864197486,0.0033424352348147162,0.0016150245794185345
