world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-A,g,a_to_g,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,a_to_g,0.01,2,0.8408641975308643,0.018888888888888955,0.0006172839506173311,0.0004938271604937315,-0.0025006180319376388
P1-A,g,a_to_g,0.03,2,0.8435802469135802,0.017901234567901266,0.0033333333333332993,0.0014814814814814168,-0.006020372614333013
P1-A,g,a_to_g,0.1,2,0.8495679012345679,0.016481481481481427,0.009320987654320989,0.0029012345679012563,-0.008996686493193143
P1-A,g,a_to_g,0.3,2,0.8562345679012346,0.013271604938271564,0.015987654320987643,0.006111111111111123,-0.02259638271313765
P1-A,g,a_to_g,1.0,2,0.8614197530864198,0.01277777777777772,0.021172839506172825,0.0066049382716049645,-0.020529099510508138
P1-A,g,consensus,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,consensus,0.01,2,0.8409876543209878,0.018765432098765408,0.000740740740740875,0.0006172839506172755,-0.0031566367374535388
P1-A,g,consensus,0.03,2,0.8438888888888889,0.01796296296296296,0.003641975308641965,0.0014197530864197283,-0.005321992891205152
P1-A,g,consensus,0.1,2,0.8497530864197531,0.016296296296296305,0.00950617283950611,0.003086419753086378,-0.009980714551465961
P1-A,g,consensus,0.3,2,0.8560493827160494,0.012592592592592544,0.015802469135802466,0.006790123456790142,-0.027068683124336787
P1-A,g,consensus,1.0,2,0.8608024691358025,0.0121604938271605,0.020555555555555605,0.0072222222222221855,-0.025043760939319426
P1-A,g,direct_a,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,direct_a,0.01,2,0.8408641975308643,0.018888888888888955,0.0006172839506173311,0.0004938271604937315,-0.0025006180319376388
P1-A,g,direct_a,0.03,2,0.8435802469135802,0.017901234567901266,0.0033333333333332993,0.0014814814814814168,-0.006020372614333013
P1-A,g,direct_a,0.1,2,0.8495679012345679,0.016481481481481427,0.009320987654320989,0.0029012345679012563,-0.008996686493193143
P1-A,g,direct_a,0.3,2,0.8562345679012346,0.013271604938271564,0.015987654320987643,0.006111111111111123,-0.02259638271313765
P1-A,g,direct_a,1.0,2,0.8614197530864198,0.01277777777777772,0.021172839506172825,0.0066049382716049645,-0.020529099510508138
P1-A,g,direct_g,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,direct_g,0.01,2,0.8408641975308643,0.018888888888888955,0.0006172839506173311,0.0004938271604937315,-0.0025006180319376388
P1-A,g,direct_g,0.03,2,0.8437037037037036,0.018024691358024703,0.003456790123456732,0.001358024691357984,-0.00511744032857084
P1-A,g,direct_g,0.1,2,0.8491358024691358,0.01617283950617282,0.00888888888888889,0.0032098765432098664,-0.011377473997722275
P1-A,g,direct_g,0.3,2,0.8556172839506173,0.012777777777777832,0.015370370370370312,0.0066049382716048535,-0.02633156864630995
P1-A,g,direct_g,1.0,2,0.8601851851851852,0.011666666666666659,0.019938271604938274,0.007716049382716028,-0.028778946872492432
P1-A,g,g_to_a,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,g_to_a,0.01,2,0.8408641975308643,0.018888888888888955,0.0006172839506173311,0.0004938271604937315,-0.0025006180319376388
P1-A,g,g_to_a,0.03,2,0.8437037037037036,0.018024691358024703,0.003456790123456732,0.001358024691357984,-0.00511744032857084
P1-A,g,g_to_a,0.1,2,0.8491358024691358,0.01617283950617282,0.00888888888888889,0.0032098765432098664,-0.011377473997722275
P1-A,g,g_to_a,0.3,2,0.8556172839506173,0.012777777777777832,0.015370370370370312,0.0066049382716048535,-0.02633156864630995
P1-A,g,g_to_a,1.0,2,0.8601851851851852,0.011666666666666659,0.019938271604938274,0.007716049382716028,-0.028778946872492432
P1-A,g,iu,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,iu,0.01,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,iu,0.03,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,iu,0.1,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,iu,0.3,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,iu,1.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
