cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
epr_triviaqa_mistral24b,triviaqa,QA,fixed_stable_v1,full,,25,25,1.0,21.070457417369703,0.9990451428397423
epr_triviaqa_mistral24b,triviaqa,QA,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,18.780972614650533,0.9998892069066323
epr_triviaqa_mistral24b,triviaqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,25,19,0.76,18.12323752246267,0.999860747255816
epr_triviaqa_mistral24b,triviaqa,QA,fixed_stable_v1,rho_max_over_2,2.0,25,17,0.68,16.94378821510007,0.9994794222720897
epr_triviaqa_mistral24b,triviaqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,25,17,0.68,16.94378821510007,0.9994794222720897
epr_triviaqa_mistral24b,triviaqa,QA,mixed_v2,full,,28,28,1.0,20.84568099711138,0.9975922389685093
epr_triviaqa_mistral24b,triviaqa,QA,mixed_v2,rho_max_over_3,3.0,28,22,0.7857142857142857,19.839383566344477,0.9998425605077383
epr_triviaqa_mistral24b,triviaqa,QA,mixed_v2,rho_max_over_2p5,2.5,28,21,0.75,18.780972614650533,0.9998892069066323
epr_triviaqa_mistral24b,triviaqa,QA,mixed_v2,rho_max_over_2,2.0,28,18,0.6428571428571429,17.22996096971715,0.9997500956869362
epr_triviaqa_mistral24b,triviaqa,QA,mixed_v2,rho_max_over_1p5,1.5,28,17,0.6071428571428571,16.94378821510007,0.9994794222720897
losnet_hotpotqa_mistral7b,hotpotqa,QA,fixed_stable_v1,full,,25,25,1.0,16.0769473093956,0.9978829986713471
losnet_hotpotqa_mistral7b,hotpotqa,QA,fixed_stable_v1,rho_max_over_3,3.0,25,22,0.88,15.657005414337252,0.9979415283361436
losnet_hotpotqa_mistral7b,hotpotqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,25,21,0.84,14.902583691079,0.997633584011343
losnet_hotpotqa_mistral7b,hotpotqa,QA,fixed_stable_v1,rho_max_over_2,2.0,25,18,0.72,15.011878820194827,0.9989883676235513
losnet_hotpotqa_mistral7b,hotpotqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,25,12,0.48,11.974579573607539,0.9999995613348301
losnet_hotpotqa_mistral7b,hotpotqa,QA,mixed_v2,full,,29,29,1.0,16.48715582485545,0.9981675541999963
losnet_hotpotqa_mistral7b,hotpotqa,QA,mixed_v2,rho_max_over_3,3.0,29,23,0.7931034482758621,14.839666267335875,0.9972154727396086
losnet_hotpotqa_mistral7b,hotpotqa,QA,mixed_v2,rho_max_over_2p5,2.5,29,21,0.7241379310344828,14.902583691079,0.9976335840113434
losnet_hotpotqa_mistral7b,hotpotqa,QA,mixed_v2,rho_max_over_2,2.0,29,19,0.6551724137931034,14.909700505089463,0.9985806136205082
