source,world,budget,method,mean_selected_positive_rate,both_classes_fraction
real,real,5,local_controlled2,0.47500000000000003,1.0
real,real,5,local_uniform2,0.48166666666666663,0.7666666666666667
real,real,5,local_active2,0.41916666666666663,0.6145833333333334
real,real,5,hybrid_domain_uniform,0.48166666666666663,0.7666666666666667
real,real,5,hybrid_domain_active,0.4125,0.7375
real,real,10,local_controlled2,0.48333333333333334,1.0
real,real,10,local_uniform2,0.4829166666666667,0.9083333333333333
real,real,10,local_active2,0.4395833333333333,0.83125
real,real,10,hybrid_domain_uniform,0.4829166666666667,0.9083333333333333
real,real,10,hybrid_domain_active,0.42166666666666663,0.875
real,real,20,local_controlled2,0.4895833333333333,1.0
real,real,20,local_uniform2,0.48614583333333333,0.9729166666666667
real,real,20,local_active2,0.44802083333333337,0.9708333333333333
real,real,20,hybrid_domain_uniform,0.48614583333333333,0.9729166666666667
real,real,20,hybrid_domain_active,0.4301041666666666,0.9354166666666667
real,real,40,local_controlled2,0.4822916666666667,1.0
real,real,40,local_uniform2,0.48328125000000005,0.9875
real,real,40,local_active2,0.44807291666666665,0.9958333333333333
real,real,40,hybrid_domain_uniform,0.48328125000000005,0.9875
real,real,40,hybrid_domain_active,0.44203125000000004,0.9916666666666667
real,real,80,local_controlled2,0.4817708333333333,1.0
real,real,80,local_uniform2,0.4833072916666667,0.9916666666666667
real,real,80,local_active2,0.45645833333333335,1.0
real,real,80,hybrid_domain_uniform,0.4833072916666667,0.9916666666666667
real,real,80,hybrid_domain_active,0.45190104166666667,1.0
synthetic,upcr_sufficient,5,local_controlled2,0.4258333333333334,1.0
synthetic,upcr_sufficient,5,local_uniform2,0.435,0.9958333333333333
synthetic,upcr_sufficient,5,local_active2,0.35583333333333333,0.8958333333333334
synthetic,upcr_sufficient,5,hybrid_domain_uniform,0.435,0.9958333333333333
synthetic,upcr_sufficient,5,hybrid_domain_active,0.3766666666666667,0.925
synthetic,upcr_sufficient,10,local_controlled2,0.42375,1.0
synthetic,upcr_sufficient,10,local_uniform2,0.4391666666666667,1.0
synthetic,upcr_sufficient,10,local_active2,0.38166666666666665,1.0
synthetic,upcr_sufficient,10,hybrid_domain_uniform,0.4391666666666667,1.0
synthetic,upcr_sufficient,10,hybrid_domain_active,0.36333333333333334,0.9791666666666666
synthetic,upcr_sufficient,20,local_controlled2,0.42562500000000003,1.0
synthetic,upcr_sufficient,20,local_uniform2,0.4391666666666667,1.0
synthetic,upcr_sufficient,20,local_active2,0.4164583333333333,1.0
synthetic,upcr_sufficient,20,hybrid_domain_uniform,0.4391666666666667,1.0
synthetic,upcr_sufficient,20,hybrid_domain_active,0.3710416666666667,1.0
synthetic,upcr_sufficient,40,local_controlled2,0.4247916666666667,1.0
synthetic,upcr_sufficient,40,local_uniform2,0.43395833333333333,1.0
synthetic,upcr_sufficient,40,local_active2,0.43822916666666667,1.0
synthetic,upcr_sufficient,40,hybrid_domain_uniform,0.43395833333333333,1.0
synthetic,upcr_sufficient,40,hybrid_domain_active,0.3771875,1.0
synthetic,upcr_sufficient,80,local_controlled2,0.4247916666666666,1.0
synthetic,upcr_sufficient,80,local_uniform2,0.425625,1.0
synthetic,upcr_sufficient,80,local_active2,0.45229166666666665,1.0
synthetic,upcr_sufficient,80,hybrid_domain_uniform,0.425625,1.0
synthetic,upcr_sufficient,80,hybrid_domain_active,0.39427083333333335,1.0
synthetic,shared_correction,5,local_controlled2,0.4233333333333334,1.0
synthetic,shared_correction,5,local_uniform2,0.32083333333333336,0.8291666666666667
synthetic,shared_correction,5,local_active2,0.5066666666666666,1.0
synthetic,shared_correction,5,hybrid_domain_uniform,0.32083333333333336,0.8291666666666667
synthetic,shared_correction,5,hybrid_domain_active,0.4141666666666667,0.9458333333333333
synthetic,shared_correction,10,local_controlled2,0.4258333333333334,1.0
synthetic,shared_correction,10,local_uniform2,0.33708333333333335,1.0
synthetic,shared_correction,10,local_active2,0.5,1.0
synthetic,shared_correction,10,hybrid_domain_uniform,0.33708333333333335,1.0
synthetic,shared_correction,10,hybrid_domain_active,0.41875,0.9916666666666667
synthetic,shared_correction,20,local_controlled2,0.42270833333333335,1.0
synthetic,shared_correction,20,local_uniform2,0.36520833333333336,1.0
synthetic,shared_correction,20,local_active2,0.49874999999999997,1.0
synthetic,shared_correction,20,hybrid_domain_uniform,0.36520833333333336,1.0
synthetic,shared_correction,20,hybrid_domain_active,0.403125,1.0
synthetic,shared_correction,40,local_controlled2,0.4259375,1.0
synthetic,shared_correction,40,local_uniform2,0.3846875,1.0
synthetic,shared_correction,40,local_active2,0.49541666666666667,1.0
synthetic,shared_correction,40,hybrid_domain_uniform,0.3846875,1.0
synthetic,shared_correction,40,hybrid_domain_active,0.38260416666666663,1.0
synthetic,shared_correction,80,local_controlled2,0.424375,1.0
synthetic,shared_correction,80,local_uniform2,0.41375,1.0
synthetic,shared_correction,80,local_active2,0.49338541666666663,1.0
synthetic,shared_correction,80,hybrid_domain_uniform,0.41375,1.0
synthetic,shared_correction,80,hybrid_domain_active,0.37265625,1.0
synthetic,family_shift,5,local_controlled2,0.4266666666666667,1.0
synthetic,family_shift,5,local_uniform2,0.41833333333333333,0.9541666666666667
synthetic,family_shift,5,local_active2,0.3425,0.8708333333333333
synthetic,family_shift,5,hybrid_domain_uniform,0.41833333333333333,0.9541666666666667
synthetic,family_shift,5,hybrid_domain_active,0.39166666666666666,0.925
synthetic,family_shift,10,local_controlled2,0.4241666666666667,1.0
synthetic,family_shift,10,local_uniform2,0.38000000000000006,1.0
synthetic,family_shift,10,local_active2,0.3783333333333333,0.9958333333333333
synthetic,family_shift,10,hybrid_domain_uniform,0.38000000000000006,1.0
synthetic,family_shift,10,hybrid_domain_active,0.40041666666666664,0.9875
synthetic,family_shift,20,local_controlled2,0.4247916666666667,1.0
synthetic,family_shift,20,local_uniform2,0.41041666666666665,1.0
synthetic,family_shift,20,local_active2,0.41208333333333336,1.0
synthetic,family_shift,20,hybrid_domain_uniform,0.41041666666666665,1.0
synthetic,family_shift,20,hybrid_domain_active,0.39666666666666667,1.0
synthetic,family_shift,40,local_controlled2,0.42458333333333337,1.0
synthetic,family_shift,40,local_uniform2,0.4102083333333333,1.0
synthetic,family_shift,40,local_active2,0.44072916666666667,1.0
synthetic,family_shift,40,hybrid_domain_uniform,0.4102083333333333,1.0
synthetic,family_shift,40,hybrid_domain_active,0.3885416666666667,1.0
synthetic,family_shift,80,local_controlled2,0.42458333333333337,1.0
synthetic,family_shift,80,local_uniform2,0.42062499999999997,1.0
synthetic,family_shift,80,local_active2,0.45505208333333336,1.0
synthetic,family_shift,80,hybrid_domain_uniform,0.42062499999999997,1.0
synthetic,family_shift,80,hybrid_domain_active,0.39828125000000003,1.0
