repeat_count,budget,method,mean_delta_vs_upcr
1,20,local_uniform2,-0.0003419567744294925
1,20,local_active2,-0.006356765615307361
1,20,pooled_domain_lofo,-0.015069122239944477
1,20,hybrid_domain_uniform,-0.010120008515083165
1,20,hybrid_domain_active,-0.003695128920663158
2,20,local_uniform2,-0.0005619804691805915
2,20,local_active2,-0.003657722863151682
2,20,pooled_domain_lofo,-0.009717822249183003
2,20,hybrid_domain_uniform,-0.006485437507770618
2,20,hybrid_domain_active,-0.0008907830552232024
3,20,local_uniform2,-0.00022200274424455843
3,20,local_active2,-0.0021686832448055784
3,20,pooled_domain_lofo,-0.01435220931085677
3,20,hybrid_domain_uniform,-0.009471481454088859
3,20,hybrid_domain_active,-0.0020661738597792245
4,20,local_uniform2,-0.0005046854592541903
4,20,local_active2,-0.0031916314393279585
4,20,pooled_domain_lofo,-0.01242038887265337
4,20,hybrid_domain_uniform,-0.008108234134540154
4,20,hybrid_domain_active,-0.0012426719162169132
5,20,local_uniform2,-0.0005981545449831177
5,20,local_active2,-0.003232952837178347
5,20,pooled_domain_lofo,-0.01240713029766261
5,20,hybrid_domain_uniform,-0.008143648502454415
5,20,hybrid_domain_active,-0.0012921330434352053
6,20,local_uniform2,-0.0003514442128205915
6,20,local_active2,-0.003050925524614667
6,20,pooled_domain_lofo,-0.010385531195065079
6,20,hybrid_domain_uniform,-0.006421922199771395
6,20,hybrid_domain_active,-7.118338327955405e-05
7,20,local_uniform2,-0.0008043166555555074
7,20,local_active2,-0.0025235164842290305
7,20,pooled_domain_lofo,-0.013680440246097839
7,20,hybrid_domain_uniform,-0.009397149208851064
7,20,hybrid_domain_active,-0.0012319489793815724
8,20,local_uniform2,-0.0006823151378407786
8,20,local_active2,-0.0021040993488356807
8,20,pooled_domain_lofo,-0.013384704303511871
8,20,hybrid_domain_uniform,-0.00914395824251965
8,20,hybrid_domain_active,-0.0015091121932886697
9,20,local_uniform2,-0.0008334606849054229
9,20,local_active2,-0.0020918901446333646
9,20,pooled_domain_lofo,-0.015502719429429745
9,20,hybrid_domain_uniform,-0.009889657773552015
9,20,hybrid_domain_active,-0.0022768308475171286
10,20,local_uniform2,-0.0008532939079557988
10,20,local_active2,-0.0019869949566189656
10,20,pooled_domain_lofo,-0.013707378592244246
10,20,hybrid_domain_uniform,-0.008438688638104902
10,20,hybrid_domain_active,-0.0016407926530349476
11,20,local_uniform2,-0.0005270531626374539
11,20,local_active2,-0.001579744321603127
11,20,pooled_domain_lofo,-0.013406389629941387
11,20,hybrid_domain_uniform,-0.008220123145172583
11,20,hybrid_domain_active,-0.001169598612672948
12,20,local_uniform2,-0.0007108858600752647
12,20,local_active2,-0.0016556319425375433
12,20,pooled_domain_lofo,-0.01351368601088615
12,20,hybrid_domain_uniform,-0.008906729471685021
12,20,hybrid_domain_active,-0.0014246012691579945
13,20,local_uniform2,-0.0005450174181066275
13,20,local_active2,-0.0018079360765727258
13,20,pooled_domain_lofo,-0.013655263404957832
13,20,hybrid_domain_uniform,-0.008905304161866306
13,20,hybrid_domain_active,-0.0015647495693953174
14,20,local_uniform2,-0.0005269158687141636
14,20,local_active2,-0.0016186400968168368
14,20,pooled_domain_lofo,-0.013632713303021182
14,20,hybrid_domain_uniform,-0.009139145349832503
14,20,hybrid_domain_active,-0.0018512334147304521
15,20,local_uniform2,-0.0004351449611450971
15,20,local_active2,-0.0016882502595651355
15,20,pooled_domain_lofo,-0.014047321499318519
15,20,hybrid_domain_uniform,-0.009178582936667975
15,20,hybrid_domain_active,-0.0017716532180955813
16,20,local_uniform2,-0.000508184255989419
16,20,local_active2,-0.0016559588570101147
16,20,pooled_domain_lofo,-0.014705600967234583
16,20,hybrid_domain_uniform,-0.009629963929688267
16,20,hybrid_domain_active,-0.002120365192783455
17,20,local_uniform2,-0.0005630095378289651
17,20,local_active2,-0.001849710794168416
17,20,pooled_domain_lofo,-0.01434707813929699
17,20,hybrid_domain_uniform,-0.009305880413523001
17,20,hybrid_domain_active,-0.0019613887642189326
18,20,local_uniform2,-0.0005104991760881694
18,20,local_active2,-0.0017736294503370165
18,20,pooled_domain_lofo,-0.013841260944360034
18,20,hybrid_domain_uniform,-0.009084661208424766
18,20,hybrid_domain_active,-0.0019518806166008106
19,20,local_uniform2,-0.0005541780789568204
19,20,local_active2,-0.0017344519570408196
19,20,pooled_domain_lofo,-0.014510416912576318
19,20,hybrid_domain_uniform,-0.009562124036330943
19,20,hybrid_domain_active,-0.0019600386608987406
20,20,local_uniform2,-0.00048285677260590426
20,20,local_active2,-0.001781419809590475
20,20,pooled_domain_lofo,-0.014373327920638885
20,20,hybrid_domain_uniform,-0.009666492116303474
20,20,hybrid_domain_active,-0.001872985267392574
