channel,in_bank11,r_level_marginal,r_level_conditional,max_r_with_bank11,sd_after_z,within_auc_single,auc_oriented
q15_H1,True,0.9444323194443125,0.9410836459780578,,0.9999946922993226,0.7301113611124387,0.7301113611124387
q15_VE1,True,0.9053046717398091,0.8991237547818554,,0.9999946922993225,0.7377863024015935,0.7377863024015935
chosen_surprisal,True,0.5218081718500456,0.4983767803157543,,0.9999946922993224,0.6975067839657089,0.6975067839657089
logprob_margin,True,0.8306112509747478,0.8266702511882875,,0.9999946922993225,0.707962599162882,0.707962599162882
true_tail50,True,0.7439696977181626,0.728501836642193,,0.9999946922993224,0.7376342813603043,0.7376342813603043
energy_level,True,0.8783883273551663,0.8690922170125657,,0.9999946922993224,0.7612372269897518,0.7612372269897518
energy_innovation,True,-0.2940101342916941,-0.2805009933487362,,0.9999946922993225,0.40709629688151355,0.5929037031184865
top15_turnover,True,0.3363558737128432,0.3250171852972482,,0.9987784860357214,0.6064368461230789,0.6064368461230789
top50_js,True,-0.07232217232632199,-0.07827391937949944,,0.9993310077141038,0.4575207968593895,0.5424792031406105
dominant_freq16,True,0.1703664810210937,0.1546690313981888,,0.9947421833293073,0.5835355682452537,0.5835355682452537
bocpd_p0,True,0.33449971033719156,0.3095456577493471,,0.9999946922993225,0.6651960333935583,0.6651960333935583
ct7_H0lim,False,0.9474317784508557,0.9445569579594466,0.9304669504435913,0.9999946922993226,0.7439716251034377,0.7439716251034377
ct7_ve0,False,0.9231500849417198,0.917944483252801,0.8993093405808804,0.9999946922993226,0.753406039172826,0.753406039172826
ct7_ve0.75,False,0.81653191819053,0.8054205034990161,0.9342160609882456,0.9999946922993225,0.7323022945501653,0.7323022945501653
ct7_ve1,False,0.9053046718093353,0.8991237548563663,0.9999999999999998,0.9999946922993225,0.7377863024015935,0.7377863024015935
ct7_H0lim_prefix_innovation,False,0.8270652163560352,0.8157271583963817,0.8162188205177365,0.9999946922993225,0.7478657911893811,0.7478657911893811
ct7_bocpd_residual,False,0.5739490550998873,0.5559706593693332,0.6344862731297228,0.9999946922993224,0.6903984155860289,0.6903984155860289
ct7_chosen_std_excess,False,-0.018062630135861256,-0.009588050846302867,0.6815734949055366,0.9999946922993225,0.6494939585240598,0.6494939585240598
H1_first_token,False,0.25569339400122554,0.24747990377425955,0.3192964749797404,0.9999946922993224,0.5483768703088777,0.5483768703088777
H1_slope,False,0.09164237474707836,0.07083174066710851,0.2726661092832234,0.9999946922993225,0.5985750610274959,0.5985750610274959
H1_jump,False,0.3543592251671401,0.3484529831220166,0.4884790180808863,0.9999946922993226,0.5833927789625065,0.5833927789625065
H1_frac_above_z,False,0.6095522928835528,0.603042812415901,0.6868913820822651,0.9994478481586329,0.6354106440852655,0.6354106440852655
evidence_drop_risk,False,0.7422498124864533,0.72727098311185,0.7833806626194303,0.9999946922993225,0.719033815822458,0.719033815822458
hist_trace_length_series,False,,,,0.0,0.5,0.5
hist_entropy_series,False,0.9444323196315092,0.9410836461615978,0.9999999999999984,0.9999946922993224,0.7301113611124387,0.7301113611124387
hist_entropy_rolling_spectral_entropy,False,-0.03666376356918522,-0.05004663952548003,0.41142755468732695,0.9999946922993225,0.5425568435261999,0.5425568435261999
hist_entropy_rolling_low_band_power,False,0.2998840970749263,0.2827429212161861,0.6239871514709983,0.9999946922993226,0.6096657908118528,0.6096657908118528
hist_entropy_rolling_high_band_power,False,0.0813091534590406,0.07197253992846624,0.24969299713698806,0.9999946922993225,0.5494510488634929,0.5494510488634929
hist_entropy_rolling_hl_ratio,False,0.057552775481774246,0.05456983456487078,0.15464216504127143,0.9999946922993226,0.5341296194676091,0.5341296194676091
hist_entropy_rolling_dominant_freq,False,0.05896863377736185,0.051614494655466296,0.3212945699412203,0.9999787690282561,0.5403824227523198,0.5403824227523198
hist_entropy_rolling_spectral_centroid,False,0.0534397314036258,0.045442301173763563,0.2987272796475007,0.9999946922993225,0.5381284613452817,0.5381284613452817
hist_entropy_stft_high_series,False,0.12038780866922436,0.12017348997956165,0.23874309610681188,0.9999946922993224,0.5222958215890572,0.5222958215890572
hist_entropy_stft_frame_entropy,False,0.18252515405846287,0.18141519420590277,0.3115672255474013,0.9999946922993224,0.5298904854508922,0.5298904854508922
hist_entropy_rolling_tail_ratio,False,0.2517796097269638,0.2305636397934173,0.563953433406616,0.9999946922993226,0.6264493461753057,0.6264493461753057
hist_entropy_sw_var_series,False,0.6343966361778482,0.6177412156542711,0.6824806402225968,0.9999946922993225,0.6803398599097192,0.6803398599097192
