scope,cell_id,arm_id,metric,value,bootstrap_draws_requested,bootstrap_draws_valid,ci_lower,bootstrap_median,ci_upper,ci_level,ci_quantile_rule,n_rows,n_groups
cell,epr_triviaqa_mistral24b,iu_pcr,auroc,0.7425934238581527,20000,20000,0.6987966099928644,0.7429158199949275,0.7853528825698757,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,iu_pcr,auprc,0.4442225050435378,20000,20000,0.37407184114786785,0.44943080658986245,0.5304107074185832,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,equal_family_mean,auroc,0.7416535742340928,20000,20000,0.6980282094394997,0.7419172064011132,0.7841250766992527,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,equal_family_mean,auprc,0.4390624242363378,20000,20000,0.36961830985208954,0.444388006899315,0.5242778243006972,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p03,auroc,0.7426214790708113,20000,20000,0.6988968134674414,0.7428945881366396,0.7853131472225524,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p03,auprc,0.44320543965685927,20000,20000,0.37330186338265253,0.44837883580438154,0.5291847929729019,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p03,auroc,0.7420744024239704,20000,20000,0.6982659086474382,0.7423767157340013,0.7848433276926158,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p03,auprc,0.443258632237886,20000,20000,0.3734956166690158,0.44846625873282203,0.5294506600957456,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p03,auroc,0.7426355066771406,20000,20000,0.6989421095992011,0.7429281972004798,0.7852972757771209,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p03,auprc,0.4434214465131537,20000,20000,0.37356148489365604,0.4486109892557242,0.5294845321215464,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p03,auroc,0.7425373134328359,20000,20000,0.6987570920606746,0.742837176799441,0.7852367220081656,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p03,auprc,0.443995596847677,20000,20000,0.37400189319381627,0.44923172364560093,0.5300441482297074,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p1,auroc,0.7428178655594208,20000,20000,0.6992438048651081,0.7430627735369773,0.785416168986667,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p1,auprc,0.43885497585922817,20000,20000,0.3708172770154625,0.44530901102083126,0.5263643086322665,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p1,auroc,0.7416395466277634,20000,20000,0.6978800482628005,0.741918500069185,0.7845057851992159,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p1,auprc,0.4418889573594752,20000,20000,0.3722700601420363,0.44706852301386646,0.5277465584297162,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p1,auroc,0.7429020311973965,20000,20000,0.6993759561278887,0.7431638318470051,0.7854986309576181,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p1,auprc,0.4423255039694002,20000,20000,0.37292475805120223,0.4475164551379014,0.528278069266344,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p1,auroc,0.7425653686454944,20000,20000,0.6988826550524042,0.7428778803977756,0.7852791955509782,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p1,auprc,0.443792716065954,20000,20000,0.3737459851484223,0.4489873131412954,0.5298188447639518,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p3,auroc,0.7417517674783974,20000,20000,0.6978808787704547,0.7420749633963281,0.7846237633616697,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_0p3,auprc,0.4347463082833368,20000,20000,0.36754508119866675,0.4411267309050466,0.5217519382258636,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p3,auroc,0.7404752553024353,20000,20000,0.6966214153790429,0.7407441144776499,0.7834547824028893,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_0p3,auprc,0.4398307903351584,20000,20000,0.3703033948334439,0.4449874349990302,0.5257639564826968,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p3,auroc,0.7437997980024688,20000,20000,0.700028960394466,0.7441384541927164,0.7864939418461689,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_0p3,auprc,0.43812819964383815,20000,20000,0.37039810713483456,0.4445420980402053,0.5252627671570688,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p3,auroc,0.7422006508809337,20000,20000,0.6986483004193315,0.7425306527078239,0.784845508726294,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_0p3,auprc,0.44252903925386444,20000,20000,0.3726339540355724,0.4477033364224069,0.5285929127370186,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_1,auroc,0.7379502861631692,20000,20000,0.6936710556354587,0.7382778324496805,0.781105739122947,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_1,auprc,0.4256093766666987,20000,20000,0.35925294599520674,0.4314823182632287,0.5108111667115092,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_1,auroc,0.7364773874985973,20000,20000,0.6924119781479179,0.736698958368933,0.7799155553540535,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_1,auprc,0.42793563007978436,20000,20000,0.3611621034876201,0.4342785113797269,0.5141905508348933,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_1,auroc,0.7400544271125575,20000,20000,0.6959838264132604,0.740421072453396,0.7831185643528988,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_1,auprc,0.43111834407614313,20000,20000,0.3637368571172238,0.4370084219003685,0.5175477100640944,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_1,auroc,0.7414571877454831,20000,20000,0.6979795444716762,0.7417662127004877,0.78400892853473,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_1,auprc,0.438719896130185,20000,20000,0.36939854677108513,0.44381069915062,0.52398247292155,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_3,auroc,0.723586017282011,20000,20000,0.6788851260509156,0.7238583531452683,0.7675951306986267,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_3,auprc,0.4055050565748869,20000,20000,0.3420645627562168,0.41188448555186574,0.4886643809323844,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_3,auroc,0.7303613511390417,20000,20000,0.6854780920860913,0.7306357649657471,0.7744429453157053,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_3,auprc,0.4180465590809422,20000,20000,0.3527705124449811,0.4240216366830539,0.5021456533612756,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_3,auroc,0.7268544495567277,20000,20000,0.6823794974459563,0.7272090921076393,0.7706440740583516,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_3,auprc,0.4104126117757788,20000,20000,0.346156841866218,0.41681899940792533,0.49491555170461454,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_3,auroc,0.7386516664796319,20000,20000,0.6955069964519252,0.7389887255808162,0.7808234159431794,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_3,auprc,0.4302511938723916,20000,20000,0.3621678051876043,0.43528709411962596,0.5145840718592134,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_10,auroc,0.70079115699697,20000,20000,0.6552492268888119,0.7011764893266333,0.74600307847944,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_residual_graph__lam_10,auprc,0.37859192037173506,20000,20000,0.31928450156558913,0.384801473040011,0.45822325952799875,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_10,auroc,0.7235018516440355,20000,20000,0.6777064876322962,0.7237684581083919,0.7681643605883842,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,feature_smooth_raw_graph__lam_10,auprc,0.40810727934288665,20000,20000,0.34450979733905107,0.4141648501015235,0.48973604276298477,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_10,auroc,0.7052098529906856,20000,20000,0.6598332692574406,0.7055968919780871,0.7500846621734414,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,score_smooth_residual_graph__lam_10,auprc,0.38221570668263427,20000,20000,0.32279686266653473,0.3884076620811423,0.46228629132106636,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_10,auroc,0.7343031085175625,20000,20000,0.6912173003652511,0.7346570238606391,0.7763710473595581,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,residual_ridge_correction__lam_10,auprc,0.417711411912966,20000,20000,0.3518093507785309,0.42389384614674824,0.5025578479750433,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_deem_b3,auroc,0.742004264392324,20000,20000,0.6984566182784656,0.7423322523938698,0.7844103479460063,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_deem_b3,auprc,0.43981122101684816,20000,20000,0.37028984543680743,0.44512042233326865,0.5254712772485466,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_family_nrm_a,auroc,0.7421866232746044,20000,20000,0.6982349208546772,0.7424209238133028,0.7851193974456859,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_family_nrm_a,auprc,0.4421819426072679,20000,20000,0.3724390329239665,0.44713392281831393,0.52812577761564,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_pgrd_a,auroc,0.7356497587251712,20000,20000,0.6927564528999126,0.7360107924985688,0.7776986745378947,0.95,linear_type7,621,621
cell,epr_triviaqa_mistral24b,signed_pgrd_a,auprc,0.42361335843573533,20000,20000,0.3562616131444497,0.42867393286822186,0.5069688198375938,0.95,linear_type7,621,621
cell,losnet_hotpotqa_mistral7b,iu_pcr,auroc,0.5721589588659075,20000,20000,0.5175518553089199,0.5721980331806922,0.6255191159122808,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,iu_pcr,auprc,0.7067715265548009,20000,20000,0.651195143769156,0.7091780903114895,0.7654344357674224,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,equal_family_mean,auroc,0.5820089740610308,20000,20000,0.528093415775401,0.582067553121864,0.6350155400499525,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,equal_family_mean,auprc,0.7190139485162287,20000,20000,0.6634293623161568,0.7215344682546119,0.7771900047113671,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_0p03,auroc,0.5717477967071274,20000,20000,0.5172722969859597,0.5717900638983452,0.6250203850425697,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_0p03,auprc,0.7067186066478032,20000,20000,0.6510566406828481,0.7091199518977658,0.7652958272276565,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_0p03,auroc,0.5723198484062997,20000,20000,0.517738849843043,0.5723260291841219,0.625614333909334,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_0p03,auprc,0.706910672160645,20000,20000,0.6513654258619652,0.7092944923850417,0.7656054840912874,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_0p03,auroc,0.5718014265539247,20000,20000,0.517267872724401,0.5718652784521048,0.625154040713385,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_0p03,auprc,0.7067343219257579,20000,20000,0.6511374265274765,0.7091533978477277,0.7653218632540261,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_0p03,auroc,0.5721053290191102,20000,20000,0.5175521148881239,0.5721196338383838,0.6254237064637398,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_0p03,auprc,0.7067742059103503,20000,20000,0.6512551583115527,0.7091716471951526,0.7654323293823855,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_0p1,auroc,0.572212588712705,20000,20000,0.5176351300941224,0.5722119266158309,0.6254706524186424,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_0p1,auprc,0.7071562466313639,20000,20000,0.6514670079293358,0.7096074178205627,0.7657314909555331,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_0p1,auroc,0.5714438942419421,20000,20000,0.5168723840718702,0.5714569798541214,0.6245804793213878,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_0p1,auprc,0.7065797188012084,20000,20000,0.6511786062926411,0.708997293990601,0.7649768191487484,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_0p1,auroc,0.5721410822503084,20000,20000,0.5175685361722964,0.5721541812112306,0.6253086585276553,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_0p1,auprc,0.7069357021640692,20000,20000,0.651341207005447,0.7093518172823359,0.7655625681242126,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_0p1,auroc,0.5721768354815067,20000,20000,0.517595938614528,0.5721788723379497,0.6254591304005509,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_0p1,auprc,0.706837842759926,20000,20000,0.651304230343389,0.7092483056992676,0.7655430747220837,0.95,linear_type7,500,500
