version,cell,model,subset,split,target,n,n_positive,iu_auroc,leverage_balanced_auroc,uniform_auroc,cardinality_auroc,reverse_auroc,dufs_liu_auroc
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__gsm8k,qwen3_4b,gsm8k,development,reasoning_error_present,400,207,0.7654126304723285,0.7742484543565868,0.7731721358664364,0.7742734850191484,0.7524717779279617,0.767665390102876
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__gsm8k,qwen3_4b,gsm8k,development,final_answer_incorrect,400,200,0.7656,0.772375,0.77155,0.772475,0.7548750000000001,0.7673000000000001
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__math,qwen3_4b,math,development,reasoning_error_present,1000,594,0.7927634306944651,0.791249937801662,0.7920709558640593,0.7984027466786088,0.7839395598016288,0.7947745102917516
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__math,qwen3_4b,math,development,final_answer_incorrect,1000,500,0.718688,0.718768,0.7209160000000001,0.722748,0.71106,0.720008
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__olympiadbench,qwen3_4b,olympiadbench,confirmation,reasoning_error_present,1000,661,0.7840672262907278,0.7845090347600623,0.7838664042592123,0.7897705719857729,0.7725891315116544,0.7858612364389346
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__olympiadbench,qwen3_4b,olympiadbench,confirmation,final_answer_incorrect,1000,500,0.679276,0.679192,0.6800639999999999,0.682212,0.6720240000000001,0.6800120000000001
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__omnimath,qwen3_4b,omnimath,confirmation,reasoning_error_present,1000,759,0.8288258737473966,0.8360148481021655,0.8347137257474619,0.8412138706203293,0.8144315243359083,0.8318490698068544
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_4b__omnimath,qwen3_4b,omnimath,confirmation,final_answer_incorrect,1000,500,0.6273880000000001,0.630796,0.6303040000000001,0.6315719999999999,0.6216200000000001,0.6265959999999999
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__gsm8k,qwen3_8b,gsm8k,confirmation,reasoning_error_present,400,207,0.7528972991915096,0.7527220845535781,0.7473905534279492,0.7608320192235488,0.7454882230732647,0.7559009786989062
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__gsm8k,qwen3_8b,gsm8k,confirmation,final_answer_incorrect,400,200,0.7499,0.7493749999999999,0.7441,0.7580250000000002,0.7428250000000001,0.7525249999999999
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__math,qwen3_8b,math,confirmation,reasoning_error_present,1000,594,0.7929873447114826,0.7941276475759235,0.7871572871572872,0.8004677315022143,0.780564263322884,0.7948864673002605
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__math,qwen3_8b,math,confirmation,final_answer_incorrect,1000,500,0.716348,0.7184719999999999,0.7140040000000001,0.7222439999999999,0.7059840000000001,0.7174799999999999
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__olympiadbench,qwen3_8b,olympiadbench,confirmation,reasoning_error_present,1000,661,0.7829515483378628,0.7871598855760691,0.7859504906751638,0.7911807889181941,0.7691216044341505,0.7839110313773268
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__olympiadbench,qwen3_8b,olympiadbench,confirmation,final_answer_incorrect,1000,500,0.6772560000000001,0.6804720000000001,0.680296,0.682432,0.6683439999999999,0.6781159999999999
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__omnimath,qwen3_8b,omnimath,confirmation,reasoning_error_present,1000,759,0.8310454354113024,0.8386116259109223,0.8325269654874562,0.843017947834834,0.8135240188280058,0.8336422132200592
leverage-balanced-processbench-transfer-v1-2026-08-12,qwen3_8b__omnimath,qwen3_8b,omnimath,confirmation,final_answer_incorrect,1000,500,0.635792,0.640088,0.637872,0.639224,0.6271159999999999,0.6346
