access_tier,auroc_128,auroc_16,auroc_256,auroc_32,auroc_512,auroc_64,candidate,families,fidelity,primary,slope_32_64,slope_64_128
A,0.5948587494979248,0.4935035160316762,0.6329300413010821,0.5385635948839953,0.6634615384615384,0.5490304924684533,deepconf_w32,2,direct_same_trace_baseline,0.5719446209831891,0.010466897584457957,0.045828257029471575
A,0.5792107377158924,0.4935035160316762,0.6078951214697821,0.5385635948839953,0.6524725274725274,0.5538927383250114,deepconf_w64,2,direct_same_trace_baseline,0.5665517380204518,0.015329143441016102,0.025317999390880974
A,0.6066206988887402,0.5061290953030628,0.6272954044447258,0.555758511953756,0.5631868131868132,0.5426604190033725,iu28_registered,2,direct_same_trace_baseline,0.5746405589460564,-0.013098092950383555,0.06396027988536768
A,0.5867987682420672,0.4756414737641271,0.612646026673176,0.5242824175865477,0.573489010989011,0.5215394454914152,max_entropy,2,direct_same_trace_baseline,0.5541691068667411,-0.002742972095132523,0.06525932275065205
A,0.5783505154639175,0.4935035160316762,0.6130102928745462,0.5385635948839953,0.5961538461538463,0.5538927383250114,mean_entropy,2,direct_same_trace_baseline,0.5661216268944644,0.015329143441016102,0.024457777138906067
A,0.6067746686303387,0.528164898315086,0.632320921913682,0.5702868074582716,0.5940934065934066,0.5945898500143286,o_broad28__fast_slow,2,frozen_retrospective_candidate,0.6006822593223337,0.024303042556056975,0.012184818616010062
A,0.6053420805998125,0.5163098016664975,0.600667432115396,0.5676314612484825,0.5240384615384616,0.5985629615290453,o_broad28__level_fast_slow_area_persistence,2,frozen_retrospective_candidate,0.601952521064429,0.030931500280562796,0.0067791190707672255
A,0.6021589235506761,0.5249767915600206,0.610033254829635,0.5659580105762834,0.5975274725274725,0.5812034912519428,o_broad28__level_slow,2,frozen_retrospective_candidate,0.5916812074013095,0.01524548067565945,0.020955432298733312
A,0.5741966796090507,0.5114642176594617,0.5737429990823656,0.5649958469107406,0.48420329670329665,0.5373939349081543,o_broad28__shortlong_innovation_recovery,2,frozen_retrospective_candidate,0.5557953072586025,-0.027601912002586215,0.036802744700896395
A,0.6017606105234972,0.5136817042323926,0.5983183483183483,0.5618490831256788,0.521978021978022,0.5903747649060478,o_broad28__slow_area_persistence,2,frozen_retrospective_candidate,0.5960676877147725,0.02852568178036896,0.011385845617449375
A,0.6245849511313428,0.5217332476406319,0.6302566212068474,0.5500108995102737,0.5920329670329669,0.5793891637582389,o_family6__fast_slow,2,frozen_retrospective_candidate,0.6019870574447909,0.02937826424796519,0.045195787373103924
A,0.6064299102958897,0.5022522522522522,0.5892188505310677,0.5472456185847926,0.529532967032967,0.5781299521556527,o_family6__level_fast_slow_area_persistence,2,frozen_retrospective_candidate,0.592279931225771,0.030884333570860067,0.028299958140237003
A,0.6260309278350515,0.5064739332574126,0.6233103246677907,0.5442191252579238,0.5645604395604396,0.5697557679862293,o_family6__level_slow,2,frozen_retrospective_candidate,0.5978933479106403,0.02553664272830547,0.056275159848822254
A,0.5698420136564467,0.501566334795371,0.6070264577051907,0.5201810070395803,0.5260989010989011,0.5116014476663306,o_family6__shortlong_innovation_recovery,2,frozen_retrospective_candidate,0.5407217306613887,-0.008579559373249612,0.05824056599011607
A,0.5917492301512921,0.4883478597496119,0.5826522647789616,0.5429027275084847,0.532967032967033,0.5731339091355945,o_family6__slow_area_persistence,2,frozen_retrospective_candidate,0.5824415696434432,0.030231181627109804,0.018615321015697628
A,0.6165383585486678,0.5083522195537215,0.6277327499046956,0.5529819556728193,0.5920329670329669,0.5853768240538832,o_raw9__fast_slow,2,frozen_retrospective_candidate,0.6009575913012755,0.03239486838106398,0.031161534494784537
A,0.5990895702235909,0.49981771508680145,0.5993870383010654,0.5526371177184694,0.5432692307692308,0.581712110256454,o_raw9__level_fast_slow_area_persistence,2,frozen_retrospective_candidate,0.5904008402400225,0.029074992537984623,0.01737745996713691
A,0.6112264024635159,0.49716048965110293,0.6225934698785378,0.5477285796434733,0.6085164835164835,0.5661261640827682,o_raw9__level_slow,2,frozen_retrospective_candidate,0.588676283273142,0.018397584439294845,0.045100238380747726
A,0.6005857544517339,0.49664370252605544,0.6110782128881677,0.5581413704067021,0.603021978021978,0.5525946211642441,o_raw9__shortlong_innovation_recovery,2,frozen_retrospective_candidate,0.576590187807989,-0.005546749242458016,0.04799113328748983
A,0.5878263489088231,0.49588637448462225,0.6009032445684029,0.5464864113174501,0.5240384615384616,0.5793635430248028,o_raw9__slow_area_persistence,2,frozen_retrospective_candidate,0.5835949459668129,0.032877131707352625,0.008462805884020375
A,0.6106841611996252,0.5179240567225548,0.6625964533204352,0.5575353200509645,0.5652472527472527,0.5690829865045159,step272_twohead,2,direct_same_trace_baseline,0.5898835738520706,0.01154766645355143,0.041601174695109266
