auroc,budget,clean_abstention,exact_error,family,model,n,stratum,stratum_type,task,within_one
,,0.2857142857142857,0.6,gsm8k,qwen3_8b,22,long,length_stratum,local,0.8
,,0.5555555555555556,0.46153846153846156,gsm8k,qwen3_8b,22,medium,length_stratum,local,0.6153846153846154
,,0.65,0.5,gsm8k,qwen3_8b,32,short,length_stratum,local,0.6666666666666666
,,0.5555555555555556,nan,gsm8k,qwen3_8b,36,clean,error_position_quartile,local,nan
,,nan,0.5,gsm8k,qwen3_8b,18,q1,error_position_quartile,local,0.6666666666666666
,,nan,0.5454545454545454,gsm8k,qwen3_8b,11,q2,error_position_quartile,local,0.7272727272727273
,,nan,0.6666666666666666,gsm8k,qwen3_8b,6,q3,error_position_quartile,local,0.8333333333333334
,,nan,0.4,gsm8k,qwen3_8b,5,q4,error_position_quartile,local,0.6
,,0.5555555555555556,nan,gsm8k,qwen3_8b,36,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,1.0,gsm8k,qwen3_8b,3,answer_correct_process_error,answer_process_stratum,local,1.0
,,nan,0.4864864864864865,gsm8k,qwen3_8b,37,answer_wrong_process_error,answer_process_stratum,local,0.6756756756756757
0.6227272727272728,64,,,gsm8k,qwen3_8b,32,short,length_stratum,online,
0.6227272727272727,128,,,gsm8k,qwen3_8b,32,short,length_stratum,online,
0.675,64,,,gsm8k,qwen3_8b,22,medium,length_stratum,online,
0.6833333333333333,128,,,gsm8k,qwen3_8b,22,medium,length_stratum,online,
0.7238095238095239,64,,,gsm8k,qwen3_8b,22,long,length_stratum,online,
0.6761904761904761,128,,,gsm8k,qwen3_8b,22,long,length_stratum,online,
,,0.2631578947368421,0.25,math,qwen3_8b,63,long,length_stratum,local,0.4090909090909091
,,0.6818181818181818,0.37142857142857144,math,qwen3_8b,57,medium,length_stratum,local,0.5714285714285714
,,0.7878787878787878,0.1724137931034483,math,qwen3_8b,62,short,length_stratum,local,0.5172413793103449
,,0.6216216216216216,nan,math,qwen3_8b,74,clean,error_position_quartile,local,nan
,,nan,0.12903225806451613,math,qwen3_8b,31,q1,error_position_quartile,local,0.45161290322580644
,,nan,0.2564102564102564,math,qwen3_8b,39,q2,error_position_quartile,local,0.48717948717948717
,,nan,0.34615384615384615,math,qwen3_8b,26,q3,error_position_quartile,local,0.5
,,nan,0.5,math,qwen3_8b,12,q4,error_position_quartile,local,0.5833333333333334
,,0.6216216216216216,nan,math,qwen3_8b,74,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.3888888888888889,math,qwen3_8b,18,answer_correct_process_error,answer_process_stratum,local,0.5
,,nan,0.24444444444444444,math,qwen3_8b,90,answer_wrong_process_error,answer_process_stratum,local,0.4888888888888889
0.5751351351351351,64,,,math,qwen3_8b,62,short,length_stratum,online,
0.6035353535353536,128,,,math,qwen3_8b,58,short,length_stratum,online,
0.5541871921182266,64,,,math,qwen3_8b,57,medium,length_stratum,online,
0.5258620689655173,128,,,math,qwen3_8b,57,medium,length_stratum,online,
0.6676954732510287,64,,,math,qwen3_8b,63,long,length_stratum,online,
0.5493827160493828,128,,,math,qwen3_8b,63,long,length_stratum,online,
,,0.5,0.16216216216216217,olympiadbench,qwen3_8b,57,long,length_stratum,local,0.43243243243243246
,,0.391304347826087,0.2777777777777778,olympiadbench,qwen3_8b,59,medium,length_stratum,local,0.5
,,0.631578947368421,0.21621621621621623,olympiadbench,qwen3_8b,75,short,length_stratum,local,0.35135135135135137
,,0.5308641975308642,nan,olympiadbench,qwen3_8b,81,clean,error_position_quartile,local,nan
,,nan,0.22857142857142856,olympiadbench,qwen3_8b,35,q1,error_position_quartile,local,0.5142857142857142
,,nan,0.2903225806451613,olympiadbench,qwen3_8b,31,q2,error_position_quartile,local,0.4838709677419355
,,nan,0.2727272727272727,olympiadbench,qwen3_8b,22,q3,error_position_quartile,local,0.45454545454545453
,,nan,0.045454545454545456,olympiadbench,qwen3_8b,22,q4,error_position_quartile,local,0.18181818181818182
,,0.5308641975308642,nan,olympiadbench,qwen3_8b,81,answer_correct_process_clean,answer_process_stratum,local,nan
,,nan,0.1724137931034483,olympiadbench,qwen3_8b,29,answer_correct_process_error,answer_process_stratum,local,0.5172413793103449
,,nan,0.2345679012345679,olympiadbench,qwen3_8b,81,answer_wrong_process_error,answer_process_stratum,local,0.3950617283950617
0.5503703703703704,64,,,olympiadbench,qwen3_8b,75,short,length_stratum,online,
0.5755555555555556,128,,,olympiadbench,qwen3_8b,75,short,length_stratum,online,
0.4027777777777778,64,,,olympiadbench,qwen3_8b,59,medium,length_stratum,online,
0.4571759259259259,128,,,olympiadbench,qwen3_8b,59,medium,length_stratum,online,
0.5921717171717171,64,,,olympiadbench,qwen3_8b,57,long,length_stratum,online,
0.4962121212121212,128,,,olympiadbench,qwen3_8b,57,long,length_stratum,online,
,,0.375,0.16981132075471697,omnimath,qwen3_8b,61,long,length_stratum,local,0.37735849056603776
,,0.4,0.22857142857142856,omnimath,qwen3_8b,45,medium,length_stratum,local,0.4
,,0.6666666666666666,0.2830188679245283,omnimath,qwen3_8b,80,short,length_stratum,local,0.6415094339622641
,,0.5555555555555556,nan,omnimath,qwen3_8b,45,clean,error_position_quartile,local,nan
