domain,cell_key,n,n_pos,flat16,lsml16,lsml5n,PROD,CONT,lsml5nc,flat5,avg5,best1,lsml9h,lsml9,lsml20,saturated_feats
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,300,133,76.8%,82.1%,83.4%,83.2%,86.7%,86.7%,81.5%,87.3%,87.2%,82.7%,,,
math500,Qwen-Math-7B_T1.0,300,84,69.0%,92.1%,92.0%,88.2%,94.4%,94.4%,92.1%,93.6%,96.6%,90.0%,,,dominant_freq
math500,deepseek-math-7b-instruct_T1.0,300,59,58.7%,64.9%,68.6%,66.0%,71.6%,71.6%,70.9%,70.6%,70.8%,63.9%,,,
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,300,123,80.4%,84.1%,82.1%,81.6%,84.4%,84.4%,82.3%,80.9%,82.7%,81.0%,,,
gsm8k,Llama-8B_T1.0,1319,1043,53.6%,70.4%,68.6%,70.7%,75.6%,75.6%,71.8%,72.1%,73.9%,70.5%,,,
gpqa,Llama-8B_T1.0,198,53,57.2%,53.2%,50.2%,51.1%,53.3%,53.3%,50.9%,52.1%,55.5%,52.5%,,,
gpqa,Qwen-7B_T1.0,198,60,55.7%,61.8%,54.4%,53.6%,52.3%,52.3%,55.0%,56.0%,56.8%,61.7%,,,
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,48,52.1%,52.5%,54.9%,54.4%,55.2%,55.2%,51.0%,57.6%,57.6%,55.5%,,,dominant_freq
gpqa,Mistral-7B_T1.0,198,50,51.1%,56.8%,56.8%,55.5%,58.2%,58.2%,58.1%,59.8%,60.5%,52.8%,,,
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,80,58.0%,62.4%,52.4%,51.4%,50.2%,50.2%,55.6%,61.8%,63.9%,56.3%,,,
rag,Qwen-7B/hotpotqa,169,15,52.4%,50.9%,64.8%,54.9%,62.5%,62.5%,58.7%,65.3%,66.8%,50.7%,,,
rag,Qwen-7B/natural-questions,103,11,65.8%,53.8%,58.9%,57.1%,61.4%,61.4%,60.6%,64.6%,64.5%,52.2%,,,
rag,Qwen-7B/2wikimultihopqa,192,14,61.7%,52.1%,55.5%,60.5%,51.1%,51.1%,57.0%,56.3%,70.4%,53.3%,,,
rag,Qwen-7B/narrativeqa,235,28,69.6%,53.0%,60.7%,64.1%,65.0%,65.0%,64.0%,62.9%,68.6%,50.5%,,,
rag,Mistral-24B/hotpotqa,46,18,51.5%,57.4%,59.4%,58.9%,60.5%,60.5%,58.3%,66.1%,64.9%,56.6%,,,
rag,Mistral-24B/natural-questions,44,9,60.8%,51.6%,50.2%,60.3%,62.5%,62.5%,59.4%,66.7%,66.0%,52.2%,,,
rag,Mistral-24B/2wikimultihopqa,47,15,65.3%,59.6%,56.1%,52.7%,53.8%,53.8%,52.6%,51.9%,65.4%,59.1%,,,
rag,Mistral-24B/narrativeqa,238,34,52.2%,53.6%,61.3%,60.8%,61.6%,61.6%,59.8%,61.5%,66.0%,52.2%,,,"stft_max_high_power,stft_spectral_entropy"
rag,Qwen-72B/hotpotqa,169,26,71.2%,68.8%,70.5%,69.2%,71.8%,71.8%,71.0%,76.3%,73.0%,65.5%,,,rpdi
rag,Qwen-72B/natural-questions,171,22,58.2%,62.1%,62.0%,62.3%,65.0%,65.0%,61.6%,64.2%,63.4%,59.3%,,,"stft_max_high_power,stft_spectral_entropy,rpdi"
rag,Qwen-72B/2wikimultihopqa,198,23,51.2%,51.1%,50.4%,55.4%,53.4%,53.4%,52.9%,56.7%,61.9%,52.3%,,,rpdi
rag,Qwen-72B/narrativeqa,345,36,64.4%,58.2%,56.6%,57.2%,60.3%,60.3%,59.9%,59.1%,65.0%,56.7%,,,"stft_max_high_power,stft_spectral_entropy"
