domain,cell_key,variant,K,group_idx,feature_names,size,vAUROC_bin,vAUROC_cont
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,0,"trace_length,dominant_freq",2,64.1%,66.9%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,1,"sw_var_peak,pe_mean",2,59.8%,67.1%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,2,"epr,spectral_entropy,stft_max_high_power,hurst_exponent",4,79.3%,82.6%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,3,"high_band_power,hl_ratio",2,76.8%,77.7%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,4,"low_band_power,spectral_centroid,stft_spectral_entropy,cusum_max",4,79.8%,81.1%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_16_nosigns,6,5,"rpdi,cusum_shift_idx",2,61.9%,66.5%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_nosigns,2,0,"epr,sw_var_peak,spectral_entropy",3,81.5%,83.1%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_nosigns,2,1,"low_band_power,cusum_max",2,80.7%,80.8%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_signs_binary,2,0,"epr,sw_var_peak,spectral_entropy",3,81.5%,83.1%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_signs_binary,2,1,"low_band_power,cusum_max",2,77.4%,80.8%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_signs_continuous,2,0,,3,81.2%,85.8%
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,lsml_5_signs_continuous,2,1,,2,77.1%,85.4%
math500,Qwen-Math-7B_T1.0,lsml_16_nosigns,3,0,"low_band_power,high_band_power,hl_ratio,spectral_centroid",4,81.4%,82.7%
math500,Qwen-Math-7B_T1.0,lsml_16_nosigns,3,1,"epr,stft_max_high_power,stft_spectral_entropy,pe_mean,cusum_shift_idx",5,79.8%,84.9%
math500,Qwen-Math-7B_T1.0,lsml_16_nosigns,3,2,"spectral_entropy,rpdi,sw_var_peak,hurst_exponent,cusum_max",5,80.1%,90.1%
math500,Qwen-Math-7B_T1.0,lsml_5_nosigns,2,0,"epr,sw_var_peak",2,87.0%,88.9%
math500,Qwen-Math-7B_T1.0,lsml_5_nosigns,2,1,"low_band_power,cusum_max,spectral_entropy",3,81.7%,85.7%
math500,Qwen-Math-7B_T1.0,lsml_5_signs_binary,2,0,"epr,sw_var_peak",2,71.7%,88.9%
math500,Qwen-Math-7B_T1.0,lsml_5_signs_binary,2,1,"low_band_power,cusum_max,spectral_entropy",3,81.7%,85.7%
math500,Qwen-Math-7B_T1.0,lsml_5_signs_continuous,2,0,,3,91.9%,95.2%
math500,Qwen-Math-7B_T1.0,lsml_5_signs_continuous,2,1,,2,86.1%,91.1%
math500,deepseek-math-7b-instruct_T1.0,lsml_16_nosigns,5,0,"high_band_power,hl_ratio,stft_max_high_power",3,55.4%,54.2%
math500,deepseek-math-7b-instruct_T1.0,lsml_16_nosigns,5,1,"trace_length,spectral_entropy,dominant_freq,sw_var_peak,cusum_max",5,67.8%,70.0%
math500,deepseek-math-7b-instruct_T1.0,lsml_16_nosigns,5,2,pe_mean,1,53.7%,53.7%
math500,deepseek-math-7b-instruct_T1.0,lsml_16_nosigns,5,3,"rpdi,cusum_shift_idx",2,50.1%,50.7%
math500,deepseek-math-7b-instruct_T1.0,lsml_16_nosigns,5,4,"epr,low_band_power,spectral_centroid,stft_spectral_entropy,hurst_exponent",5,62.6%,68.5%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_nosigns,3,0,"epr,cusum_max",2,71.0%,71.7%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_nosigns,3,1,"low_band_power,spectral_entropy",2,61.1%,61.1%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_nosigns,3,2,sw_var_peak,1,59.0%,59.0%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_signs_binary,3,0,"epr,cusum_max",2,62.7%,71.7%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_signs_binary,3,1,"low_band_power,spectral_entropy",2,61.1%,61.1%
math500,deepseek-math-7b-instruct_T1.0,lsml_5_signs_binary,3,2,sw_var_peak,1,59.0%,59.0%
