cell,feature,n_all,n_defect_free,population,pos_all,pos_defect_free,nonmono_gain_all,nonmono_gain_defect_free,folded_gain_all,folded_gain_defect_free
epr_triviaqa_mistral24b,epr,621,621,all rows (no known defect),0.7552,0.7552,-0.0153,-0.0153,-0.0153,-0.0153
epr_triviaqa_mistral24b,trace_length,621,621,all rows (no known defect),0.7552,0.7552,-0.0044,-0.0044,-0.0044,-0.0044
epr_triviaqa_mistral24b,spectral_entropy,621,621,all rows (no known defect),0.7552,0.7552,-0.0075,-0.0075,-0.0075,-0.0075
epr_triviaqa_mistral24b,low_band_power,621,621,all rows (no known defect),0.7552,0.7552,-0.0448,-0.0448,-0.0173,-0.0173
epr_triviaqa_mistral24b,high_band_power,621,621,all rows (no known defect),0.7552,0.7552,0.0194,0.0194,0.0221,0.0221
epr_triviaqa_mistral24b,hl_ratio,621,621,all rows (no known defect),0.7552,0.7552,-0.0085,-0.0085,-0.0085,-0.0085
epr_triviaqa_mistral24b,dominant_freq,621,621,all rows (no known defect),0.7552,0.7552,-0.0118,-0.0118,-0.0084,-0.0084
epr_triviaqa_mistral24b,spectral_centroid,621,621,all rows (no known defect),0.7552,0.7552,-0.0153,-0.0153,-0.0138,-0.0138
epr_triviaqa_mistral24b,rpdi,621,621,all rows (no known defect),0.7552,0.7552,0.0032,0.0032,0.0181,0.0181
epr_triviaqa_mistral24b,sw_var_peak,621,621,all rows (no known defect),0.7552,0.7552,-0.0184,-0.0184,-0.0184,-0.0184
epr_triviaqa_mistral24b,pe_mean,621,621,all rows (no known defect),0.7552,0.7552,-0.0515,-0.0515,0.0318,0.0318
epr_triviaqa_mistral24b,hurst_exponent,621,621,all rows (no known defect),0.7552,0.7552,-0.0305,-0.0305,-0.0228,-0.0228
epr_triviaqa_mistral24b,cusum_max,621,621,all rows (no known defect),0.7552,0.7552,-0.0186,-0.0186,-0.0186,-0.0186
epr_triviaqa_mistral24b,cusum_shift_idx,621,621,all rows (no known defect),0.7552,0.7552,-0.0112,-0.0112,-0.0069,-0.0069
epr_triviaqa_mistral24b,epr_spilled,621,621,all rows (no known defect),0.7552,0.7552,-0.0248,-0.0248,-0.0248,-0.0248
epr_triviaqa_mistral24b,sw_var_peak_spilled,621,621,all rows (no known defect),0.7552,0.7552,-0.0079,-0.0079,-0.0079,-0.0079
epr_triviaqa_mistral24b,cusum_max_spilled,621,621,all rows (no known defect),0.7552,0.7552,-0.0099,-0.0099,-0.0099,-0.0099
epr_triviaqa_mistral24b,min_spilled,621,621,all rows (no known defect),0.7552,0.7552,-0.0112,-0.0112,-0.0112,-0.0112
epr_triviaqa_mistral24b,epr_energy,621,621,all rows (no known defect),0.7552,0.7552,-0.0189,-0.0189,-0.0189,-0.0189
epr_triviaqa_mistral24b,min_energy,621,621,all rows (no known defect),0.7552,0.7552,-0.0057,-0.0057,-0.0057,-0.0057
epr_triviaqa_mistral24b,sw_var_peak_energy,621,621,all rows (no known defect),0.7552,0.7552,-0.0109,-0.0109,-0.0109,-0.0109
epr_triviaqa_mistral24b,cusum_max_energy,621,621,all rows (no known defect),0.7552,0.7552,-0.0042,-0.0042,-0.0042,-0.0042
epr_triviaqa_mistral24b,mean_top1_logprob,621,621,all rows (no known defect),0.7552,0.7552,-0.0117,-0.0117,-0.0117,-0.0117
epr_triviaqa_mistral24b,logprob_margin,621,621,all rows (no known defect),0.7552,0.7552,-0.0103,-0.0103,-0.0103,-0.0103
epr_triviaqa_mistral24b,mean_logprob_entropy,621,621,all rows (no known defect),0.7552,0.7552,-0.0149,-0.0149,-0.0149,-0.0149
epr_triviaqa_mistral24b,varentropy,621,621,all rows (no known defect),0.7552,0.7552,-0.0232,-0.0232,-0.0232,-0.0232
epr_triviaqa_mistral24b,renyi_entropy_2,621,621,all rows (no known defect),0.7552,0.7552,-0.0099,-0.0099,-0.0099,-0.0099
epr_triviaqa_mistral24b,topk_tail_mass,621,621,all rows (no known defect),0.7552,0.7552,-0.0129,-0.0129,-0.0129,-0.0129
losnet_hotpotqa_mistral7b,epr,500,500,all rows (no known defect),0.338,0.338,-0.0184,-0.0184,-0.0096,-0.0096
losnet_hotpotqa_mistral7b,trace_length,500,500,all rows (no known defect),0.338,0.338,0.0273,0.0273,0.0273,0.0273
losnet_hotpotqa_mistral7b,spectral_entropy,500,500,all rows (no known defect),0.338,0.338,-0.0244,-0.0244,-0.0244,-0.0244
losnet_hotpotqa_mistral7b,low_band_power,500,500,all rows (no known defect),0.338,0.338,0.0077,0.0077,0.0193,0.0193
losnet_hotpotqa_mistral7b,high_band_power,500,500,all rows (no known defect),0.338,0.338,-0.0205,-0.0205,0.0141,0.0141
losnet_hotpotqa_mistral7b,hl_ratio,500,500,all rows (no known defect),0.338,0.338,-0.0089,-0.0089,0.0121,0.0121
losnet_hotpotqa_mistral7b,dominant_freq,500,500,all rows (no known defect),0.338,0.338,0.0246,0.0246,0.0246,0.0246
losnet_hotpotqa_mistral7b,spectral_centroid,500,500,all rows (no known defect),0.338,0.338,-0.0489,-0.0489,0.043,0.043
losnet_hotpotqa_mistral7b,stft_max_high_power,500,500,all rows (no known defect),0.338,0.338,-0.0247,-0.0247,-0.0247,-0.0247
losnet_hotpotqa_mistral7b,stft_spectral_entropy,500,500,all rows (no known defect),0.338,0.338,-0.0383,-0.0383,0.0066,0.0066
losnet_hotpotqa_mistral7b,rpdi,500,500,all rows (no known defect),0.338,0.338,-0.0342,-0.0342,0.0324,0.0324
losnet_hotpotqa_mistral7b,sw_var_peak,500,500,all rows (no known defect),0.338,0.338,-0.0289,-0.0289,-0.0289,-0.0289
losnet_hotpotqa_mistral7b,pe_mean,500,500,all rows (no known defect),0.338,0.338,-0.0391,-0.0391,0.0042,0.0042
losnet_hotpotqa_mistral7b,hurst_exponent,500,500,all rows (no known defect),0.338,0.338,-0.0446,-0.0446,0.0039,0.0039
losnet_hotpotqa_mistral7b,cusum_max,500,500,all rows (no known defect),0.338,0.338,-0.0219,-0.0219,-0.0144,-0.0144
losnet_hotpotqa_mistral7b,cusum_shift_idx,500,500,all rows (no known defect),0.338,0.338,-0.0471,-0.0471,-0.0167,-0.0167
losnet_hotpotqa_mistral7b,epr_spilled,500,500,all rows (no known defect),0.338,0.338,-0.0366,-0.0366,-0.0193,-0.0193
losnet_hotpotqa_mistral7b,sw_var_peak_spilled,500,500,all rows (no known defect),0.338,0.338,-0.0208,-0.0208,-0.0208,-0.0208
losnet_hotpotqa_mistral7b,cusum_max_spilled,500,500,all rows (no known defect),0.338,0.338,-0.0556,-0.0556,-0.0271,-0.0271
losnet_hotpotqa_mistral7b,epr_energy,500,500,all rows (no known defect),0.338,0.338,-0.0383,-0.0383,-0.0067,-0.0067
losnet_hotpotqa_mistral7b,min_energy,500,500,all rows (no known defect),0.338,0.338,-0.0343,-0.0343,-0.0107,-0.0107
losnet_hotpotqa_mistral7b,sw_var_peak_energy,500,500,all rows (no known defect),0.338,0.338,-0.0237,-0.0237,0.005,0.005
losnet_hotpotqa_mistral7b,cusum_max_energy,500,500,all rows (no known defect),0.338,0.338,0.0118,0.0118,0.0118,0.0118
losnet_hotpotqa_mistral7b,mean_top1_logprob,500,500,all rows (no known defect),0.338,0.338,-0.0366,-0.0366,-0.0193,-0.0193
losnet_hotpotqa_mistral7b,logprob_margin,500,500,all rows (no known defect),0.338,0.338,-0.0077,-0.0077,-0.0077,-0.0077
losnet_hotpotqa_mistral7b,mean_logprob_entropy,500,500,all rows (no known defect),0.338,0.338,-0.016,-0.016,-0.0145,-0.0145
losnet_hotpotqa_mistral7b,varentropy,500,500,all rows (no known defect),0.338,0.338,-0.0348,-0.0348,-0.0314,-0.0314
losnet_hotpotqa_mistral7b,renyi_entropy_2,500,500,all rows (no known defect),0.338,0.338,-0.0168,-0.0168,-0.0086,-0.0086
losnet_hotpotqa_mistral7b,topk_tail_mass,500,500,all rows (no known defect),0.338,0.338,0.0059,0.0059,0.0059,0.0059
sciq_llama8b,epr,198,198,all rows (no known defect),0.6616,0.6616,-0.0167,-0.0167,-0.0167,-0.0167
sciq_llama8b,trace_length,198,198,all rows (no known defect),0.6616,0.6616,-0.0197,-0.0197,-0.0197,-0.0197
sciq_llama8b,spectral_entropy,198,198,all rows (no known defect),0.6616,0.6616,-0.03,-0.03,-0.03,-0.03
sciq_llama8b,low_band_power,198,198,all rows (no known defect),0.6616,0.6616,-0.0426,-0.0426,-0.0373,-0.0373
sciq_llama8b,high_band_power,198,198,all rows (no known defect),0.6616,0.6616,-0.0158,-0.0158,0.0574,0.0574
sciq_llama8b,hl_ratio,198,198,all rows (no known defect),0.6616,0.6616,-0.024,-0.024,-0.024,-0.024
sciq_llama8b,dominant_freq,198,198,all rows (no known defect),0.6616,0.6616,-0.0107,-0.0107,-0.0107,-0.0107
sciq_llama8b,spectral_centroid,198,198,all rows (no known defect),0.6616,0.6616,0.0096,0.0096,0.0096,0.0096
sciq_llama8b,stft_max_high_power,198,198,all rows (no known defect),0.6616,0.6616,-0.0689,-0.0689,-0.0665,-0.0665
sciq_llama8b,stft_spectral_entropy,198,198,all rows (no known defect),0.6616,0.6616,0.0719,0.0719,0.0719,0.0719
sciq_llama8b,rpdi,198,198,all rows (no known defect),0.6616,0.6616,-0.0266,-0.0266,0.0054,0.0054
sciq_llama8b,sw_var_peak,198,198,all rows (no known defect),0.6616,0.6616,-0.0233,-0.0233,-0.0233,-0.0233
sciq_llama8b,pe_mean,198,198,all rows (no known defect),0.6616,0.6616,0.1425,0.1425,0.1425,0.1425
sciq_llama8b,hurst_exponent,198,198,all rows (no known defect),0.6616,0.6616,-0.0074,-0.0074,-0.0074,-0.0074
sciq_llama8b,cusum_max,198,198,all rows (no known defect),0.6616,0.6616,-0.0155,-0.0155,-0.0155,-0.0155
sciq_llama8b,cusum_shift_idx,198,198,all rows (no known defect),0.6616,0.6616,-0.0343,-0.0343,0.0255,0.0255
sciq_llama8b,epr_spilled,198,198,all rows (no known defect),0.6616,0.6616,-0.0131,-0.0131,-0.0131,-0.0131
sciq_llama8b,sw_var_peak_spilled,198,198,all rows (no known defect),0.6616,0.6616,-0.0414,-0.0414,-0.0414,-0.0414
