cell,derived,induced_abs_rho
epr_triviaqa_mistral24b,rpdi__dist_median,0.626
epr_triviaqa_mistral24b,rpdi__squared,0.5821
epr_triviaqa_mistral24b,rpdi__abs_norm_rank,0.245
epr_triviaqa_mistral24b,pe_mean__dist_median,0.4367
epr_triviaqa_mistral24b,pe_mean__squared,0.4773
epr_triviaqa_mistral24b,pe_mean__abs_norm_rank,0.1631
epr_triviaqa_mistral24b,cusum_shift_idx__dist_median,0.2154
epr_triviaqa_mistral24b,cusum_shift_idx__squared,0.1715
epr_triviaqa_mistral24b,cusum_shift_idx__abs_norm_rank,0.0947
epr_triviaqa_mistral24b,hurst_exponent__dist_median,0.2213
epr_triviaqa_mistral24b,hurst_exponent__squared,0.066
epr_triviaqa_mistral24b,hurst_exponent__abs_norm_rank,0.0505
losnet_hotpotqa_mistral7b,rpdi__dist_median,0.4663
losnet_hotpotqa_mistral7b,rpdi__squared,0.5202
losnet_hotpotqa_mistral7b,rpdi__abs_norm_rank,0.1859
losnet_hotpotqa_mistral7b,pe_mean__dist_median,0.0494
losnet_hotpotqa_mistral7b,pe_mean__squared,0.0541
losnet_hotpotqa_mistral7b,pe_mean__abs_norm_rank,0.0181
losnet_hotpotqa_mistral7b,cusum_shift_idx__dist_median,0.5201
losnet_hotpotqa_mistral7b,cusum_shift_idx__squared,0.4085
losnet_hotpotqa_mistral7b,cusum_shift_idx__abs_norm_rank,0.1514
losnet_hotpotqa_mistral7b,hurst_exponent__dist_median,0.2467
losnet_hotpotqa_mistral7b,hurst_exponent__squared,0.2693
losnet_hotpotqa_mistral7b,hurst_exponent__abs_norm_rank,0.0873
sciq_llama8b,rpdi__dist_median,0.8636
sciq_llama8b,rpdi__squared,0.8193
sciq_llama8b,rpdi__abs_norm_rank,0.3948
sciq_llama8b,pe_mean__dist_median,0.7834
sciq_llama8b,pe_mean__squared,0.7179
sciq_llama8b,pe_mean__abs_norm_rank,0.3279
sciq_llama8b,cusum_shift_idx__dist_median,0.0987
sciq_llama8b,cusum_shift_idx__squared,0.0846
sciq_llama8b,cusum_shift_idx__abs_norm_rank,0.0284
sciq_llama8b,hurst_exponent__dist_median,0.2931
sciq_llama8b,hurst_exponent__squared,0.2386
sciq_llama8b,hurst_exponent__abs_norm_rank,0.0849
se_nq_open_llama8b,rpdi__dist_median,0.7591
