uid,cell,group_id,category,tokens,steps,first_error_step,error_start,error_stop,gate_percentile,log2_tokens,error_start_fraction,error_step_fraction,feature_change_l2,predictor_disagreement,mean_signed_residual
pb_gsm8k_q4__db269e0c124dd3e0,pb_gsm8k_q4,pb_source_v2:5f6c587679bc685623729580,0,302,4,2,48,183,0.53125,8.238404739325079,0.15894039735099338,0.4470198675496689,0.6235163142020078,0.23358909992895974,0.044008237802877825
pb_gsm8k_q4__4407513f3cdfc332,pb_gsm8k_q4,pb_source_v2:7d6d55556179eb619b39dfe0,0,354,7,2,27,166,0.45125,8.467605550082997,0.07627118644067797,0.3926553672316384,0.39907373102165594,0.30195165674872476,-0.13671016711575573
pb_gsm8k_q4__aec26828eeb2c27e,pb_gsm8k_q4,pb_source_v2:6b5ff58f4bed030d2756fea6,1,362,5,1,0,86,0.98875,8.499845887083206,0.0,0.23756906077348067,,0.21647441068182127,-0.013589614298677432
pb_gsm8k_q4__3695a29cb159ffbf,pb_gsm8k_q4,pb_source_v2:ae51d9dfdc51a42de9c06bda,0,261,3,3,122,261,0.70625,8.027905996569885,0.4674329501915709,0.5325670498084292,2.621415051497891,0.2794217477324646,0.08936098433608405
pb_gsm8k_q4__8c1401380dbb3ea4,pb_gsm8k_q4,pb_source_v2:c06988738256b84343393720,1,281,5,3,124,193,0.66375,8.134426320220927,0.4412811387900356,0.24555160142348753,1.0205430884231874,0.2942333093452337,-0.00404187746369813
pb_gsm8k_q4__0df6d3188857f090,pb_gsm8k_q4,pb_source_v2:19e905ba9674592c7e35f398,0,333,3,2,74,246,0.98625,8.379378367071261,0.2222222222222222,0.5165165165165165,0.8761470700955801,0.23443536379328014,0.03741679166516006
pb_gsm8k_q4__5d582a5caa99d7e1,pb_gsm8k_q4,pb_source_v2:a937db18df217fc94c419e70,0,313,7,3,110,153,0.72375,8.290018846932618,0.3514376996805112,0.13738019169329074,4.37515811578882,0.34299156980622325,0.09269705820269934
pb_gsm8k_q4__07a332163e07305a,pb_gsm8k_q4,pb_source_v2:147eedadf9e112a484cc8bfe,0,468,6,3,146,286,0.85375,8.870364719583405,0.31196581196581197,0.29914529914529914,3.958546235107072,0.32941300298915466,0.15835323889685177
pb_gsm8k_q4__eeb20bac3eafa1bb,pb_gsm8k_q4,pb_source_v2:154c8df41aba1614e0af88f0,0,530,4,2,136,286,0.87375,9.049848549450562,0.25660377358490566,0.2830188679245283,0.8820274804769324,0.26261992545344476,-0.022787014671374558
pb_gsm8k_q4__cee97bc640547f88,pb_gsm8k_q4,pb_source_v2:4b7297b47da8c4f180a211eb,1,436,4,2,114,255,0.93375,8.768184324776927,0.26146788990825687,0.32339449541284404,2.2596516313476664,0.2575527782698364,-0.03777799798236095
pb_gsm8k_q4__3621aa2a2fdfebfe,pb_gsm8k_q4,pb_source_v2:67edeb0d4adcc8e0b94fa608,0,216,4,2,43,115,0.63125,7.754887502163468,0.19907407407407407,0.3333333333333333,0.5105107023337621,0.19420755246728982,-0.008245584894149803
pb_gsm8k_q4__b1fa623b75175413,pb_gsm8k_q4,pb_source_v2:c704b35d9e16b7ca4354ef59,1,374,10,2,37,66,0.96125,8.546894459887637,0.09893048128342247,0.07754010695187166,0.33481023189875186,0.19510613294863843,0.1381253273927094
pb_gsm8k_q4__e6c4900a8e8e98dc,pb_gsm8k_q4,pb_source_v2:8730001ccf1ee4a04e9c84b7,0,426,8,2,48,111,0.96375,8.734709620225837,0.11267605633802817,0.14788732394366197,1.5776884488662815,0.18831076071809824,0.14345039689621614
pb_gsm8k_q4__d36129a3fb811957,pb_gsm8k_q4,pb_source_v2:f77641995f648ef82bb77237,1,431,6,3,114,198,0.58625,8.751544059089099,0.26450116009280744,0.19489559164733178,1.0026667810344954,0.22563916347769442,-0.07418147171948278
pb_gsm8k_q4__62a76135925fa20f,pb_gsm8k_q4,pb_source_v2:d266c2c989b6d4b00f4b98e4,2,337,6,5,272,322,0.22125,8.396604781181859,0.8071216617210683,0.14836795252225518,2.495565474115218,0.28586786699509975,0.09061345803901412
pb_gsm8k_q4__f9225c1fad87c190,pb_gsm8k_q4,pb_source_v2:07a9dbda5f7e260cc46311ee,0,216,3,2,94,195,0.67625,7.754887502163468,0.4351851851851852,0.4675925925925926,1.3037945438336498,0.27927896095520854,-0.05017242807530937
pb_gsm8k_q4__763eb5a64b12fc00,pb_gsm8k_q4,pb_source_v2:be3a4585736b2276924fab4f,0,343,5,3,93,238,0.81125,8.422064766172813,0.27113702623906705,0.4227405247813411,2.666039584097882,0.2619915441376117,-0.005599129862046907
pb_gsm8k_q4__49adcd027725b73b,pb_gsm8k_q4,pb_source_v2:7a2c6c6b675e2d9776eabfcf,1,420,7,4,210,323,0.53875,8.714245517666123,0.5,0.26904761904761904,1.3783974581646803,0.2513982151208591,-0.05884819225828418
pb_gsm8k_q4__f9ca998da91368f0,pb_gsm8k_q4,pb_source_v2:336b088daff70c602c2e1b5c,1,363,4,2,84,176,0.94875,8.50382573799575,0.23140495867768596,0.2534435261707989,0.7216787227849241,0.23727643244869343,0.022175224554794152
pb_gsm8k_q4__37a1e47a86f393e8,pb_gsm8k_q4,pb_source_v2:270649c36e2edec1ceb7deb2,2,245,5,1,0,79,0.19375,7.936637939002571,0.0,0.3224489795918367,,0.22062879031109184,0.04932521988782689
pb_gsm8k_q4__4d1d5ede7f92bfab,pb_gsm8k_q4,pb_source_v2:d79a0a1e51f40426474865ed,1,305,6,4,107,179,0.76125,8.252665432450248,0.35081967213114756,0.2360655737704918,2.5849383097323537,0.2200566577380209,-0.05961440721120312
pb_gsm8k_q4__e62b6f46ac829483,pb_gsm8k_q4,pb_source_v2:dc1b264fc4aefafbed621c9e,1,184,4,4,171,184,0.74875,7.523561956057013,0.9293478260869565,0.07065217391304347,1.5448406540041908,0.24689862857465295,0.1010694081206251
pb_gsm8k_q4__64ec5c9741a88152,pb_gsm8k_q4,pb_source_v2:13e140ab86daaa95907a1336,1,167,4,2,56,95,0.59375,7.383704292474052,0.33532934131736525,0.23353293413173654,2.0644770485660198,0.2258822856289843,0.0007105900139918639
pb_gsm8k_q4__2d34286049ea09cf,pb_gsm8k_q4,pb_source_v2:a12533abdf6ec82611c0e201,1,405,6,2,36,129,0.98375,8.661778097771988,0.08888888888888889,0.22962962962962963,1.6865465818382939,0.19986402126969327,-0.09855364025971018
pb_gsm8k_q4__d1bf7728e110be59,pb_gsm8k_q4,pb_source_v2:665c8666dc5aab37dc6a6b23,0,297,7,2,33,94,0.68875,8.214319120800766,0.1111111111111111,0.2053872053872054,1.3083541203873321,0.19034750800151662,0.08271929140434588
pb_gsm8k_q4__8bf10b9e80279914,pb_gsm8k_q4,pb_source_v2:3a43441138b0b2a36dc79d49,0,497,8,6,300,407,0.86625,8.957102041562287,0.6036217303822937,0.2152917505030181,2.0008620778578536,0.2529869821603965,0.10840880977496618
